omie_unit_code,omie_owner,omie_zone,miteco_candidates,potencia_neta_mw_sum,fecha_puesta_servicio_min,autonomia_first,n_phases,match_confidence
ACE3,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,"ACECA, GRUPO 3",386.08,2005-07-02,Castilla-La Mancha,0,auto
ACE4,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,"ACECA, GRUPO 4",372.66,2006-04-28,Castilla-La Mancha,0,auto
ALG3,"REPSOL SERVICIOS RENOVABLES, S.A.",ZONA ESPAÑOLA,CTCC BAHÍA DE ALGECIRAS,820.536,2009-12-02,Andalucía,0,auto
AMBIETA,"AXPO IBERIA, S.L.",ZONA ESPAÑOLA,AMOREBIETA,786.42,2005-11-12,País Vasco,0,auto
ARCOS1,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,ARCOS DE LA FRONTERA GRUPO 1,389.29,2005-02-23,Andalucía,0,auto
ARCOS2,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,ARCOS DE LA FRONTERA GRUPO 2,373.24,2005-02-23,Andalucía,0,auto
ARCOS3,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,ARCOS DE LA FRONTERA GRUPO 3,822.86,2006-03-18,Andalucía,0,auto
ARRU1R,"MOEVE GAS AND POWER, S.A.U",ZONA ESPAÑOLA,ARRÚBAL GRUPO 1,394.64,2005-04-27,La Rioja,0,auto
ARRU2R,"MOEVE GAS AND POWER, S.A.U",ZONA ESPAÑOLA,ARRÚBAL GRUPO 2,390.06,2005-04-27,La Rioja,0,auto
BAHIAB,BAHIA DE BIZKAIA ELECTRICIDAD S.L.,ZONA ESPAÑOLA,ZIERBENA,785.25,2003-07-17,País Vasco,0,auto
BES3,"ENDESA GENERACIÓN, S.A.",ZONA ESPAÑOLA,"BESÓS, GRUPO 3",411.99,2002-11-09,Cataluña,0,auto
BES4,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,"BESÓS, GRUPO 4",399.75,2002-11-09,Cataluña,0,auto
BES5,"ENDESA GENERACIÓN, S.A.",ZONA ESPAÑOLA,"BESÓS, GRUPO 5",859.07,2010-04-15,Cataluña,0,auto
CAMG20R,"SERVICIOS ENERGETICOS DE ALTA EFICIENCIA, S.A",ZONA ESPAÑOLA,CAMPO DE GIBRALTAR GRUPO 20,387.98,2004-07-29,Andalucía,0,auto
CAMGI10,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,CAMPO DE GIBRALTAR GRUPO 10,392.68,2004-06-29,Andalucía,0,auto
COL4,"ENDESA GENERACIÓN, S.A.",ZONA ESPAÑOLA,CRISTOBAL COLON,390.94,2006-11-13,Andalucía,0,manual
CTGN1,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,"CTCC CASTEJÓN, GRUPO 1",424.91,2002-09-20,Navarra,0,auto
CTGN2,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,"CASTEJÓN, GRUPO 2",418.46,2007-12-28,Navarra,0,auto
CTGN3,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,"CASTEJÓN, GRUPO A",378.95,2003-06-12,Navarra,0,manual
CTJON1R,TOTALENERGIES GAS AND POWER LIMITED,ZONA ESPAÑOLA,"CTCC CASTEJÓN, GRUPO 1",424.91,2002-09-20,Navarra,0,auto
CTJON2,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,"CASTEJÓN, GRUPO 2",418.46,2007-12-28,Navarra,0,auto
CTJON3R,TOTALENERGIES GAS AND POWER LIMITED,ZONA ESPAÑOLA,"CASTEJÓN, GRUPO A",378.95,2003-06-12,Navarra,0,manual
CTN3,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,CICLO COMBINADO DE CASTELNOU,790.68,2006-07-03,Aragón,0,auto
CTN4,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,CICLO COMBINADO DE CASTELNOU,790.68,2006-07-03,Aragón,0,auto
CTNU,ENGIE CASTELNOU,ZONA ESPAÑOLA,CICLO COMBINADO DE CASTELNOU,790.68,2006-07-03,Aragón,0,auto
ECT2,IGNIS ENERGIA S.L.,ZONA ESPAÑOLA,CTCC ESCATRÓN,274.635,2007-11-29,Aragón,0,manual
ECT3,"REPSOL SERVICIOS RENOVABLES, S.A.",ZONA ESPAÑOLA,CTCC ESCATRÓN,274.635,2007-11-29,Aragón,0,manual
ESC6,IBERDROLA ENERGÍA ESPAÑA S..A.,ZONA ESPAÑOLA,CTCC ESCOMBRERAS,815.64,2006-05-10,Región de Murcia,0,manual
ESCCC1,ENGIE CARTAGENA S.L,ZONA ESPAÑOLA,ESCOMBRERAS GRUPO 1,402.68,2006-10-24,Región de Murcia,0,auto
ESCCC2,ENGIE CARTAGENA S.L,ZONA ESPAÑOLA,ESCOMBRERAS GRUPO 2,401.37,2006-11-03,Región de Murcia,0,auto
ESCCC3,ENGIE CARTAGENA S.L,ZONA ESPAÑOLA,ESCOMBRERAS GRUPO 3,395.2,2006-11-10,Región de Murcia,0,auto
LARES1,EDP GEM PORTUGAL S.A.,ZONA PORTUGUESA,,,,,0,no_match
LARES2,EDP GEM PORTUGAL S.A.,ZONA PORTUGUESA,,,,,0,no_match
MALA1,GAS NATURAL COMERCIALIZADORA,ZONA ESPAÑOLA,MALA1 (CTCC MALAGA),415.509,2009-05-18,Andalucía,0,manual
