ingested_at,market,category,file_family,filename,parser_name,raw_file_kind,rows_read,rows_output,status,output_path,error_message
2026-02-21T19:43:56+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260218.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,,0,failed,,"marginalpdbc_20260218.1 line 98: expected 6 fields, got 1 -> ['*']"
2026-02-21T19:43:56+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260219.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,,0,failed,,"marginalpdbc_20260219.1 line 98: expected 6 fields, got 1 -> ['*']"
2026-02-21T19:43:56+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260220.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,,0,failed,,"marginalpdbc_20260220.1 line 98: expected 6 fields, got 1 -> ['*']"
2026-02-21T19:43:56+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260221.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,,0,failed,,"marginalpdbc_20260221.1 line 98: expected 6 fields, got 1 -> ['*']"
2026-02-21T19:43:56+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260222.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,,0,failed,,"marginalpdbc_20260222.1 line 98: expected 6 fields, got 1 -> ['*']"
2026-02-21T19:53:20+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260218.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260218.1.parquet,
2026-02-21T19:53:20+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260219.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260219.1.parquet,
2026-02-21T19:53:20+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260220.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260220.1.parquet,
2026-02-21T19:53:20+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260221.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260221.1.parquet,
2026-02-21T19:53:20+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260222.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260222.1.parquet,
2026-02-21T20:17:12+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260218.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260218.1.parquet,
2026-02-21T20:17:12+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260219.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260219.1.parquet,
2026-02-21T20:17:12+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260220.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260220.1.parquet,
2026-02-21T20:17:12+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260221.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260221.1.parquet,
2026-02-21T20:17:12+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260222.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260222.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260212.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260212.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260213.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260213.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260214.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260214.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260215.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260215.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260216.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260216.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260217.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260217.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260218.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260218.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260219.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260219.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260220.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260220.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260221.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260221.1.parquet,
2026-02-21T20:17:46+00:00,mercado_diario,precios,marginalpdbc,marginalpdbc_20260222.1,mtu.parsing.marginalpdbc.parse_marginalpdbc_file:v1,omie_text,96,96,success,/Users/pabloparamio/Desktop/CEMFI/2nd Year/Master Thesis/mtu15_project/data/processed/omie/mercado_diario/precios/marginalpdbc/marginalpdbc_20260222.1.parquet,
