week_start,DA cleared (PDBC),Bilaterals (PDBF$-$PDBC),"Fase I (REE post-DA, pre-IDA)",IDA other (pre-2024-06),IDA1,IDA2,IDA3,Continuous (MIC/XBID),Fase II (REE real-time)
2018-01-01,0.0,0.0,301.4249,0.0,0.0,0.0,0.0,0.0,301.4249
2018-01-08,0.0,0.0,155.97119999999998,0.0,0.0,0.0,0.0,0.0,155.97119999999998
2018-01-15,0.0,0.0,185.1901,0.0,0.0,0.0,0.0,0.0,185.1901
2018-01-22,0.0,0.0,171.5544,0.0,0.0,0.0,0.0,0.0,171.5544
2018-01-29,0.0,0.0,157.3184,0.0,0.0,0.0,0.0,0.0,157.3184
2018-02-05,0.0,0.0,175.2646,0.0,0.0,0.0,0.0,0.0,175.2646
2018-02-12,0.0,0.0,184.2545,0.0,0.0,0.0,0.0,0.0,184.2545
2018-02-19,0.0,0.0,185.5303,0.0,0.0,0.0,0.0,0.0,185.5303
2018-02-26,0.0,0.0,218.9008,0.0,0.0,0.0,0.0,0.0,218.9008
2018-03-05,0.0,0.0,258.1696,0.0,0.0,0.0,0.0,0.0,258.1696
2018-03-12,0.0,0.0,312.788,0.0,0.0,0.0,0.0,0.0,312.788
2018-03-19,0.0,0.0,295.5549,0.0,0.0,0.0,0.0,0.0,295.5549
2018-03-26,0.0,0.0,274.7077,0.0,0.0,0.0,0.0,0.0,274.7077
2018-04-02,0.0,0.0,309.6862,0.0,0.0,0.0,0.0,0.0,309.6862
2018-04-09,0.0,0.0,286.8853,0.0,0.0,0.0,0.0,0.0,286.8853
2018-04-16,0.0,0.0,293.13779999999997,0.0,0.0,0.0,0.0,0.0,293.13779999999997
2018-04-23,0.0,0.0,318.338,0.0,0.0,0.0,0.0,0.0,318.338
2018-04-30,0.0,0.0,295.1393,0.0,0.0,0.0,0.0,0.0,295.1393
2018-05-07,0.0,0.0,239.23559999999998,0.0,0.0,0.0,0.0,0.0,239.23559999999998
2018-05-14,0.0,0.0,250.16039999999998,0.0,0.0,0.0,0.0,0.0,250.16039999999998
2018-05-21,0.0,0.0,180.05349999999999,0.0,0.0,0.0,0.0,0.0,180.05349999999999
2018-05-28,0.0,0.0,198.21210000000002,0.0,0.0,0.0,0.0,0.0,198.21210000000002
2018-06-04,0.0,0.0,217.7164,0.0,0.0,0.0,0.0,0.0,217.7164
2018-06-11,0.0,0.0,274.02549999999997,0.0,0.0,0.0,0.0,0.0,274.02549999999997
2018-06-18,0.0,0.0,218.7772,0.0,0.0,0.0,0.0,0.0,218.7772
2018-06-25,0.0,0.0,189.16430000000003,0.0,0.0,0.0,0.0,0.0,189.16430000000003
2018-07-02,0.0,0.0,255.1376,0.0,0.0,0.0,0.0,0.0,255.1376
2018-07-09,0.0,0.0,195.71800000000002,0.0,0.0,0.0,0.0,0.0,195.71800000000002
2018-07-16,0.0,0.0,236.2941,0.0,0.0,0.0,0.0,0.0,236.2941
2018-07-23,0.0,0.0,220.5482,0.0,0.0,0.0,0.0,0.0,220.5482
2018-07-30,0.0,0.0,222.85410000000002,0.0,0.0,0.0,0.0,0.0,222.85410000000002
2018-08-06,0.0,0.0,237.7575,0.0,0.0,0.0,0.0,0.0,237.7575
2018-08-13,0.0,0.0,269.8944,0.0,0.0,0.0,0.0,0.0,269.8944
2018-08-20,0.0,0.0,178.7331,0.0,0.0,0.0,0.0,0.0,178.7331
2018-08-27,0.0,0.0,176.1584,0.0,0.0,0.0,0.0,0.0,176.1584
2018-09-03,0.0,0.0,163.966,0.0,0.0,0.0,0.0,0.0,163.966
2018-09-10,0.0,0.0,142.1113,0.0,0.0,0.0,0.0,0.0,142.1113
2018-09-17,0.0,0.0,111.51820000000001,0.0,0.0,0.0,0.0,0.0,111.51820000000001
2018-09-24,0.0,0.0,151.45510000000002,0.0,0.0,0.0,0.0,0.0,151.45510000000002
2018-10-01,0.0,0.0,179.8475,0.0,0.0,0.0,0.0,0.0,179.8475
2018-10-08,0.0,0.0,153.9678,0.0,0.0,0.0,0.0,0.0,153.9678
2018-10-15,0.0,0.0,136.7255,0.0,0.0,0.0,0.0,0.0,136.7255
2018-10-22,0.0,0.0,125.7553,0.0,0.0,0.0,0.0,0.0,125.7553
2018-10-29,0.0,0.0,125.35919999999999,0.0,0.0,0.0,0.0,0.0,125.35919999999999
2018-11-05,0.0,0.0,147.15609999999998,0.0,0.0,0.0,0.0,0.0,147.15609999999998
2018-11-12,0.0,0.0,108.1241,0.0,0.0,0.0,0.0,0.0,108.1241
2018-11-19,0.0,0.0,121.0033,0.0,0.0,0.0,0.0,0.0,121.0033
2018-11-26,0.0,0.0,133.5448,0.0,0.0,0.0,0.0,0.0,133.5448
2018-12-03,0.0,0.0,129.755,0.0,0.0,0.0,0.0,0.0,129.755
2018-12-10,0.0,0.0,131.119,0.0,0.0,0.0,0.0,0.0,131.119
2018-12-17,0.0,0.0,138.0645,0.0,0.0,0.0,0.0,0.0,138.0645
2018-12-24,0.0,0.0,220.8942,0.0,0.0,0.0,0.0,0.0,220.8942
2018-12-31,0.0,0.0,207.055,0.0,0.0,0.0,0.0,0.0,207.055
2019-01-07,0.0,0.0,140.7853,0.0,0.0,0.0,0.0,0.0,140.7853
2019-01-14,0.0,0.0,83.1318,0.0,0.0,0.0,0.0,0.0,83.1318
2019-01-21,0.0,0.0,125.536,0.0,0.0,0.0,0.0,0.0,125.536
2019-01-28,0.0,0.0,177.8821,0.0,0.0,0.0,0.0,0.0,177.8821
2019-02-04,0.0,0.0,158.989,0.0,0.0,0.0,0.0,0.0,158.989
2019-02-11,0.0,0.0,105.1187,0.0,0.0,0.0,0.0,0.0,105.1187
2019-02-18,0.0,0.0,128.8483,0.0,0.0,0.0,0.0,0.0,128.8483
2019-02-25,0.0,0.0,169.9216,0.0,0.0,0.0,0.0,0.0,169.9216
2019-03-04,0.0,0.0,200.8805,0.0,0.0,0.0,0.0,0.0,200.8805
2019-03-11,0.0,0.0,211.5469,0.0,0.0,0.0,0.0,0.0,211.5469
2019-03-18,0.0,0.0,163.5092,0.0,0.0,0.0,0.0,0.0,163.5092
2019-03-25,0.0,0.0,158.6726,0.0,0.0,0.0,0.0,0.0,158.6726
2019-04-01,0.0,0.0,134.67309999999998,0.0,0.0,0.0,0.0,0.0,134.67309999999998
2019-04-08,0.0,0.0,157.3549,0.0,0.0,0.0,0.0,0.0,157.3549
2019-04-15,0.0,0.0,206.1564,0.0,0.0,0.0,0.0,0.0,206.1564
2019-04-22,0.0,0.0,207.0781,0.0,0.0,0.0,0.0,0.0,207.0781
2019-04-29,0.0,0.0,178.1084,0.0,0.0,0.0,0.0,0.0,178.1084
2019-05-06,0.0,0.0,145.95829999999998,0.0,0.0,0.0,0.0,0.0,145.95829999999998
2019-05-13,0.0,0.0,132.51510000000002,0.0,0.0,0.0,0.0,0.0,132.51510000000002
2019-05-20,0.0,0.0,124.2989,0.0,0.0,0.0,0.0,0.0,124.2989
2019-05-27,0.0,0.0,164.67759999999998,0.0,0.0,0.0,0.0,0.0,164.67759999999998
2019-06-03,0.0,0.0,147.9652,0.0,0.0,0.0,0.0,0.0,147.9652
2019-06-10,0.0,0.0,112.85159999999999,0.0,0.0,0.0,0.0,0.0,112.85159999999999
2019-06-17,0.0,0.0,91.60300000000001,0.0,0.0,0.0,0.0,0.0,91.60300000000001
2019-06-24,0.0,0.0,88.06809999999999,0.0,0.0,0.0,0.0,0.0,88.06809999999999
2019-07-01,0.0,0.0,79.4332,0.0,0.0,0.0,0.0,0.0,79.4332
2019-07-08,0.0,0.0,72.37,0.0,0.0,0.0,0.0,0.0,72.37
2019-07-15,0.0,0.0,61.57470000000001,0.0,0.0,0.0,0.0,0.0,61.57470000000001
2019-07-22,0.0,0.0,59.3414,0.0,0.0,0.0,0.0,0.0,59.3414
2019-07-29,0.0,0.0,53.2334,0.0,0.0,0.0,0.0,0.0,53.2334
2019-08-05,0.0,0.0,99.3205,0.0,0.0,0.0,0.0,0.0,99.3205
2019-08-12,0.0,0.0,85.3059,0.0,0.0,0.0,0.0,0.0,85.3059
2019-08-19,0.0,0.0,80.0657,0.0,0.0,0.0,0.0,0.0,80.0657
2019-08-26,0.0,0.0,70.2424,0.0,0.0,0.0,0.0,0.0,70.2424
2019-09-02,0.0,0.0,71.87780000000001,0.0,0.0,0.0,0.0,0.0,71.87780000000001
2019-09-09,0.0,0.0,86.7756,0.0,0.0,0.0,0.0,0.0,86.7756
2019-09-16,0.0,0.0,85.4118,0.0,0.0,0.0,0.0,0.0,85.4118
2019-09-23,0.0,0.0,84.3356,0.0,0.0,0.0,0.0,0.0,84.3356
2019-09-30,0.0,0.0,63.37689999999999,0.0,0.0,0.0,0.0,0.0,63.37689999999999
2019-10-07,0.0,0.0,78.8609,0.0,0.0,0.0,0.0,0.0,78.8609
2019-10-14,0.0,0.0,71.8721,0.0,0.0,0.0,0.0,0.0,71.8721
2019-10-21,0.0,0.0,110.66199999999999,0.0,0.0,0.0,0.0,0.0,110.66199999999999
2019-10-28,0.0,0.0,104.09049999999999,0.0,0.0,0.0,0.0,0.0,104.09049999999999
2019-11-04,0.0,0.0,121.4284,0.0,0.0,0.0,0.0,0.0,121.4284
2019-11-11,0.0,0.0,118.4286,0.0,0.0,0.0,0.0,0.0,118.4286
2019-11-18,0.0,0.0,131.3401,0.0,0.0,0.0,0.0,0.0,131.3401
2019-11-25,0.0,0.0,160.093,0.0,0.0,0.0,0.0,0.0,160.093
2019-12-02,0.0,0.0,166.82319999999999,0.0,0.0,0.0,0.0,0.0,166.82319999999999
2019-12-09,0.0,0.0,151.8423,0.0,0.0,0.0,0.0,0.0,151.8423
2019-12-16,0.0,0.0,138.4684,0.0,0.0,0.0,0.0,0.0,138.4684
2019-12-23,0.0,0.0,200.5968,0.0,0.0,0.0,0.0,0.0,200.5968
2019-12-30,0.0,0.0,194.47400000000002,0.0,0.0,0.0,0.0,0.0,194.47400000000002
2020-01-06,0.0,0.0,161.8983,0.0,0.0,0.0,0.0,0.0,161.8983
2020-01-13,0.0,0.0,156.9127,0.0,0.0,0.0,0.0,0.0,156.9127
2020-01-20,0.0,0.0,126.798,0.0,0.0,0.0,0.0,0.0,126.798
2020-01-27,0.0,0.0,155.4544,0.0,0.0,0.0,0.0,0.0,155.4544
2020-02-03,0.0,0.0,180.9977,0.0,0.0,0.0,0.0,0.0,180.9977
2020-02-10,0.0,0.0,174.7809,0.0,0.0,0.0,0.0,0.0,174.7809
2020-02-17,0.0,0.0,166.7014,0.0,0.0,0.0,0.0,0.0,166.7014
2020-02-24,0.0,0.0,169.4873,0.0,0.0,0.0,0.0,0.0,169.4873
2020-03-02,0.0,0.0,176.6496,0.0,0.0,0.0,0.0,0.0,176.6496
2020-03-09,0.0,0.0,206.0496,0.0,0.0,0.0,0.0,0.0,206.0496
2020-03-16,0.0,0.0,232.3408,0.0,0.0,0.0,0.0,0.0,232.3408
2020-03-23,0.0,0.0,220.67669999999998,0.0,0.0,0.0,0.0,0.0,220.67669999999998
2020-03-30,0.0,0.0,358.9285,0.0,0.0,0.0,0.0,0.0,358.9285
2020-04-06,0.0,0.0,413.9194,0.0,0.0,0.0,0.0,0.0,413.9194
2020-04-13,0.0,0.0,291.4918,0.0,0.0,0.0,0.0,0.0,291.4918
2020-04-20,0.0,0.0,277.861,0.0,0.0,0.0,0.0,0.0,277.861
2020-04-27,0.0,0.0,272.4852,0.0,0.0,0.0,0.0,0.0,272.4852
2020-05-04,0.0,0.0,281.445,0.0,0.0,0.0,0.0,0.0,281.445
2020-05-11,0.0,0.0,242.6097,0.0,0.0,0.0,0.0,0.0,242.6097
2020-05-18,0.0,0.0,262.3692,0.0,0.0,0.0,0.0,0.0,262.3692
2020-05-25,0.0,0.0,186.4133,0.0,0.0,0.0,0.0,0.0,186.4133
2020-06-01,0.0,0.0,183.4706,0.0,0.0,0.0,0.0,0.0,183.4706
2020-06-08,0.0,0.0,180.0781,0.0,0.0,0.0,0.0,0.0,180.0781
2020-06-15,0.0,0.0,146.9293,0.0,0.0,0.0,0.0,0.0,146.9293
2020-06-22,0.0,0.0,104.418,0.0,0.0,0.0,0.0,0.0,104.418
2020-06-29,0.0,0.0,107.0799,0.0,0.0,0.0,0.0,0.0,107.0799
2020-07-06,0.0,0.0,54.3535,0.0,0.0,0.0,0.0,0.0,54.3535
2020-07-13,0.0,0.0,56.6951,0.0,0.0,0.0,0.0,0.0,56.6951
2020-07-20,0.0,0.0,53.2329,0.0,0.0,0.0,0.0,0.0,53.2329
2020-07-27,0.0,0.0,68.51069999999999,0.0,0.0,0.0,0.0,0.0,68.51069999999999
2020-08-03,0.0,0.0,92.8286,0.0,0.0,0.0,0.0,0.0,92.8286
2020-08-10,0.0,0.0,90.1581,0.0,0.0,0.0,0.0,0.0,90.1581
2020-08-17,0.0,0.0,109.0257,0.0,0.0,0.0,0.0,0.0,109.0257
2020-08-24,0.0,0.0,102.85239999999999,0.0,0.0,0.0,0.0,0.0,102.85239999999999
2020-08-31,0.0,0.0,103.8741,0.0,0.0,0.0,0.0,0.0,103.8741
2020-09-07,0.0,0.0,127.99029999999999,0.0,0.0,0.0,0.0,0.0,127.99029999999999
2020-09-14,0.0,0.0,117.9531,0.0,0.0,0.0,0.0,0.0,117.9531
2020-09-21,0.0,0.0,125.4998,0.0,0.0,0.0,0.0,0.0,125.4998
2020-09-28,0.0,0.0,97.798,0.0,0.0,0.0,0.0,0.0,97.798
2020-10-05,0.0,0.0,162.4648,0.0,0.0,0.0,0.0,0.0,162.4648
2020-10-12,0.0,0.0,216.3788,0.0,0.0,0.0,0.0,0.0,216.3788
2020-10-19,0.0,0.0,221.7484,0.0,0.0,0.0,0.0,0.0,221.7484
2020-10-26,0.0,0.0,173.4615,0.0,0.0,0.0,0.0,0.0,173.4615
2020-11-02,0.0,0.0,193.314,0.0,0.0,0.0,0.0,0.0,193.314
2020-11-09,0.0,0.0,164.7189,0.0,0.0,0.0,0.0,0.0,164.7189
2020-11-16,0.0,0.0,190.60739999999998,0.0,0.0,0.0,0.0,0.0,190.60739999999998
2020-11-23,0.0,0.0,164.3376,0.0,0.0,0.0,0.0,0.0,164.3376
2020-11-30,0.0,0.0,162.9126,0.0,0.0,0.0,0.0,0.0,162.9126
2020-12-07,0.0,0.0,153.31640000000002,0.0,0.0,0.0,0.0,0.0,153.31640000000002
2020-12-14,0.0,0.0,123.4042,0.0,0.0,0.0,0.0,0.0,123.4042
2020-12-21,0.0,0.0,201.47899999999998,0.0,0.0,0.0,0.0,0.0,201.47899999999998
2020-12-28,0.0,0.0,164.75,0.0,0.0,0.0,0.0,0.0,164.75
2021-01-04,0.0,0.0,143.5196,0.0,0.0,0.0,0.0,0.0,143.5196
2021-01-11,0.0,0.0,169.533,0.0,0.0,0.0,0.0,0.0,169.533
2021-01-18,0.0,0.0,154.7784,0.0,0.0,0.0,0.0,0.0,154.7784
2021-01-25,0.0,0.0,154.9983,0.0,0.0,0.0,0.0,0.0,154.9983
2021-02-01,0.0,0.0,152.79049999999998,0.0,0.0,0.0,0.0,0.0,152.79049999999998
2021-02-08,0.0,0.0,139.1901,0.0,0.0,0.0,0.0,0.0,139.1901
2021-02-15,0.0,0.0,168.3616,0.0,0.0,0.0,0.0,0.0,168.3616
2021-02-22,0.0,0.0,152.4793,0.0,0.0,0.0,0.0,0.0,152.4793
2021-03-01,0.0,0.0,176.2188,0.0,0.0,0.0,0.0,0.0,176.2188
2021-03-08,0.0,0.0,174.135,0.0,0.0,0.0,0.0,0.0,174.135
2021-03-15,0.0,0.0,154.9464,0.0,0.0,0.0,0.0,0.0,154.9464
2021-03-22,0.0,0.0,193.94559999999998,0.0,0.0,0.0,0.0,0.0,193.94559999999998
2021-03-29,0.0,0.0,269.3056,0.0,0.0,0.0,0.0,0.0,269.3056
2021-04-05,0.0,0.0,188.77319999999997,0.0,0.0,0.0,0.0,0.0,188.77319999999997
2021-04-12,0.0,0.0,168.1026,0.0,0.0,0.0,0.0,0.0,168.1026
2021-04-19,0.0,0.0,161.0172,0.0,0.0,0.0,0.0,0.0,161.0172
2021-04-26,0.0,0.0,177.06470000000002,0.0,0.0,0.0,0.0,0.0,177.06470000000002
2021-05-03,0.0,0.0,197.4128,0.0,0.0,0.0,0.0,0.0,197.4128
2021-05-10,0.0,0.0,172.3111,0.0,0.0,0.0,0.0,0.0,172.3111
2021-05-17,0.0,0.0,200.0841,0.0,0.0,0.0,0.0,0.0,200.0841
2021-05-24,0.0,0.0,203.2715,0.0,0.0,0.0,0.0,0.0,203.2715
2021-05-31,0.0,0.0,214.0324,0.0,0.0,0.0,0.0,0.0,214.0324
2021-06-07,0.0,0.0,221.34640000000002,0.0,0.0,0.0,0.0,0.0,221.34640000000002
2021-06-14,0.0,0.0,142.3342,0.0,0.0,0.0,0.0,0.0,142.3342
2021-06-21,0.0,0.0,190.1191,0.0,0.0,0.0,0.0,0.0,190.1191
2021-06-28,0.0,0.0,181.8958,0.0,0.0,0.0,0.0,0.0,181.8958
2021-07-05,0.0,0.0,126.00290000000001,0.0,0.0,0.0,0.0,0.0,126.00290000000001
2021-07-12,0.0,0.0,142.5799,0.0,0.0,0.0,0.0,0.0,142.5799
2021-07-19,0.0,0.0,119.2236,0.0,0.0,0.0,0.0,0.0,119.2236
2021-07-26,0.0,0.0,191.96949999999998,0.0,0.0,0.0,0.0,0.0,191.96949999999998
2021-08-02,0.0,0.0,199.1139,0.0,0.0,0.0,0.0,0.0,199.1139
2021-08-09,0.0,0.0,117.6795,0.0,0.0,0.0,0.0,0.0,117.6795
2021-08-16,0.0,0.0,237.5074,0.0,0.0,0.0,0.0,0.0,237.5074
2021-08-23,0.0,0.0,142.9219,0.0,0.0,0.0,0.0,0.0,142.9219
2021-08-30,0.0,0.0,61.8844,0.0,0.0,0.0,0.0,0.0,61.8844
2021-09-06,0.0,0.0,67.5106,0.0,0.0,0.0,0.0,0.0,67.5106
2021-09-13,0.0,0.0,67.6888,0.0,0.0,0.0,0.0,0.0,67.6888
2021-09-20,0.0,0.0,111.6925,0.0,0.0,0.0,0.0,0.0,111.6925
2021-09-27,0.0,0.0,102.45609999999999,0.0,0.0,0.0,0.0,0.0,102.45609999999999
2021-10-04,0.0,0.0,116.3588,0.0,0.0,0.0,0.0,0.0,116.3588
2021-10-11,0.0,0.0,151.3713,0.0,0.0,0.0,0.0,0.0,151.3713
2021-10-18,0.0,0.0,113.0555,0.0,0.0,0.0,0.0,0.0,113.0555
2021-10-25,0.0,0.0,86.5175,0.0,0.0,0.0,0.0,0.0,86.5175
2021-11-01,0.0,0.0,131.3626,0.0,0.0,0.0,0.0,0.0,131.3626
2021-11-08,0.0,0.0,76.6267,0.0,0.0,0.0,0.0,0.0,76.6267
2021-11-15,0.0,0.0,64.982,0.0,0.0,0.0,0.0,0.0,64.982
2021-11-22,0.0,0.0,49.838499999999996,0.0,0.0,0.0,0.0,0.0,49.838499999999996
2021-11-29,0.0,0.0,55.317,0.0,0.0,0.0,0.0,0.0,55.317
2021-12-06,0.0,0.0,107.66229999999999,0.0,0.0,0.0,0.0,0.0,107.66229999999999
2021-12-13,0.0,0.0,24.465899999999998,0.0,0.0,0.0,0.0,0.0,24.465899999999998
