firm,regime,mean,median,count
GE,3-sess,375.0,450.15,170
GE,DA15/ID15,50.99459459459459,74.0,111
GE,DA60/ID15,-90.59799465240643,3.3,187
GE,ISP15-win,204.9546296296296,125.99999999999999,108
GE,pre-IDA,50.02324074074074,35.900000000000006,2160
GN,3-sess,1155.0005917159763,1088.8,169
GN,DA15/ID15,1558.1988839285714,1410.975,112
GN,DA60/ID15,760.9485677083334,564.2125000000001,192
GN,ISP15-win,1252.0972222222222,1138.45,108
GN,pre-IDA,806.8106946983547,639.2,2188
HC,3-sess,395.7678787878788,270.9,165
HC,DA15/ID15,426.4422330097088,186.225,103
HC,DA60/ID15,298.40797297297297,195.5,185
HC,ISP15-win,398.381,217.2,100
HC,pre-IDA,82.76786279683378,58.9,1895
IB,3-sess,827.2177514792899,966.3,169
IB,DA15/ID15,518.4960176991151,581.4,113
IB,DA60/ID15,360.8253865979381,421.3125,194
IB,ISP15-win,931.2907407407407,943.5,108
IB,pre-IDA,715.0780028261894,407.0,2123
