firm,regime,n_days,mean_q1_DA_GWh,mean_q1_bilat_GWh,mean_q1_total_GWh,mean_q2_IDA_MWh,bilateral_share,q2_per_q1_DA_pct,q2_per_q1_total_pct
GE,pre-IDA,2356,34.949163752122246,34.4979570458404,69.44712079796264,2974.81078098472,0.49675143691273754,8.511822491901766,4.283562438303407
GE,3-sess,170,35.64106764705884,12.329716470588236,47.97078411764707,2969.3982352941175,0.2570255353831602,8.33139530133901,6.190013963523605
GE,ISP15-win,108,36.47583611111111,17.144993518518522,53.62082962962963,2131.813888888889,0.3197450251505358,5.8444551686081985,3.975719703730391
GE,DA60/ID15,195,44.9360282051282,8.558341025641019,53.49436923076923,2458.5594871794888,0.15998582932572233,5.471243421773783,4.595922005498401
GE,DA15/ID15,112,45.50089531249999,8.403869419642854,53.90476473214283,3019.2154017857133,0.15590216303516705,6.6355076774857995,5.601017677729308
GN,pre-IDA,2356,23.999943505942277,21.231895500848896,45.231839006791176,12166.076655348048,0.46940155357515106,50.69210538906387,26.897152365441997
GN,3-sess,170,6.728328823529411,26.01795176470588,32.746280588235294,5382.324705882353,0.7945315100626515,79.99497121870749,16.436445938889474
GN,ISP15-win,108,10.979653703703706,32.44711666666665,43.42677037037035,5621.367592592594,0.7471685412002224,51.19804088808711,12.944475365425737
GN,DA60/ID15,195,11.231791282051283,21.357801538461572,32.589592820512856,5261.686923076925,0.6553565015705977,46.84637375237954,16.14529813875141
GN,DA15/ID15,112,10.85811339285714,18.79585223214285,29.653965624999987,7262.176785714285,0.6338394152685222,66.88249167200269,24.489732258918703
HC,pre-IDA,2356,17.05989032258065,1.5220631578947368,18.581953480475384,2211.6035653650256,0.08191082597930374,12.96376192077697,11.901889474047083
HC,3-sess,170,1.6883105882352947,1.3409464705882352,3.02925705882353,1738.2511764705882,0.4426651302775267,102.95802138441208,57.382095435164935
HC,ISP15-win,108,5.334210185185186,2.9852370370370367,8.319447222222221,2032.25,0.35882636878362756,38.09842374873436,24.4277046985961
HC,DA60/ID15,195,0.482025128205128,1.6637794871794873,2.1458046153846153,1499.488717948718,0.7753639242132353,311.08102673655713,69.88002109781783
HC,DA15/ID15,112,0.7779604910714287,1.7442017857142855,2.5221622767857146,2264.837276785714,0.6915501836531808,291.12497392592746,89.7974447414248
IB,pre-IDA,2356,41.71579303904923,111.01208217317486,152.7278752122241,6373.536969439729,0.7268619563973979,15.278474901516558,4.173132743831691
IB,3-sess,170,58.28976588235295,99.43953117647057,157.7292970588235,4058.384705882353,0.6304442676834198,6.962430959275849,2.5730062718588167
IB,ISP15-win,108,64.92197962962959,124.258825,189.1808046296296,2430.0305555555556,0.6568257558861156,3.7430013216148446,1.2845016492624448
IB,DA60/ID15,195,61.788373846153874,90.59475692307682,152.3831307692307,2331.255897435898,0.594519593249949,3.772968525179938,1.5298648122451013
IB,DA15/ID15,112,64.95431361607146,90.71719241071433,155.67150602678575,3328.494419642858,0.5827475735675417,5.124362393107173,2.1381526424432082
