firm_group,month,units_in_month,within_unit_tpp_unweighted,within_unit_tpp_weighted,firm_total_rows,sum_unit_active_cells
Fringe-surv,2018-01-01,23,5.669770865335381,5.871624191707873,92619.0,15774.0
Fringe-surv,2018-02-01,23,5.731487682131435,5.958601398601399,85208.0,14300.0
Fringe-surv,2018-03-01,22,5.776262811414351,5.843960060040462,89547.0,15323.0
Fringe-surv,2018-04-01,21,5.769639107010705,5.995929345060697,82486.0,13757.0
Fringe-surv,2018-05-01,22,5.987228685103428,5.9300200868269295,91518.0,15433.0
Fringe-surv,2018-06-01,23,5.769261202731968,5.983586818757922,94421.0,15780.0
Fringe-surv,2018-07-01,22,5.802433046877007,5.8157198251984985,94488.0,16247.0
Fringe-surv,2018-08-01,22,5.845982840080449,5.927440633245382,94353.0,15918.0
Fringe-surv,2018-09-01,22,5.89636869031057,5.87771756455212,92192.0,15685.0
Fringe-surv,2018-10-01,24,5.4281903273711585,5.736818559468269,89764.0,15647.0
Fringe-surv,2018-11-01,21,5.942764453713359,5.986620283649986,89488.0,14948.0
Fringe-surv,2018-12-01,21,6.002176139272913,6.002179487179487,93634.0,15600.0
Fringe-surv,2019-01-01,22,6.241929374389051,6.123709369024857,96081.0,15690.0
Fringe-surv,2019-02-01,22,6.1224093204775025,6.131806930693069,89181.0,14544.0
Fringe-surv,2019-03-01,22,6.198391836134618,6.149358302776323,93913.0,15272.0
Fringe-surv,2019-04-01,22,6.3766992349313645,6.505346507850568,96123.0,14776.0
Fringe-surv,2019-05-01,23,5.8763831809773555,6.100591715976331,95883.0,15717.0
Fringe-surv,2019-06-01,21,6.001723469976887,6.041362530413625,86905.0,14385.0
Fringe-surv,2019-07-01,21,5.58883438929178,5.818291862811029,86518.0,14870.0
Fringe-surv,2019-08-01,20,5.733459261562624,5.721973702046903,84422.0,14754.0
Fringe-surv,2019-09-01,20,5.8536665421026415,5.796863549758171,79104.0,13646.0
Fringe-surv,2019-10-01,22,5.729975900956905,6.022335673261009,84933.0,14103.0
Fringe-surv,2019-11-01,21,5.550455601250853,6.084233442183706,72664.0,11943.0
Fringe-surv,2019-12-01,21,5.342178132896266,5.637301587301588,71030.0,12600.0
Fringe-surv,2020-01-01,21,5.5370425561961225,5.759588741432113,78987.0,13714.0
Fringe-surv,2020-02-01,21,5.8898224256393386,6.277731124513322,82232.0,13099.0
Fringe-surv,2020-03-01,21,5.939893569845385,6.504130978549231,85809.0,13193.0
Fringe-surv,2020-04-01,20,6.094977250957855,6.36515566072617,86076.0,13523.0
Fringe-surv,2020-05-01,20,6.11719094277562,6.446990758133594,85803.0,13309.0
Fringe-surv,2020-06-01,20,6.063668358514322,6.415001513775356,84755.0,13212.0
Fringe-surv,2020-07-01,21,5.6868750495375915,6.2060701729210015,86494.0,13937.0
Fringe-surv,2020-08-01,22,5.544444211858209,6.027998567848192,84181.0,13965.0
Fringe-surv,2020-09-01,20,5.876070880484828,5.953237672080997,81732.0,13729.0
Fringe-surv,2020-10-01,21,5.781300075633321,5.991650828129242,88269.0,14732.0
Fringe-surv,2020-11-01,22,5.956621503496503,6.200042441819339,87650.0,14137.0
Fringe-surv,2020-12-01,23,5.8639665650566375,6.199173873757584,96050.0,15494.0
Fringe-surv,2021-01-01,24,5.392749531372307,5.934649239797279,88996.0,14996.0
Fringe-surv,2021-02-01,22,5.144116978858548,5.663480220719671,72872.0,12867.0
Fringe-surv,2021-03-01,22,5.237287023962664,5.798951048951049,82925.0,14300.0
Fringe-surv,2021-04-01,23,5.016709027327133,5.84087678611506,78075.0,13367.0
Fringe-surv,2021-05-01,22,5.239828303545187,6.0314649379397585,76292.0,12649.0
Fringe-surv,2021-06-01,19,5.339702694965854,6.059575202901053,70182.0,11582.0
Fringe-surv,2021-07-01,19,5.403390297469245,5.6551045137837015,74670.0,13204.0
Fringe-surv,2021-08-01,20,5.215066518931432,5.702696543866312,75076.0,13165.0
Fringe-surv,2021-09-01,20,5.261132756132755,5.473857185539289,73284.0,13388.0
Fringe-surv,2021-10-01,21,5.325131060312975,5.757536698890083,80404.0,13965.0
Fringe-surv,2021-11-01,22,5.514964990817263,6.225334864140835,81334.0,13065.0
Fringe-surv,2021-12-01,24,4.928570698001045,6.227283010331046,82580.0,13261.0
Fringe-surv,2022-01-01,21,5.575464829749103,6.152451016097312,84467.0,13729.0
Fringe-surv,2022-02-01,22,5.390316814197412,6.033144013070879,77544.0,12853.0
Fringe-surv,2022-03-01,21,5.702664409919885,6.3219746614242025,86826.0,13734.0
Fringe-surv,2022-04-01,23,5.5524537820080555,6.513210689681278,86033.0,13209.0
Fringe-surv,2022-05-01,23,5.350390112007349,6.150849077409395,83670.0,13603.0
Fringe-surv,2022-06-01,21,5.125946834904046,5.863324663040908,74388.0,12687.0
Fringe-surv,2022-07-01,22,5.204118874897211,5.600083752093802,80238.0,14328.0
Fringe-surv,2022-08-01,22,5.24169489338442,5.716413830804974,83654.0,14634.0
Fringe-surv,2022-09-01,22,5.003973386695143,5.4109638380636795,75115.0,13882.0
Fringe-surv,2022-10-01,22,5.078968675656699,5.548725212464589,78348.0,14120.0
Fringe-surv,2022-11-01,22,5.353330471138936,5.929235953410006,80940.0,13651.0
Fringe-surv,2022-12-01,22,5.15441528729421,5.436998553202683,82675.0,15206.0
Fringe-surv,2023-01-01,22,4.583061373292443,4.753535223090334,73618.0,15487.0
Fringe-surv,2023-02-01,22,5.517305337206653,5.826329517461238,80415.0,13802.0
Fringe-surv,2023-03-01,22,5.518461719831704,5.836757539839326,88637.0,15186.0
Fringe-surv,2023-04-01,22,5.27199710674585,5.605891605891606,78404.0,13986.0
Fringe-surv,2023-05-01,22,5.065121088572886,5.435695903178688,78149.0,14377.0
Fringe-surv,2023-06-01,19,5.904875944281571,6.086912145717202,77529.0,12737.0
Fringe-surv,2023-07-01,21,5.243911189263481,5.469521770164168,76628.0,14010.0
Fringe-surv,2023-08-01,21,5.067776455623986,5.223841059602649,74936.0,14345.0
Fringe-surv,2023-09-01,22,4.909236774655961,5.414550745725719,74423.0,13745.0
Fringe-surv,2023-10-01,23,4.946298929568813,5.518836078854982,81745.0,14812.0
Fringe-surv,2023-11-01,23,4.801846314019663,4.969730289114546,76837.0,15461.0
Fringe-surv,2023-12-01,23,5.328839331556118,5.470421001693685,90437.0,16532.0
Fringe-surv,2024-01-01,23,5.3036352608907285,5.386060100166945,90335.0,16772.0
Fringe-surv,2024-02-01,25,4.915755151359612,4.958961522789452,85190.0,17179.0
Fringe-surv,2024-03-01,27,4.253799415339449,4.860938452163315,79768.0,16410.0
Fringe-surv,2024-04-01,24,4.4115949227829,4.791079500132943,72077.0,15044.0
Fringe-surv,2024-05-01,24,4.871078018499607,4.96601105235011,83573.0,16829.0
Fringe-surv,2024-06-01,25,4.641857514359831,4.818760891773331,80189.0,16641.0
Fringe-surv,2024-07-01,25,4.607727022029625,4.730767091283306,85045.0,17977.0
Fringe-surv,2024-08-01,26,4.51754337812999,4.771344399750722,84219.0,17651.0
Fringe-surv,2024-09-01,24,4.688316534457766,4.743334561985502,77212.0,16278.0
Fringe-surv,2024-10-01,26,4.259179857961346,4.842679228237723,75047.0,15497.0
Fringe-surv,2024-11-01,24,4.788502981265986,5.070915279878971,80445.0,15864.0
Fringe-surv,2024-12-01,25,5.000378690212987,5.373668234033689,90283.0,16801.0
Fringe-surv,2025-01-01,27,4.763096784828155,5.341154819415689,92872.0,17388.0
Fringe-surv,2025-02-01,24,5.460116497511282,5.753036167089284,86215.0,14986.0
Fringe-surv,2025-03-01,58,2.86808761446684,4.135654639987395,104996.0,25388.0
Fringe-surv,2025-04-01,50,3.101842401867697,3.292157417004303,104819.0,31839.0
Fringe-surv,2025-05-01,56,2.9198427938289484,3.1570435522769187,111270.0,35245.0
Fringe-surv,2025-06-01,59,2.666185357492587,2.9495209702162146,101903.0,34549.0
Fringe-surv,2025-07-01,53,2.851954627876416,3.2803852669887683,104559.0,31874.0
Fringe-surv,2025-08-01,54,2.790528006880919,3.1197326788301742,105500.0,33817.0
Fringe-surv,2025-09-01,57,2.7008135899662724,3.054567694969867,102383.0,33518.0
Fringe-surv,2025-10-01,55,2.738624825503999,3.097704678476211,398529.0,128653.0
Fringe-surv,2025-11-01,55,2.854720256344373,3.098890367755563,428403.0,138244.0
Fringe-surv,2025-12-01,60,2.81823123434644,2.987184799886197,482977.0,161683.0
Fringe-surv,2026-01-01,59,2.8716650973006907,2.9166331860184815,145190.0,49780.0
GE,2018-01-01,30,2.514200887525823,2.553649934779458,52858.0,20699.0
GE,2018-02-01,31,2.389388610792628,2.4779044516829534,45643.0,18420.0
GE,2018-03-01,32,2.0871949208467915,2.193243243243243,43821.0,19980.0
GE,2018-04-01,31,2.1088305347815477,2.1682842830306823,41553.0,19164.0
GE,2018-05-01,31,2.2364365426361617,2.295542778514915,46712.0,20349.0
GE,2018-06-01,31,2.2326372821982106,2.268404384896468,46559.0,20525.0
GE,2018-07-01,31,2.1938664670833568,2.2336943996312515,48460.0,21695.0
GE,2018-08-01,31,2.334636925582642,2.342622802247598,51697.0,22068.0
GE,2018-09-01,31,2.4369682474030276,2.4501472864346696,49074.0,20029.0
GE,2018-10-01,30,2.4931185423556204,2.525110565110565,51386.0,20350.0
GE,2018-11-01,30,2.54578457025932,2.6259757950437472,50122.0,19087.0
GE,2018-12-01,29,2.3737292867361544,2.3851966984671455,44503.0,18658.0
GE,2019-01-01,28,2.3341442208465852,2.289896990916933,45127.0,19707.0
GE,2019-02-01,28,2.1451488739752094,2.1545787545787545,38233.0,17745.0
GE,2019-03-01,30,2.0658667396286146,2.130031115125966,42443.0,19926.0
GE,2019-04-01,30,2.030144005461512,2.046978828619997,39738.0,19413.0
GE,2019-05-01,29,2.0397740794318713,2.085160017536168,38050.0,18248.0
GE,2019-06-01,30,1.9405061946303237,1.9881603397929386,37447.0,18835.0
GE,2019-07-01,29,2.0542273729028024,2.0890644914606167,40977.0,19615.0
GE,2019-08-01,29,2.0387393428709033,2.0431393434685776,42199.0,20654.0
GE,2019-09-01,30,2.0266814591800233,2.0074047224523612,38767.0,19312.0
GE,2019-10-01,27,2.072469187988292,2.068049938456128,35283.0,17061.0
GE,2019-11-01,27,1.8664892426003803,1.9032356346353057,31234.0,16411.0
GE,2019-12-01,28,1.8584560012322129,1.8388313990052028,32163.0,17491.0
GE,2020-01-01,27,1.9272825564587865,1.8884369552585707,32500.0,17210.0
GE,2020-02-01,28,1.8270354524667984,1.895276073619632,30893.0,16300.0
GE,2020-03-01,29,1.9715693112198145,2.0470214095065025,36046.0,17609.0
GE,2020-04-01,27,2.0316548463740314,2.019055180627233,35602.0,17633.0
GE,2020-05-01,27,1.9131113947104557,1.948209336449106,35849.0,18401.0
GE,2020-06-01,29,1.8480252050344623,1.9123303167420815,33810.0,17680.0
GE,2020-07-01,23,1.9463403646861175,1.9704395176973941,30396.0,15426.0
GE,2020-08-01,23,1.9078536557625811,1.9316539738332357,29676.0,15363.0
GE,2020-09-01,22,1.973591583088992,2.038791124713083,26647.0,13070.0
GE,2020-10-01,21,1.9272759823120065,1.9087917590671721,26683.0,13979.0
GE,2020-11-01,22,1.7961452791946528,1.840514039518645,24777.0,13462.0
GE,2020-12-01,22,1.6974033201943024,1.6934498437055983,23837.0,14076.0
GE,2021-01-01,24,1.8267072475019077,1.837013430457546,24210.0,13179.0
GE,2021-02-01,22,1.5400640211421164,1.544732441471572,18475.0,11960.0
GE,2021-03-01,21,1.739137420932473,1.7920634920634921,22580.0,12600.0
GE,2021-04-01,20,1.8059359986118395,1.8816112084063048,21488.0,11420.0
GE,2021-05-01,21,1.6019465833736914,1.609442060085837,20250.0,12582.0
GE,2021-06-01,20,1.690949276633453,1.690135625880086,22805.0,13493.0
GE,2021-07-01,22,1.9301197259522829,2.0349253266957064,26161.0,12856.0
GE,2021-08-01,18,2.156686663498421,2.198138078760916,26681.0,12138.0
GE,2021-09-01,17,1.8447498107098492,1.9416858489531952,17714.0,9123.0
GE,2021-10-01,16,1.6721929028739535,1.7287526215919304,17310.0,10013.0
GE,2021-11-01,17,1.8753914913326666,1.9581863979848866,19435.0,9925.0
GE,2021-12-01,18,1.826791073560691,1.8411310575760393,19794.0,10751.0
GE,2022-01-01,16,1.909629476207394,1.9641595678371078,18907.0,9626.0
GE,2022-02-01,15,1.8967978446279752,1.9897159647404505,16252.0,8168.0
GE,2022-03-01,17,1.8666775168443508,2.0274793904571573,16232.0,8006.0
GE,2022-04-01,17,1.7495329055102942,1.817858232482457,17875.0,9833.0
GE,2022-05-01,17,1.6307300100128304,1.7468413664014975,14932.0,8548.0
GE,2022-06-01,17,1.7171541267048327,1.8213220675944335,14658.0,8048.0
GE,2022-07-01,18,1.6974883873394637,1.9581643295862787,16897.0,8629.0
GE,2022-08-01,16,1.9981169641217367,2.078933945422086,16303.0,7842.0
GE,2022-09-01,14,1.928240651247043,1.9088,13123.0,6875.0
GE,2022-10-01,15,1.681108002460578,1.8112407211028632,11956.0,6601.0
GE,2022-11-01,18,2.043964326054036,1.8314665277415993,14062.0,7678.0
GE,2022-12-01,16,1.6492127065318043,1.7844608341810784,14033.0,7864.0
GE,2023-01-01,16,1.4120958248073467,1.5164473684210527,11986.0,7904.0
GE,2023-02-01,18,1.7969676846281075,1.7618236046016191,12405.0,7041.0
GE,2023-03-01,20,1.4318830044877289,1.4868588177821203,15218.0,10235.0
GE,2023-04-01,22,1.3809427507540044,1.386641898167694,16422.0,11843.0
GE,2023-05-01,19,1.5449218899994923,1.549293347121682,17978.0,11604.0
GE,2023-06-01,20,1.563821586376293,1.59632521819017,17376.0,10885.0
GE,2023-07-01,20,1.5155325031722975,1.5078795964312515,18084.0,11993.0
GE,2023-08-01,20,1.4875914778825945,1.507635037605409,19845.0,13163.0
GE,2023-09-01,20,1.4889735946295959,1.4694266987471998,17711.0,12053.0
GE,2023-10-01,22,1.394803088128018,1.395985401459854,14535.0,10412.0
GE,2023-11-01,20,1.296038841368615,1.3245793210777161,13618.0,10281.0
GE,2023-12-01,19,1.384173458095799,1.3730615429630353,14078.0,10253.0
GE,2024-01-01,19,1.3704211728183615,1.3681096816602498,14569.0,10649.0
GE,2024-02-01,19,1.296717636950353,1.34242774566474,11612.0,8650.0
GE,2024-03-01,18,1.3296226831140776,1.3448638541544935,11508.0,8557.0
GE,2024-04-01,19,1.3014632318328958,1.3257316108621144,10057.0,7586.0
GE,2024-05-01,19,1.4705818949021872,1.5762979683972913,13966.0,8860.0
GE,2024-06-01,19,1.517101114446692,1.5280973158799418,11557.0,7563.0
GE,2024-07-01,21,1.3531026692579222,1.4294761700300558,13317.0,9316.0
GE,2024-08-01,19,1.3392402143151265,1.3552330022918258,14192.0,10472.0
GE,2024-09-01,18,1.4268798855912612,1.4458089901037319,12126.0,8387.0
GE,2024-10-01,17,1.4098977238136232,1.3846699787083037,11706.0,8454.0
GE,2024-11-01,17,1.4193327254771826,1.468537215308758,12509.0,8518.0
GE,2024-12-01,18,1.5053561220917357,1.524550898203593,14003.0,9185.0
GE,2025-01-01,17,1.449207335907318,1.4894909851578844,14953.0,10039.0
GE,2025-02-01,18,1.3819737881761813,1.445748502994012,12072.0,8350.0
GE,2025-03-01,18,1.5371396299831965,1.525181368941226,14506.0,9511.0
GE,2025-04-01,20,1.5826355452955259,1.6375048657065006,16827.0,10276.0
GE,2025-05-01,19,1.5494269572070254,1.6029453681710213,16871.0,10525.0
GE,2025-06-01,20,1.4925647655500982,1.5211072023699315,16431.0,10802.0
GE,2025-07-01,19,1.5743041545577483,1.5837709639166526,18698.0,11806.0
GE,2025-08-01,20,1.5656226391158876,1.5843394886363635,17846.0,11264.0
GE,2025-09-01,19,1.5667512104099555,1.518918918918919,16017.0,10545.0
GE,2025-10-01,18,1.660148211248433,1.798178913738019,56283.0,31300.0
GE,2025-11-01,20,1.8082304744563342,1.8611150924466102,77910.0,41862.0
GE,2025-12-01,21,1.5877698402152556,1.6090369675590808,78912.0,49043.0
GE,2026-01-01,20,1.2550111500799574,1.195435714804855,16448.0,13759.0
GN,2018-01-01,24,7.952446173564045,8.05743513544405,140989.0,17498.0
GN,2018-02-01,24,8.044754946278928,8.161123668065871,126375.0,15485.0
GN,2018-03-01,25,7.2232169277002205,7.4184559710494575,122998.0,16580.0
GN,2018-04-01,22,7.679295106234761,7.739482851018221,115535.0,14928.0
GN,2018-05-01,23,8.211827260463995,8.18884173739391,131218.0,16024.0
GN,2018-06-01,25,7.8064532738172385,8.059370097743454,133576.0,16574.0
GN,2018-07-01,24,7.843641163149383,7.835720782173715,137846.0,17592.0
GN,2018-08-01,24,7.588802837227736,7.590248962655601,131706.0,17352.0
GN,2018-09-01,24,7.768503080773776,7.750711302136933,128034.0,16519.0
GN,2018-10-01,24,7.728003387744098,7.675492533567574,122332.0,15938.0
GN,2018-11-01,24,8.046764219247152,8.069830341775264,131280.0,16268.0
GN,2018-12-01,23,7.824329578142447,7.811247844955711,131393.0,16821.0
GN,2019-01-01,23,7.838384801808619,7.793829401088929,128832.0,16530.0
GN,2019-02-01,23,7.8434186129192,7.823875549543456,115676.0,14785.0
GN,2019-03-01,21,7.912081756048236,7.915521033819082,115155.0,14548.0
GN,2019-04-01,21,7.99906694522413,8.003688524590164,117174.0,14640.0
GN,2019-05-01,22,8.024276468474119,8.023097145718578,128177.0,15976.0
GN,2019-06-01,23,8.127643395564123,8.12551282051282,126758.0,15600.0
GN,2019-07-01,23,8.068650832895223,8.046521632251721,130933.0,16272.0
GN,2019-08-01,24,7.835229151217401,7.845009157509158,137068.0,17472.0
GN,2019-09-01,24,7.6811342592592595,7.6803977272727275,129768.0,16896.0
GN,2019-10-01,24,7.845612391310714,7.78069957826842,125456.0,16124.0
GN,2019-11-01,24,7.446961393551388,7.357576933023015,113807.0,15468.0
GN,2019-12-01,25,6.620685397556197,6.901666382301086,121352.0,17583.0
GN,2020-01-01,24,7.1631459447887424,7.156492912665752,125210.0,17496.0
GN,2020-02-01,25,7.320103785261831,7.564715426859711,121217.0,16024.0
GN,2020-03-01,24,7.24372758724216,7.478339915992728,119287.0,15951.0
GN,2020-04-01,24,7.41105677129384,7.58495670995671,126153.0,16632.0
GN,2020-05-01,24,7.447068888270919,7.955807468477206,131239.0,16496.0
GN,2020-06-01,22,7.88701724388562,7.929243976737745,114530.0,14444.0
GN,2020-07-01,19,8.30732978162871,8.307069846678024,117030.0,14088.0
GN,2020-08-01,19,7.77889391938628,7.765285126396238,105670.0,13608.0
GN,2020-09-01,20,7.4412157971956345,7.720585943587346,99086.0,12834.0
GN,2020-10-01,20,7.8661484095289325,7.863333104064929,114325.0,14539.0
GN,2020-11-01,19,7.812438498340082,7.803901273885351,98017.0,12560.0
GN,2020-12-01,19,7.488483653516437,7.481166375799884,102881.0,13752.0
GN,2021-01-01,20,7.147318013852204,7.4071758436944934,104256.0,14075.0
GN,2021-02-01,20,6.769923941798941,7.158318797242296,86179.0,12039.0
GN,2021-03-01,21,7.088843366963932,7.633569217160549,103557.0,13566.0
GN,2021-04-01,20,7.491893074581431,7.445427955665025,96731.0,12992.0
GN,2021-05-01,19,7.764617729727121,7.734058627984285,102368.0,13236.0
GN,2021-06-01,20,7.762200663919413,7.7405202821869485,105333.0,13608.0
GN,2021-07-01,20,7.630798387096775,7.626425081433225,112383.0,14736.0
GN,2021-08-01,20,6.94861825002954,6.925005222477544,99450.0,14361.0
GN,2021-09-01,21,7.594576892866686,7.56965921032878,100843.0,13322.0
GN,2021-10-01,20,6.965882869874885,7.020830244625649,94711.0,13490.0
GN,2021-11-01,19,7.009296812210345,6.993027169992787,87252.0,12477.0
GN,2021-12-01,21,6.805819642119134,6.764589235127478,95516.0,14120.0
GN,2022-01-01,21,6.929171123449076,6.919268800416341,106363.0,15372.0
GN,2022-02-01,21,7.026214135851771,6.997887529137529,96067.0,13728.0
GN,2022-03-01,21,6.939324712565949,6.933635774465327,106986.0,15430.0
GN,2022-04-01,21,6.4244152837902835,6.3135926573426575,86673.0,13728.0
GN,2022-05-01,21,6.928357604266885,6.851273148148148,94712.0,13824.0
GN,2022-06-01,21,7.296558978775385,7.279582860385925,102613.0,14096.0
GN,2022-07-01,21,8.391876403166727,8.403508771929825,126456.0,15048.0
GN,2022-08-01,20,7.472125256016386,7.456837955410549,109705.0,14712.0
GN,2022-09-01,21,6.902280652424371,6.816106992295392,93776.0,13758.0
GN,2022-10-01,21,7.402271040723414,7.4301638909163294,111980.0,15071.0
GN,2022-11-01,21,6.624437119025456,6.616632563577901,90542.0,13684.0
GN,2022-12-01,21,6.361579498090529,6.364315956602276,96203.0,15116.0
GN,2023-01-01,22,5.0762259066606195,5.252734715790886,78271.0,14901.0
GN,2023-02-01,21,6.156587551924853,6.135164359861592,85107.0,13872.0
GN,2023-03-01,22,5.553852584890433,5.717933569646843,87107.0,15234.0
GN,2023-04-01,21,5.407687245248821,5.719771241830065,77011.0,13464.0
GN,2023-05-01,19,3.9725426329628366,3.8469387755102042,49764.0,12936.0
GN,2023-06-01,20,4.636903821154898,4.609421586165772,61840.0,13416.0
GN,2023-07-01,20,3.6627810449461244,3.6582819506726456,52211.0,14272.0
GN,2023-08-01,20,4.204149039055741,4.217131193693693,59917.0,14208.0
GN,2023-09-01,20,3.888677072448624,3.8768361581920905,54896.0,14160.0
GN,2023-10-01,20,3.7608481480330895,3.7627009184845006,52437.0,13936.0
GN,2023-11-01,20,2.894751143364025,2.96904462602137,37790.0,12728.0
GN,2023-12-01,20,3.667278752410411,3.6405138793301215,47607.0,13077.0
GN,2024-01-01,19,3.608282488081582,3.5975174553917766,46372.0,12890.0
GN,2024-02-01,20,2.729751782317988,2.797919317416361,37383.0,13361.0
GN,2024-03-01,21,2.5535834330755365,2.558586823080071,37514.0,14662.0
GN,2024-04-01,22,2.6341732435082217,2.6126297944479764,36987.0,14157.0
GN,2024-05-01,21,2.684023178033848,2.6744049368204523,36404.0,13612.0
GN,2024-06-01,20,2.6175357145240783,2.620756756756757,36363.0,13875.0
GN,2024-07-01,21,2.9803129121847447,3.075,43173.0,14040.0
GN,2024-08-01,21,3.4693135496833714,3.455026455026455,50934.0,14742.0
GN,2024-09-01,20,2.8795647690124055,2.8174361378017343,36066.0,12801.0
GN,2024-10-01,20,2.966898416653749,2.9516664262011254,40916.0,13862.0
GN,2024-11-01,20,4.0689501747968615,4.089154411764706,53388.0,13056.0
GN,2024-12-01,20,5.005088455800889,5.004230235783634,72161.0,14420.0
GN,2025-01-01,20,3.7804317703281782,3.7454872348076234,52081.0,13905.0
GN,2025-02-01,20,3.0565306951780484,2.980808169733251,33859.0,11359.0
GN,2025-03-01,19,2.519226486157738,2.576445797237181,33012.0,12813.0
GN,2025-04-01,19,2.410329642383179,2.4077189510143495,29196.0,12126.0
GN,2025-05-01,20,2.201925986678557,2.253645833333333,30289.0,13440.0
GN,2025-06-01,21,3.114119684624033,3.1176344239994274,43544.0,13967.0
GN,2025-07-01,21,3.2065325507339204,3.2139663335086794,48878.0,15208.0
