unit_code,month,total_tranche_rows,active_periods,active_days,tranches_per_period,periods_per_day,regime
ARCOS1,2018-01-01,2327,744,31,3.127688172043011,24.0,
ARCOS1,2018-02-01,1624,624,26,2.6025641025641026,24.0,pre-MTU15-IDA
ARCOS1,2018-03-01,1679,407,17,4.125307125307125,23.941176470588236,pre-MTU15-IDA
ARCOS1,2018-04-01,1971,552,23,3.5706521739130435,24.0,pre-MTU15-IDA
ARCOS1,2018-05-01,2558,744,31,3.4381720430107525,24.0,pre-MTU15-IDA
ARCOS1,2018-06-01,2848,720,30,3.9555555555555557,24.0,pre-MTU15-IDA
ARCOS1,2018-07-01,3069,744,31,4.125,24.0,pre-MTU15-IDA
ARCOS1,2018-08-01,2509,744,31,3.372311827956989,24.0,pre-MTU15-IDA
ARCOS1,2018-09-01,2370,720,30,3.2916666666666665,24.0,pre-MTU15-IDA
ARCOS1,2018-10-01,2482,745,31,3.331543624161074,24.032258064516128,pre-MTU15-IDA
ARCOS1,2018-11-01,1824,600,25,3.04,24.0,pre-MTU15-IDA
ARCOS1,2018-12-01,1437,432,18,3.326388888888889,24.0,pre-MTU15-IDA
ARCOS1,2019-01-01,2482,744,31,3.336021505376344,24.0,pre-MTU15-IDA
ARCOS1,2019-02-01,2153,672,28,3.2038690476190474,24.0,pre-MTU15-IDA
ARCOS1,2019-03-01,2330,671,28,3.4724292101341283,23.964285714285715,pre-MTU15-IDA
ARCOS1,2019-04-01,2055,600,25,3.425,24.0,pre-MTU15-IDA
ARCOS1,2019-05-01,2387,696,29,3.4295977011494254,24.0,pre-MTU15-IDA
ARCOS1,2019-06-01,2603,720,30,3.6152777777777776,24.0,pre-MTU15-IDA
ARCOS1,2019-08-01,187,48,2,3.8958333333333335,24.0,pre-MTU15-IDA
ARCOS1,2019-09-01,2754,720,30,3.825,24.0,pre-MTU15-IDA
ARCOS1,2019-10-01,909,264,11,3.4431818181818183,24.0,pre-MTU15-IDA
ARCOS1,2019-11-01,1911,504,21,3.7916666666666665,24.0,pre-MTU15-IDA
ARCOS1,2019-12-01,2539,744,31,3.4126344086021505,24.0,pre-MTU15-IDA
ARCOS1,2020-01-01,2420,744,31,3.252688172043011,24.0,pre-MTU15-IDA
ARCOS1,2020-02-01,2370,696,29,3.4051724137931036,24.0,pre-MTU15-IDA
ARCOS1,2020-03-01,1531,503,21,3.043737574552684,23.952380952380953,pre-MTU15-IDA
ARCOS1,2020-04-01,2274,720,30,3.158333333333333,24.0,pre-MTU15-IDA
ARCOS1,2020-05-01,2245,696,29,3.2255747126436782,24.0,pre-MTU15-IDA
ARCOS1,2020-06-01,2370,720,30,3.2916666666666665,24.0,pre-MTU15-IDA
ARCOS1,2020-07-01,2731,744,31,3.670698924731183,24.0,pre-MTU15-IDA
ARCOS1,2020-08-01,3131,744,31,4.208333333333333,24.0,pre-MTU15-IDA
ARCOS1,2020-09-01,2532,720,30,3.5166666666666666,24.0,pre-MTU15-IDA
ARCOS1,2020-10-01,436,120,5,3.6333333333333333,24.0,pre-MTU15-IDA
ARCOS1,2020-11-01,2402,720,30,3.3361111111111112,24.0,pre-MTU15-IDA
ARCOS1,2020-12-01,2482,744,31,3.336021505376344,24.0,pre-MTU15-IDA
ARCOS1,2021-01-01,2459,744,31,3.3051075268817205,24.0,pre-MTU15-IDA
