firm,regime,n,gamma,se,p,r2
GE,pre-IDA,54142,-1.0000000000000009,3.199502751039311e-17,0.0,1.0
GE,3-sess,2858,-0.9999999999999996,5.384290083564803e-17,0.0,1.0
GE,ISP15 window,2081,-0.9999999999999967,2.3778867618436495e-16,0.0,1.0
GE,DA60/ID15,2009,-1.0000000000000013,8.117226051033016e-17,0.0,1.0
GE,DA15/ID15,2470,-1.0000000000000009,5.902343275874195e-17,0.0,1.0
IB,pre-IDA,54791,-0.9999999999999962,8.742853986860756e-17,0.0,1.0
IB,3-sess,3778,-0.9999999999999989,4.8817026231463824e-17,0.0,1.0
IB,ISP15 window,2576,-0.9999999999999997,8.529900722669349e-17,0.0,1.0
IB,DA60/ID15,3544,-1.0000000000000004,9.137696478464442e-17,0.0,1.0
IB,DA15/ID15,2641,-0.9999999999999994,1.0876255414358354e-16,0.0,1.0
GN,pre-IDA,55025,-1.0000000000000009,4.9764332052225266e-17,0.0,1.0
GN,3-sess,3794,-1.0000000000000013,1.8854275478394572e-16,0.0,1.0
GN,ISP15 window,2585,-1.0000000000000016,2.9095552955616986e-16,0.0,1.0
GN,DA60/ID15,3759,-1.0000000000000013,6.237178877436944e-17,0.0,1.0
GN,DA15/ID15,2626,-1.0000000000000004,8.076546863453087e-17,0.0,1.0
HC,pre-IDA,53155,-0.9999999999999979,3.434393490723999e-17,0.0,1.0
HC,3-sess,3378,-0.9999999999999989,9.837382447776658e-17,0.0,1.0
HC,ISP15 window,2471,-1.0,7.066293824837563e-17,0.0,1.0
HC,DA60/ID15,3078,-1.0000000000000009,6.111772997369237e-17,0.0,1.0
HC,DA15/ID15,2623,-0.9999999999999998,5.933680754949622e-17,0.0,1.0
