term,coef,se,t,p
const,-0.030211440754389654,0.015186801673588742,-1.9893221366635843,0.04666565781869084
reforzada,-0.34456102218610474,0.014362314703997344,-23.99063307603237,3.4829662922044683e-127
DOW1,0.0011817169973673133,0.015325584402303442,0.07710746724866822,0.9385380526834524
DOW2,0.003290116643861417,0.015444017375541828,0.21303502604651717,0.8312996428640866
DOW3,0.006086239395766847,0.015179306594189972,0.4009563518597361,0.6884522599316439
DOW4,0.012922700908967754,0.014534505146835597,0.8891049800743468,0.37394666271872035
DOW5,1.2451976780840802e-05,0.014666628301524688,0.0008490006376957369,0.9993225955804499
DOW6,-0.0064899430859981615,0.01438181138309434,-0.45126047846984124,0.651801825583045
M6,0.04505658177071011,0.018077893474550903,2.492357963837898,0.012689807357860157
M7,0.1201704598936286,0.012779592808790478,9.40330898578936,5.2873536303212055e-21
M8,0.11472537148367355,0.012254224799324911,9.362107629198528,7.816171486018686e-21
M9,0.07786136299572889,0.013837106877972528,5.626997296644244,1.8337360028403287e-08
