year,Acciona,Alpiq,Axpo,BBE,Cepsa,EnergyaVM,Engie,GE,GN,HC,IB,Iberdrola,Nexus,Other,Totalenergies
2015,11932.0,1645.0,0.0,33563.0,291.0,0.0,74.0,91175.0,169547.0,16343.0,126641.0,0.0,0.0,2866.0,0.0
2016,11493.0,2270.0,0.0,8523.0,571.0,2420.0,0.0,97801.0,201627.0,21195.0,161218.0,0.0,0.0,2703.0,0.0
2017,10190.0,4522.0,0.0,6829.0,1242.0,11657.0,93.0,69719.0,133352.0,20512.0,147070.0,0.0,0.0,2298.0,0.0
2018,7133.0,3605.0,0.0,3450.0,395.0,19819.0,0.0,56729.0,121107.0,16678.0,157413.0,0.0,0.0,909.0,0.0
2019,5348.0,3463.0,841.0,7990.0,2012.0,39053.0,2.0,66739.0,103664.0,27526.0,159835.0,0.0,0.0,3878.0,0.0
2020,4081.0,7512.0,29.0,5362.0,3033.0,17154.0,0.0,96513.0,139242.0,37466.0,236121.0,0.0,0.0,642.0,0.0
2021,5231.0,4673.0,6866.0,3338.0,2883.0,14965.0,0.0,86976.0,173305.0,32615.0,238624.0,0.0,0.0,0.0,0.0
2022,6654.0,5887.0,405.0,6416.0,111.0,12428.0,0.0,70298.0,142876.0,27017.0,158026.0,0.0,418.0,0.0,0.0
2023,15744.0,6990.0,208.0,7769.0,451.0,7863.0,0.0,126870.0,228580.0,34120.0,256101.0,0.0,1630.0,0.0,0.0
2024,16374.0,7589.0,4623.0,8782.0,0.0,11833.0,0.0,155332.0,189334.0,33261.0,278923.0,0.0,4114.0,0.0,2125.0
