unit,tech,n_isps,mean_mp,transfer_eur_M
TAMEGA,Hydro,15211,2.1313233843928736,202.62225
SIL,Hydro,15212,1.0857474362345518,103.2274375
DUER,Hydro,15201,0.9701513058351424,92.1704375
TAJO,Hydro,15224,0.9464509984235419,90.0548125
CTJON2,CCGT,15232,0.9444183298319329,89.908625
ARCOS2,CCGT,15232,0.9406433823529412,89.54925
STC4,CCGT,15232,0.9297899159663866,88.516
JUCA,Hydro,15207,0.50604721509831,48.096625
ESC6,CCGT,15232,0.1517528886554622,14.446875
EBRA,Hydro,15202,0.1358097618734377,12.903625000000002
ARCOS3,CCGT,15205,0.05058270305820455,4.806937500000002
TAPOWER,CCGT,15232,0.04550091911764705,4.331687499999999
CTN4,CCGT,15203,0.045577188712754076,4.330687500000001
ACE3,CCGT,15216,-0.0014399316508937978,-0.13693750000000018
CTN3,CCGT,15229,-0.0075572920086676735,-0.7193125
ARCOS1,CCGT,15217,-0.010649273838470127,-1.0128124999999997
MUEL,Hydro,15232,-0.2013550420168067,-19.169
