firm_group,tech,1.pre-IDA,2.3-sess,3.ISP15-win,4.DA60/ID15,5.DA15/ID15
GE,CCGT,2274.0,2119.0,2153.0,1485.0,3224.0
GE,Hydro,-313.0,-229.0,-259.0,-849.0,-549.0
GE,Nuclear,638.0,3582.0,-30.0,2672.0,253.0
GE,PumpHydro,79.0,541.0,157.0,118.0,115.0
GN,CCGT,11216.0,5015.0,5016.0,5514.0,7342.0
GN,Hydro,779.0,192.0,439.0,-414.0,-103.0
GN,Nuclear,611.0,2037.0,-40.0,88.0,60.0
GN,PumpHydro,-136.0,249.0,278.0,227.0,111.0
HC,CCGT,871.0,1324.0,1800.0,1182.0,2045.0
HC,Hydro,-453.0,336.0,384.0,68.0,319.0
HC,Nuclear,183.0,783.0,314.0,115.0,74.0
IB,CCGT,4211.0,1417.0,1024.0,980.0,1935.0
IB,Hydro,818.0,1518.0,1000.0,685.0,1204.0
IB,Nuclear,757.0,2795.0,-1497.0,779.0,-286.0
IB,PumpHydro,1444.0,1113.0,884.0,370.0,524.0
