firm,regime,partition,n,beta,se,p
GE,pre-MTU15-IDA,peak,31596,-0.033753700985307014,0.004808388692310595,2.222607974948854e-12
GE,pre-MTU15-IDA,off-peak,31596,-0.03997452135641082,0.0030893139439375802,2.6898727134142516e-38
GE,DA60/ID15,peak,2346,-0.056175198817282966,0.010946352090437029,2.86885570226769e-07
GE,DA60/ID15,off-peak,2351,-0.06238141497829261,0.01574424265738367,7.427065515253288e-05
GE,DA15/ID15,peak,1344,-0.005344857475299029,0.01890918266156362,0.7774379720224633
GE,DA15/ID15,off-peak,1345,-0.05973525176363304,0.024956933241706683,0.01668696470279592
IB,pre-MTU15-IDA,peak,31506,-0.025031861902469824,0.00456091744278691,4.057304229978028e-08
IB,pre-MTU15-IDA,off-peak,31594,-0.029566051590518273,0.004812391084037292,8.060369119455019e-10
IB,DA60/ID15,peak,2352,0.003720702406049142,0.00482950557277903,0.4410563528409954
IB,DA60/ID15,off-peak,2351,-0.03513385012752279,0.0072958588374969135,1.4676707939248505e-06
IB,DA15/ID15,peak,1344,0.024431826478944978,0.009871476750336772,0.013323914168384928
IB,DA15/ID15,off-peak,1345,-0.009557031854133799,0.011454199705769675,0.4040729476957944
GN,pre-MTU15-IDA,peak,31398,0.09201464018993517,0.007751385363722408,1.6798559488845252e-32
GN,pre-MTU15-IDA,off-peak,31593,0.09004850291654105,0.006434944358681186,1.7038179484875986e-44
GN,DA60/ID15,peak,2224,0.2577471891789668,0.06673064067049275,0.00011223194832455757
GN,DA60/ID15,off-peak,2253,0.12254197776696754,0.034154310276078445,0.00033336226915884855
GN,DA15/ID15,peak,1344,0.04485301907316148,0.018792448968340324,0.01699769777211659
GN,DA15/ID15,off-peak,1345,0.05822474704495573,0.024235569076130375,0.016285653178521133
HC,pre-MTU15-IDA,peak,31276,-0.050848563061550806,0.005554060439441612,5.425459465616733e-20
HC,pre-MTU15-IDA,off-peak,31578,-0.09537278109053618,0.004369672118107123,1.312227808401075e-105
HC,DA60/ID15,peak,1794,-0.14098082769506193,0.13737271674320953,0.30476663341250765
HC,DA60/ID15,off-peak,2247,-0.028092471294442756,0.05367420902923044,0.6007038275752643
HC,DA15/ID15,peak,1344,0.14902313082027974,0.064193186393744,0.020261008998159614
HC,DA15/ID15,off-peak,1345,0.20808640145393617,0.044062949312804855,2.3298588818954487e-06
