firm,regime,simple,total,simple_pct
GE,pre-IDA,21952961.40000184,21952961.40000184,100.00000000000001
GE,3-sess,892074.1000000008,892074.1000000008,100.0
GE,ISP15-win,582042.8999999992,582042.8999999992,100.0
GE,DA60/ID15,1476398.7500000102,1476398.7500000102,99.99999999999999
GE,DA15/ID15,792049.924999973,792049.924999973,100.0
GN,pre-IDA,33283998.799998827,33283998.799998827,100.0
GN,3-sess,1305786.8000000026,1305786.8000000026,100.0
GN,ISP15-win,782953.300000003,782953.300000003,100.0
GN,DA60/ID15,1521093.4999999932,1521093.4999999932,100.0
GN,DA15/ID15,1078411.8499999878,1078411.8499999878,100.0
HC,pre-IDA,12172831.400000064,12172831.400000064,100.0
HC,3-sess,488076.3,488076.3,100.0
HC,ISP15-win,398495.60000000003,398495.60000000003,99.99999999999999
HC,DA60/ID15,411888.2499999988,411888.2499999988,100.00000000000001
HC,DA15/ID15,312945.42499999923,312945.42499999923,100.0
IB,pre-IDA,25298365.89999909,25298365.89999909,100.0
IB,3-sess,1059967.000000001,1059967.000000001,100.0
IB,ISP15-win,667437.3000000024,667437.3000000024,100.0
IB,DA60/ID15,995755.8499999886,995755.8499999886,100.0
IB,DA15/ID15,712025.0749999806,712025.0749999806,100.0
