term,coef_FI-1:,coef_FI-2:,coef_FI-3:,coef_FI-4:
const,-5545.011020381729,-5543.319575339631,-5548.513608841622,-7755.653699422508
Big4,11552.666741329002,11552.827466899287,11553.713044884824,11561.120212414779
Big4×3-sess,-4446.5605813757975,-4446.7288696622945,-4446.294850582848,-4454.79870631272
Big4×ISP15-win,-5576.937873078137,-5577.872555499056,-5576.990246325836,-5589.153829389095
Big4×DA60/ID15,-5442.641971561124,-5442.868107504656,-5436.952215551323,-5437.357872746564
Big4×DA15/ID15,-3342.8718977964995,-3343.107768658962,-3342.238677316939,-3341.163035007479
R_3-sess,1952.8843204480245,1960.0325086732505,1970.639016942457,2053.035069055892
R_ISP15-win,2716.3480026453713,2722.505130659211,2686.025939368775,2740.6167037495834
R_DA60/ID15,2403.8721060177154,2416.7127003812097,2403.3203615962248,2434.52975635169
R_DA15/ID15,1326.9066575118004,1330.4213266900267,1347.4780168136513,1354.4300287985807
DOW1,56.856537662839216,54.44513903961348,55.24052566312091,6.41456939878299
DOW2,25.54910731035041,23.982197914274487,27.247391860418965,-27.89585984528646
DOW3,53.562360615607005,51.73928552550007,53.44206864887724,1.1234438791209864
DOW4,65.28566839503794,63.72222548147828,63.845858745914406,35.87871380492815
DOW5,-127.00216506906973,-129.0901365879713,-119.48035455636537,63.29620820156117
DOW6,-262.1077431426067,-265.0044660944373,-242.78551120703543,53.865808367500456
M2,16.528043705551298,21.002426513394212,17.39134147212583,63.27136671923459
M3,-324.578878944548,-320.393393936645,-303.58594406452005,-143.01661030043536
M4,-203.8493681369041,-200.5763150172173,-190.5543258693672,135.67725551080983
M5,-253.78971624038206,-255.20868971514767,-252.08733694924587,92.22632135124596
M6,83.54418352384016,83.42430452046837,84.26004919588766,274.32839560541413
M7,109.12437528835338,112.15585784550848,114.52980519262036,129.52317527199241
M8,-39.41488753674312,-38.47129479429001,-31.291868319177762,77.67881105816814
M9,94.20734906337867,96.78449818718813,106.17458884130437,297.34134731869574
M10,87.84235894333936,89.83807877508754,92.6389906925649,371.935014251829
M11,-21.052364149297265,-22.235736275959034,-20.797908789202243,151.9440181429177
M12,-53.642178688855864,-52.13344260208129,-47.25464919999617,92.68050758302157
