firm_id,regime,dq_ida,dq_ida_se,tag,beta,beta_se
1,1,163.3782,12.886003,B9,-.062488198,.010259812
1,2,231.49712,60.905529,B9,-.074911624,.030540591
1,3,193.63588,25.862787,B9,-.048668228,.0099571347
1,4,163.3782,12.886003,B9,-.019982034,.0065446547
1,5,163.3782,12.886003,B9,-.095736884,.023284411
2,1,311.52094,16.045126,B9,-.041916806,.010996155
2,2,291.01401,63.00124,B9,-.037846964,.014665333
2,3,212.97282,34.281994,B9,-.050012108,.0040839431
2,4,163.28931,15.62159,B9,-.016965732,.0024150531
2,5,166.59804,15.909831,B9,-.070559673,.011224116
3,1,548.47693,24.14776,B9,.063006766,.016593048
3,2,333.17236,54.585571,B9,.11223372,.07949999
3,3,338.71783,35.439899,B9,-.0013881711,.014878037
3,4,195.28325,19.638943,B9,.042207535,.012624268
3,5,207.69446,15.172734,B9,-.018221915,.019508177
4,1,132.43349,15.129275,B9,-.10281482,.017336825
4,2,184.73953,60.539574,B9,-.15712376,.028477728
4,3,191.85544,23.021643,B9,-.22912867,.0598692
4,4,153.72681,14.990171,B9,-.11258116,.037596952
4,5,155.27385,15.489703,B9,-.19971846,.089572676
5,1,160.5536,13.378282,B9,.11177359,.011982099
5,2,183.62248,61.083908,B9,.18492696,.016375268
5,3,252.96602,24.788809,B9,.13318256,.018287485
5,4,243.72624,20.814255,B9,.06880971,.011802907
5,5,276.18127,17.614912,B9,.36969522,.073313735
