firm,regime,mean,median,count
GE,pre-IDA,0.37856658368892865,0.3201931836329176,2356
GE,3-sess,0.18579875266414375,0.13578376703389744,169
GE,ISP15-win,0.2087352959277018,0.17873716124742828,108
GE,DA60/ID15,0.2181515715121162,0.19970565773970103,195
GE,DA15/ID15,0.15350717134561792,0.13381899348969079,112
GN,pre-IDA,0.339023657237332,0.2385853685804505,2340
GN,3-sess,0.8558994005409464,0.8267704482632785,166
GN,ISP15-win,0.9234560371675733,1.0094399944496903,108
GN,DA60/ID15,0.9023883828166225,0.9469601895043166,184
GN,DA15/ID15,0.7650088330632386,0.8371208129274518,112
HC,pre-IDA,0.539787754474881,0.21017682017575012,2323
HC,3-sess,1.7082021509362102,2.139465227804518,166
HC,ISP15-win,1.1692694262466412,1.2012932517885824,108
HC,DA60/ID15,0.8105065987227611,0.8158613723075846,133
HC,DA15/ID15,0.06731776137489824,0.011760044259345372,112
IB,pre-IDA,0.7106241000670837,0.6490344990331949,2350
IB,3-sess,1.125269535587339,1.116488451920055,166
IB,ISP15-win,0.9483753143710231,0.8662805635090441,108
IB,DA60/ID15,0.9375845568322385,0.9364519825209474,196
IB,DA15/ID15,0.8828756385292286,0.8620287877563024,112
