bucket,regime,mean,count
overnight (h1-6),pre-IDA,53.08828287538561,223024
overnight (h1-6),3-sess,49.40853368560106,15140
overnight (h1-6),ISP15-win,38.87104108496211,10028
overnight (h1-6),DA60/ID15,44.918328719136674,17699
overnight (h1-6),DA15/ID15,38.344289753666246,10433
morning ramp (h7-10),pre-IDA,61.55679315873865,149680
morning ramp (h7-10),3-sess,45.51270653029111,10168
morning ramp (h7-10),ISP15-win,37.56268007202881,6664
morning ramp (h7-10),DA60/ID15,44.86466963590764,11563
morning ramp (h7-10),DA15/ID15,53.47077203256678,7001
midday (h11-16),pre-IDA,61.78779659644894,222356
midday (h11-16),3-sess,18.54924075096632,14488
midday (h11-16),ISP15-win,26.00185109845403,9832
midday (h11-16),DA60/ID15,2.3825881553757795,16193
midday (h11-16),DA15/ID15,17.564967954849816,10454
evening peak (h17-22),pre-IDA,67.85575276107552,224188
evening peak (h17-22),3-sess,41.4932874015748,15240
evening peak (h17-22),ISP15-win,31.150504550850812,10108
evening peak (h17-22),DA60/ID15,33.854844972388406,17384
evening peak (h17-22),DA15/ID15,60.23901564842579,10672
late evening (h23-24),pre-IDA,78.02741453789132,75004
late evening (h23-24),3-sess,53.792115534738485,5124
late evening (h23-24),ISP15-win,32.564118705035966,3336
late evening (h23-24),DA60/ID15,48.173875802997856,6071
late evening (h23-24),DA15/ID15,49.66300423131171,3545
