firm,regime,session_number,mean
IB,pre-IDA,1,2667.1338498789332
GE,pre-IDA,4,-2.2762762762762745
GE,pre-IDA,5,-10.269118442401302
IB,pre-IDA,6,455.45691931540404
HC,pre-IDA,1,1124.332840365375
HC,pre-IDA,6,81.51596916299562
GN,pre-IDA,5,550.5216753022453
GN,pre-IDA,4,810.1555075593959
GE,3-sess,1,1565.4355704697991
GN,3-sess,3,797.2329341317364
GN,ISP15-win,2,2140.8056074766346
HC,ISP15-win,3,190.1090909090909
GE,DA60/ID15,3,35.561855670103085
GN,DA60/ID15,3,478.11113989637283
HC,DA60/ID15,3,107.28622159090915
IB,DA60/ID15,3,159.68144329896913
HC,DA15/ID15,1,1046.2829670329668
IB,DA15/ID15,1,1302.1486979166666
GN,DA15/ID15,3,953.8305803571421
GE,DA15/ID15,2,1772.2281249999996
GN,pre-IDA,2,3078.343760611204
HC,pre-IDA,3,394.45835591689274
IB,pre-IDA,3,1001.0095131755243
GE,pre-IDA,2,653.1803320561932
HC,3-sess,2,853.167484662577
GN,3-sess,1,2645.757668711656
IB,3-sess,2,2723.6415662650597
GE,3-sess,3,157.36728395061724
GE,ISP15-win,2,983.0850467289723
HC,ISP15-win,1,937.7148514851486
IB,ISP15-win,2,1753.5738317757016
GN,DA60/ID15,1,3220.152807486633
IB,DA60/ID15,1,821.4618983957217
GE,DA60/ID15,1,1873.138440860216
HC,DA60/ID15,1,728.0968406593408
HC,DA15/ID15,3,194.30817307692297
GN,DA15/ID15,1,3616.0363636363645
IB,DA15/ID15,3,652.0137387387388
HC,pre-IDA,2,454.4912763214437
IB,pre-IDA,2,2135.170017182128
GN,pre-IDA,3,1589.4147296721992
GE,pre-IDA,3,83.28008849557523
HC,3-sess,3,132.49626865671638
GE,3-sess,2,1482.2548192771071
IB,3-sess,3,283.7142857142857
GN,ISP15-win,1,2814.138679245283
GE,ISP15-win,3,40.46
IB,ISP15-win,3,287.8735294117647
GE,DA15/ID15,1,1226.7706185567006
HC,DA15/ID15,2,1291.9810747663553
IB,DA15/ID15,2,1566.174776785714
GE,pre-IDA,1,2379.2906529517
HC,pre-IDA,4,174.1582957393486
IB,pre-IDA,4,372.78047945205503
GE,pre-IDA,6,-5.402536231884071
GN,pre-IDA,6,565.3134373645423
GN,pre-IDA,1,5617.241801189467
HC,pre-IDA,5,109.2300273972602
IB,pre-IDA,5,313.9812077043207
HC,3-sess,1,894.7219354838711
GN,3-sess,2,2112.040963855423
IB,3-sess,1,1244.28782051282
GN,ISP15-win,3,759.4552380952383
HC,ISP15-win,2,1009.758878504673
IB,ISP15-win,1,436.9980769230769
GE,ISP15-win,1,1184.289215686274
GE,DA60/ID15,2,646.4393229166672
IB,DA60/ID15,2,1421.0701315789472
HC,DA60/ID15,2,746.0544973544972
GN,DA60/ID15,2,1727.0048177083352
GN,DA15/ID15,2,3112.0283482142845
GE,DA15/ID15,3,184.51629464285696
