hour,mean_RD,mean_SD_within,n_days,CV
0,16657.43456675063,252.82517213445593,794,0.01517791777127026
1,15477.880512820513,222.2861979727389,780,0.01436153986255525
2,14762.638235294118,214.32276548948224,765,0.01451791760209128
3,14310.616015624999,226.15356729156375,768,0.01580320281423516
4,14211.482882882881,175.16768238383162,777,0.012325784988617448
5,14503.218853503186,260.20653097718974,785,0.017941295212154786
6,15232.257397959185,707.8509196654783,784,0.046470519842995564
7,15036.473416149069,1209.1950391688472,805,0.08041746263922364
8,13099.641212871287,1236.6297905640154,808,0.09440180616160254
9,11274.658787128714,912.8308104452676,808,0.08096305419791207
10,10290.835396039603,541.3583601592327,808,0.05260587108093992
11,9734.255638166047,553.7724359025199,807,0.056889037691930974
12,9631.547955390335,561.4485139425444,807,0.05829265623168366
13,9950.633168316832,578.3925900675549,808,0.058126209687759105
14,10053.146905940594,548.6466301518052,808,0.05457461581781915
15,10253.91051980198,727.7853458369705,808,0.07097636988654209
16,12200.008415841585,1076.5469524848047,808,0.08824149261134276
17,15412.565965346535,1073.9735812022082,808,0.06968168594489198
18,18603.773788819875,833.9738718372122,805,0.04482820965810696
19,20816.53061480552,409.252188494211,797,0.01965996140601523
20,21669.444065656564,261.5347338441887,792,0.012069286736279933
21,21686.878680203044,281.7751962079392,788,0.012992888481695561
22,19974.66876111817,323.31852761375,787,0.016186427493761896
23,17778.07900128041,267.9690618362539,781,0.015073004333986494
