hour,sigma_within_med,mean_SD,mean_RD,cv_Eratio,n_days,cv_ratioE,hclass
0,416.00560197225116,434.00909995410717,15838.455223880597,0.02938299464339843,268,0.027402236759789894,
1,241.56968180177685,266.8109974845482,15100.686046511628,0.019398490409274455,258,0.017668799726233864,flat
2,162.34941740989814,227.59646827750535,14712.251028806584,0.01714555638448336,243,0.015469860311102056,flat
3,190.75638914594708,290.0002861811544,15009.44769874477,0.020136354457024722,239,0.019321183030965687,flat
4,383.74123225597396,540.8421781677905,15791.04280155642,0.0337941774855052,257,0.034249934280115,
5,777.8526452256635,814.3673485047441,17598.56818181818,0.04818514687138311,264,0.046274636668800204,morning_ramp
6,1062.7511467883721,984.5708761260659,18799.283524904215,0.05477624348222992,261,0.05237278722999005,morning_ramp
7,858.1978973259835,1162.6454297145085,18097.55185185185,0.07816401394038516,270,0.06424324346364779,morning_ramp
8,1154.2639790504309,1278.7760832082731,15063.644194756554,0.1014956200403819,267,0.08489154859707834,morning_ramp
9,900.4504414175908,1084.129443656291,12022.92803030303,0.09744056066923897,264,0.09017183176376098,
10,472.8283691432512,730.880541119549,9994.304182509506,0.07792453667297845,263,0.07312970745863666,
11,291.5407347181522,607.7461296461333,9254.377358490567,0.06768911388640443,265,0.06567120683581673,midday
12,211.820678877205,500.9134599742822,8788.118577075098,0.06378231324770657,253,0.05699894187602081,midday
13,230.26764511837837,513.6718918227473,8738.272727272728,0.06790242568570572,264,0.058784145088484514,midday
14,266.98314553544384,553.4116066381747,8844.451361867705,0.07106393277378815,257,0.06257161512857361,midday
15,713.0282836839878,855.7153937496445,10226.880149812734,0.09305418985467871,267,0.08367316143480118,
16,1343.3398588949326,1542.6440665661796,13675.093984962406,0.12200681671738631,266,0.11280683469250909,evening_ramp
17,1355.3218311856388,1440.6312286630312,18246.17777777778,0.09532936325014507,270,0.07895523359514735,evening_ramp
18,734.4244906778501,1027.610726488574,21871.194852941175,0.05571444906942903,272,0.04698466331620579,evening_ramp
19,355.6383931280011,516.1448806997859,23820.718631178708,0.02356268894561874,263,0.021667897123145933,evening_ramp
20,576.7625562623437,627.8968591226136,23209.045454545456,0.02820893103568741,264,0.02705397170910538,evening_ramp
21,814.4585113231162,929.8943497079775,21028.225092250923,0.04582004125428844,271,0.04422124766253579,evening_ramp
22,667.0986932655163,752.7155874236853,18795.086466165412,0.04162406991501111,266,0.040048530171899493,evening_ramp
23,459.63095077026514,481.41753825170184,17090.15648854962,0.03018387029265095,262,0.02816928789237541,
