tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_tranches,frac_single_block,mw_at_mcp,n_months,share_pct
CCGT,3-sess,Critical,0.2763563272174438,128.60710181153667,515.0919615056783,2.3061078590351083,0.13339502564301595,1.1798624700687126,6,27.6
CCGT,3-sess,Dropped,0.24021982880314444,109.6152959804582,514.9698482488553,1.6556810461961717,0.1443482043864124,1.4750636735345422,6,24.0
CCGT,3-sess,Flat,0.24040233379257395,110.5546229230236,515.5300242453152,1.8951129733189234,0.13776704023865377,0.9291057279702514,6,24.0
CCGT,3-sess,Midday,0.1982052446260282,85.72410372763756,513.3345867174361,0.9677158809207199,0.14339581864239268,0.5286215220368481,6,19.8
CCGT,DA15/ID15,Critical,0.6211789870667581,486.81227453001037,682.479197741323,2.439937047549472,0.42651918111817627,0.5022730605530474,3,62.1
CCGT,DA15/ID15,Dropped,0.4911702443410102,377.8819089088063,630.4257166615221,1.7256281174643295,0.35268983587385017,0.8670219491340999,3,49.1
CCGT,DA15/ID15,Flat,0.5457353360112674,457.16580398345747,679.8483038079556,1.6545758627357845,0.3875964672093857,0.33786797607272384,3,54.6
CCGT,DA15/ID15,Midday,0.2834959978625243,171.79268491319831,531.1527027145667,0.9254684543433892,0.22308207943944539,0.16526626137180536,3,28.3
CCGT,DA60/ID15 post-blk,Critical,0.36591079497113116,253.99050690506309,573.4950147032037,1.7705872769914148,0.3463135114320413,1.262891382199087,6,36.6
CCGT,DA60/ID15 post-blk,Dropped,0.2887386872068667,214.00231304465294,567.7972095371533,1.5622856640503848,0.25655546500481835,0.9261790577697878,6,28.9
CCGT,DA60/ID15 post-blk,Flat,0.41195481311490884,342.00998326602826,632.5486625739462,2.6229204945051023,0.2941329277546573,3.0834843227733164,6,41.2
CCGT,DA60/ID15 post-blk,Midday,0.05480095848162614,33.15129487054352,508.60347032298586,0.2454923617212945,0.057454006905668965,0.0,6,5.5
CCGT,DA60/ID15 pre-blk,Critical,0.18340083426957368,83.5627054862349,448.53766092295507,1.0675381263616557,0.20489205783323433,2.594107744107744,2,18.3
CCGT,DA60/ID15 pre-blk,Dropped,0.09146860216891857,43.094008714596946,448.5386710239651,0.737109658678286,0.11746550472040668,0.0,2,9.1
CCGT,DA60/ID15 pre-blk,Flat,0.08360251345185074,38.60370370370371,448.535584604212,0.6296296296296297,0.024691358024691357,0.0,2,8.4
CCGT,DA60/ID15 pre-blk,Midday,0.0,0.0,448.53867102396515,0.0,0.0,0.0,2,0.0
CCGT,ISP15-win,Critical,0.2948647065161782,132.07705064568563,479.2514084177752,2.695076916832667,0.13161636510679361,1.1691286527648816,4,29.5
CCGT,ISP15-win,Dropped,0.24711137881888937,109.74711098239152,479.06379769082605,1.6414470887397004,0.12141804698293479,1.393657658930973,4,24.7
CCGT,ISP15-win,Flat,0.2251543071338345,99.76322520024654,478.66912175985715,1.4181070124297384,0.10700549671073983,0.7275619646541351,4,22.5
CCGT,ISP15-win,Midday,0.23098473656472654,100.08358677441947,478.50573141258377,1.3890042475713884,0.13961483441348693,0.6307621318023073,4,23.1
Coal,3-sess,Critical,0.3792542443349091,167.11361388611388,431.4233516483516,2.6892107892107893,0.19912587412587412,0.40797952047952046,4,37.9
Coal,3-sess,Dropped,0.36122889439163985,152.35532886231417,428.21746929541047,2.250196617108382,0.2842760180995475,1.6349130036630037,4,36.1
Coal,3-sess,Flat,0.32685117111939277,137.90824175824176,427.3289072039072,2.1736568986568985,0.27008547008547007,0.0,4,32.7
Coal,3-sess,Midday,0.38113515700287304,153.52813873626374,427.3400183150183,1.4693681318681318,0.5021978021978022,0.0,4,38.1
Coal,DA60/ID15 post-blk,Critical,0.26916912368601653,93.78181818181817,348.15000000000003,1.5454545454545454,0.36363636363636365,0.0,1,26.9
Coal,DA60/ID15 post-blk,Dropped,0.1963065330088143,68.33333333333333,348.15000000000003,0.5,0.5,29.166666666666668,1,19.6
Coal,DA60/ID15 post-blk,Flat,0.0,0.0,348.15000000000003,0.0,0.0,0.0,1,0.0
Coal,DA60/ID15 post-blk,Midday,0.5027474114104203,175.0,348.15,1.0,1.0,0.0,1,50.3
Coal,ISP15-win,Critical,0.40457684447123116,143.1990909090909,331.10125,3.0651515151515154,0.07575757575757576,0.4723863636363636,4,40.5
Coal,ISP15-win,Dropped,0.4232810937643482,148.27083333333334,331.10125,3.037152777777778,0.11597222222222223,0.8576388888888888,4,42.3
Coal,ISP15-win,Flat,0.4092509983055463,145.1276388888889,331.10125,3.0118055555555556,0.09999999999999999,0.0,4,40.9
Coal,ISP15-win,Midday,0.4123289035691035,137.38864583333333,331.10125,2.3578125,0.24375000000000002,0.4289583333333334,4,41.2
Cogen,3-sess,Critical,0.1638833738824371,1.8605522572600004,11.775133078127546,0.18981256880575806,0.1601583940571708,0.03544482447142939,6,16.4
Cogen,3-sess,Dropped,0.213546213647556,2.4043557626137595,11.703651997148583,0.2428125294030098,0.20942140546684915,0.0619421376714103,6,21.4
Cogen,3-sess,Flat,0.14501617077897763,1.6904375418279758,12.203446612360255,0.17511392044187968,0.14205885166263296,0.003119597888404303,6,14.5
Cogen,3-sess,Midday,0.42404436349016134,4.733925536617934,11.354222614658447,0.4605801223758226,0.41696846115675684,0.13918590148823431,6,42.4
Cogen,DA15/ID15,Critical,0.12503900735690382,1.3719708037165885,12.119010346156026,0.14306819292686454,0.1280078596075739,0.003707419861936449,3,12.5
Cogen,DA15/ID15,Dropped,0.25544638355807864,2.8090205055914486,12.109289530685865,0.2825134619056755,0.2539678114231962,0.013788049194092336,3,25.5
Cogen,DA15/ID15,Flat,0.2251797588208452,2.5356132165935343,12.628477672895988,0.2587212012107545,0.2251512064666387,0.004109605280696303,3,22.5
Cogen,DA15/ID15,Midday,0.508120927191078,5.51844385160059,11.635678457388925,0.5399523539929814,0.4978959857948775,0.04175437291590146,3,50.8
