tech_group,firm,year_month,hour_class,quarter,mtu_minutes,n_cells,mw_in_band_mean,mw_at_mcp_mean,mw_below_mean,n_tranches_mean,frac_single_block_mean,vw_price_in_band_mean,p_clear_mean
CCGT,AXPO,2024-06,Critical,1,60,13,0.0,0.0,14.076923076923077,0.0,0.0,,46.41615384615385
CCGT,AXPO,2024-06,Dropped,1,60,5,0.0,0.0,18.8,0.0,0.0,,57.926
CCGT,AXPO,2024-06,Flat,1,60,5,0.0,0.0,27.4,0.0,0.0,,52.674
CCGT,AXPO,2024-07,Critical,1,60,133,2.1954887218045114,0.0,26.25563909774436,0.045112781954887216,0.03007518796992481,42.590909090909086,86.29323308270676
CCGT,AXPO,2024-07,Dropped,1,60,62,2.467741935483871,0.0,37.12903225806452,0.04838709677419355,0.04838709677419355,33.333333333333336,85.7825806451613
CCGT,AXPO,2024-07,Flat,1,60,17,0.0,0.0,25.529411764705884,0.0,0.0,,85.51411764705882
CCGT,AXPO,2024-07,Midday,1,60,42,3.869047619047619,0.0,64.42857142857143,0.09523809523809523,0.09523809523809523,50.0,79.18690476190476
CCGT,AXPO,2024-08,Critical,1,60,188,0.8297872340425532,0.0,28.430851063829788,0.010638297872340425,0.010638297872340425,25.84,104.00691489361702
CCGT,AXPO,2024-08,Dropped,1,60,94,1.797872340425532,0.0,33.840425531914896,0.02127659574468085,0.02127659574468085,29.495,99.74425531914893
CCGT,AXPO,2024-08,Flat,1,60,52,0.0,0.0,14.115384615384615,0.0,0.0,,102.8778846153846
CCGT,AXPO,2024-08,Midday,1,60,33,2.484848484848485,0.0,75.24242424242425,0.030303030303030304,0.030303030303030304,20.0,82.4639393939394
CCGT,AXPO,2024-09,Critical,1,60,152,1.263157894736842,0.0,16.5,0.013157894736842105,0.013157894736842105,-9.995,103.69953947368421
CCGT,AXPO,2024-09,Dropped,1,60,71,1.732394366197183,0.0,23.901408450704224,0.028169014084507043,0.028169014084507043,-5.0,98.15591549295775
CCGT,AXPO,2024-09,Flat,1,60,45,0.6222222222222222,0.0,18.622222222222224,0.022222222222222223,0.022222222222222223,-10.01,96.97066666666667
CCGT,AXPO,2024-09,Midday,1,60,15,5.2,0.0,55.8,0.06666666666666667,0.06666666666666667,0.01,86.82533333333335
CCGT,AXPO,2024-10,Critical,1,60,183,1.907103825136612,0.0,14.950819672131148,0.03825136612021858,0.03825136612021858,-4.285714285714286,88.79125683060109
CCGT,AXPO,2024-10,Dropped,1,60,54,5.111111111111111,0.0,38.86296296296296,0.07407407407407407,0.07407407407407407,-7.5,80.71499999999999
CCGT,AXPO,2024-10,Flat,1,60,18,10.166666666666666,0.0,46.22222222222222,0.1111111111111111,0.1111111111111111,-10.0,73.26
CCGT,AXPO,2024-10,Midday,1,60,16,0.0,0.0,83.75,0.0,0.0,,65.831875
CCGT,AXPO,2024-11,Critical,1,60,231,4.847619047619047,0.0,29.41948051948052,0.05627705627705628,0.004329004329004329,128.59142857142857,121.03731601731602
CCGT,AXPO,2024-11,Dropped,1,60,117,0.5076923076923077,0.0,37.41538461538462,0.017094017094017096,0.0,120.005,107.33880341880341
CCGT,AXPO,2024-11,Flat,1,60,65,0.0,0.0,50.38461538461539,0.0,0.0,,99.90338461538462
CCGT,AXPO,2024-11,Midday,1,60,46,0.0,0.0,35.69565217391305,0.0,0.0,,100.47760869565218
CCGT,AXPO,2024-12,Critical,1,60,133,0.0,0.0,2.699248120300752,0.0,0.0,,126.15834586466167
CCGT,AXPO,2024-12,Dropped,1,60,58,0.0,0.0,17.43103448275862,0.0,0.0,,115.40396551724139
CCGT,AXPO,2024-12,Flat,1,60,24,0.0,0.0,6.75,0.0,0.0,,104.12666666666667
CCGT,AXPO,2024-12,Midday,1,60,23,0.0,0.0,7.043478260869565,0.0,0.0,,111.46869565217392
CCGT,AXPO,2025-01,Critical,1,60,201,0.8059701492537313,0.0,8.696517412935323,0.029850746268656716,0.029850746268656716,0.008333333333333333,110.46786069651742
CCGT,AXPO,2025-01,Dropped,1,60,100,3.84,0.0,15.59,0.07,0.07,1.4357142857142855,106.46690000000001
CCGT,AXPO,2025-01,Flat,1,60,50,2.16,0.0,16.2,0.08,0.08,0.005,101.2166
CCGT,AXPO,2025-01,Midday,1,60,53,2.0377358490566038,0.0,16.954716981132076,0.07547169811320754,0.07547169811320754,0.01,100.99528301886792
CCGT,AXPO,2025-02,Critical,1,60,179,7.577094972067039,0.0,18.943016759776537,0.11173184357541899,0.0446927374301676,86.12456558739073,129.28541899441342
CCGT,AXPO,2025-02,Dropped,1,60,59,9.203389830508474,0.0,29.52542372881356,0.1864406779661017,0.13559322033898305,86.4088764742396,115.63203389830508
CCGT,AXPO,2025-02,Flat,1,60,22,3.6818181818181817,0.0,34.63636363636363,0.13636363636363635,0.13636363636363635,107.67666666666666,112.54136363636363
CCGT,AXPO,2025-02,Midday,1,60,31,6.967741935483871,0.0,26.129032258064516,0.25806451612903225,0.25806451612903225,60.04,91.0232258064516
