tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
CCGT,3-sess,Critical,75.78552155233963,3.825751654475051,0.22498788910794132,1.3256026289098781,6,30721,IDA
CCGT,3-sess,Dropped,77.07551247319999,4.092029499272797,0.2354098747312383,1.092551083889888,6,15629,IDA
CCGT,3-sess,Flat,98.91912304237445,5.573988487326809,0.2511967277308082,1.385259342995032,6,8452,IDA
CCGT,3-sess,Midday,49.22267105174012,2.5224105564017405,0.16333179708738874,0.3168089098577315,6,8489,IDA
CCGT,DA15/ID15,Critical,107.86884705541625,6.504507974005857,0.22987556879808857,1.1483086460414724,3,129486,IDA
CCGT,DA15/ID15,Dropped,96.68449733956298,5.997368769593927,0.212361335912326,0.7147591278874583,3,69616,IDA
CCGT,DA15/ID15,Flat,120.07632731819096,7.772574694624993,0.1928637272166148,0.8131959971302326,3,32183,IDA
CCGT,DA15/ID15,Midday,61.26897306713241,3.8571914897533124,0.20075923622797123,0.273267181597108,3,60378,IDA
CCGT,DA60/ID15 post-blk,Critical,71.77273430983018,4.403049905433254,0.1810796996743644,0.9379060471553871,5,221140,IDA
CCGT,DA60/ID15 post-blk,Dropped,66.09689872239615,4.083986251257275,0.18268446380781556,0.7436498948395981,5,109596,IDA
CCGT,DA60/ID15 post-blk,Flat,89.18685899554335,5.334983579295169,0.19388410337084053,1.1127209039878057,5,48908,IDA
CCGT,DA60/ID15 post-blk,Midday,24.48587006369534,1.8533721907874063,0.14801534745492204,0.10132635085651558,5,87593,IDA
CCGT,DA60/ID15 pre-blk,Critical,40.71464260223503,2.0820695340068163,0.2628368773901349,1.0400098701192841,2,34118,IDA
CCGT,DA60/ID15 pre-blk,Dropped,27.20905009414383,1.8162938227963736,0.2853057185212562,0.6059778898726682,2,17244,IDA
CCGT,DA60/ID15 pre-blk,Flat,29.569246824717137,2.2503993175917243,0.33184028202583726,0.3167619081603523,2,10524,IDA
CCGT,DA60/ID15 pre-blk,Midday,2.252708307890341,0.2344822308415689,0.185078023281333,0.11909200299744035,2,10898,IDA
CCGT,ISP15-win,Critical,83.74770550143106,4.38101668535945,0.21167818260580198,1.3079717196854945,4,21276,IDA
CCGT,ISP15-win,Dropped,82.89164430994995,4.583352920783533,0.20429448352648102,0.9716940858747384,4,11745,IDA
CCGT,ISP15-win,Flat,110.72051163044681,7.168350931823716,0.18588258857566672,0.641543412529682,4,6547,IDA
CCGT,ISP15-win,Midday,71.3688338106269,3.486800237235707,0.23091866273773434,0.7899084533335312,4,6973,IDA
Coal,3-sess,Critical,53.450584782888406,1.1192187075885067,0.3148312000535817,1.7168233064484857,4,237,IDA
Coal,3-sess,Dropped,50.870834301200155,1.0842382888114594,0.34068670150987224,1.7797256097560976,4,185,IDA
Coal,3-sess,Flat,48.24542124542124,0.9384781884781884,0.4346903096903097,0.35714285714285715,4,89,IDA
Coal,3-sess,Midday,50.94386288998358,1.1423440065681443,0.32389162561576357,0.8169129720853859,4,174,IDA
Coal,DA15/ID15,Critical,51.207367231638415,0.8794192775209724,0.3198335901386749,1.1111111111111112,3,501,IDA
Coal,DA15/ID15,Dropped,44.6261369081159,0.6489384130050636,0.26690508772131566,1.2195121951219512,3,286,IDA
Coal,DA15/ID15,Flat,39.12326388888889,0.7127525252525252,0.23595328282828285,2.3106060606060606,3,208,IDA
Coal,DA15/ID15,Midday,68.01003831417624,0.8291570881226052,0.43452107279693486,0.038314176245210725,3,205,IDA
Coal,DA60/ID15 post-blk,Critical,57.14284159384127,0.7848474065706387,0.4406999023622997,2.1262179812457536,4,1316,IDA
Coal,DA60/ID15 post-blk,Dropped,70.96429874484011,0.8240741316960116,0.4654512609681877,0.009191176470588236,4,725,IDA
