tech_group,regime,hour_class,share,mw_in_band,share_pct,h
CCGT,3-sess,Critical,0.13902669226480555,60.0,13.9,25
CCGT,3-sess,Dropped,0.10679863578239042,46.0,10.7,25
CCGT,3-sess,Flat,0.06517125515893792,28.0,6.5,25
CCGT,3-sess,Midday,0.10368191595095133,44.0,10.4,25
CCGT,DA15/ID15,Critical,0.24756341760879463,152.0,24.8,25
CCGT,DA15/ID15,Dropped,0.1482539122238252,93.0,14.8,25
CCGT,DA15/ID15,Flat,0.12643461502945844,86.0,12.6,25
CCGT,DA15/ID15,Midday,0.07758190492066337,38.0,7.8,25
CCGT,DA60/ID15 post-blk,Critical,0.16041206798869787,94.0,16.0,25
CCGT,DA60/ID15 post-blk,Dropped,0.12114090363756784,71.0,12.1,25
CCGT,DA60/ID15 post-blk,Flat,0.12478134181971522,86.0,12.5,25
CCGT,DA60/ID15 post-blk,Midday,0.0655220184640219,27.0,6.6,25
CCGT,DA60/ID15 pre-blk,Critical,0.09987101608973248,54.0,10.0,25
CCGT,DA60/ID15 pre-blk,Dropped,0.06295516846379962,26.0,6.3,25
CCGT,DA60/ID15 pre-blk,Flat,0.027698792990033957,11.0,2.8,25
CCGT,DA60/ID15 pre-blk,Midday,0.0929398782226266,37.0,9.3,25
CCGT,ISP15-win,Critical,0.13352022152504597,56.0,13.4,25
CCGT,ISP15-win,Dropped,0.09827029362591963,42.0,9.8,25
CCGT,ISP15-win,Flat,0.05465572095371533,23.0,5.5,25
CCGT,ISP15-win,Midday,0.1154112658640265,49.0,11.5,25
Hydro,3-sess,Critical,0.1547950149300731,60.0,15.5,25
Hydro,3-sess,Dropped,0.16135773421463517,55.0,16.1,25
Hydro,3-sess,Flat,0.12248849360174607,62.0,12.2,25
Hydro,3-sess,Midday,0.21558304815135323,24.0,21.6,25
Hydro,DA15/ID15,Critical,0.12359769362750835,68.0,12.4,25
Hydro,DA15/ID15,Dropped,0.15377596956010464,60.0,15.4,25
Hydro,DA15/ID15,Flat,0.1261460156757757,58.0,12.6,25
Hydro,DA15/ID15,Midday,0.2549322922740775,40.0,25.5,25
Hydro,DA60/ID15 post-blk,Critical,0.23064567590248763,72.0,23.1,25
Hydro,DA60/ID15 post-blk,Dropped,0.27896682348383667,73.0,27.9,25
Hydro,DA60/ID15 post-blk,Flat,0.23187855969625967,93.0,23.2,25
Hydro,DA60/ID15 post-blk,Midday,0.44268221363637505,45.0,44.3,25
Hydro,DA60/ID15 pre-blk,Critical,0.34351189041116736,80.0,34.4,25
Hydro,DA60/ID15 pre-blk,Dropped,0.4598347200648825,94.0,46.0,25
Hydro,DA60/ID15 pre-blk,Flat,0.40604237654983283,101.0,40.6,25
Hydro,DA60/ID15 pre-blk,Midday,0.6578266013810066,92.0,65.8,25
Hydro,ISP15-win,Critical,0.11776079675395677,62.0,11.8,25
Hydro,ISP15-win,Dropped,0.13348062350461698,57.0,13.3,25
Hydro,ISP15-win,Flat,0.11601386400633681,49.0,11.6,25
Hydro,ISP15-win,Midday,0.1776178100772639,40.0,17.8,25
Hydro_pump,3-sess,Critical,0.40442730896537943,143.0,40.4,25
Hydro_pump,3-sess,Dropped,0.39771865333903006,149.0,39.8,25
Hydro_pump,3-sess,Flat,0.41548381134270373,168.0,41.5,25
Hydro_pump,3-sess,Midday,0.12541498705246423,42.0,12.5,25
Hydro_pump,DA15/ID15,Critical,0.422384990693557,184.0,42.2,25
Hydro_pump,DA15/ID15,Dropped,0.37381303708570196,175.0,37.4,25
Hydro_pump,DA15/ID15,Flat,0.3621147635107949,165.0,36.2,25
Hydro_pump,DA15/ID15,Midday,0.12649602231554513,61.0,12.6,25
Hydro_pump,DA60/ID15 post-blk,Critical,0.4051234685595735,141.0,40.5,25
Hydro_pump,DA60/ID15 post-blk,Dropped,0.430884502431621,152.0,43.1,25
Hydro_pump,DA60/ID15 post-blk,Flat,0.5589150079216891,177.0,55.9,25
Hydro_pump,DA60/ID15 post-blk,Midday,0.0754867726797162,64.0,7.5,25
Hydro_pump,DA60/ID15 pre-blk,Critical,0.4098199447698748,114.0,41.0,25
Hydro_pump,DA60/ID15 pre-blk,Dropped,0.42684177718744565,133.0,42.7,25
Hydro_pump,DA60/ID15 pre-blk,Flat,0.5046626839952173,164.0,50.5,25
Hydro_pump,DA60/ID15 pre-blk,Midday,0.11591549754669236,74.0,11.6,25
Hydro_pump,ISP15-win,Critical,0.435904055785143,145.0,43.6,25
Hydro_pump,ISP15-win,Dropped,0.3920636741616096,145.0,39.2,25
Hydro_pump,ISP15-win,Flat,0.31618944026585316,123.0,31.6,25
Hydro_pump,ISP15-win,Midday,0.21262073253996944,69.0,21.3,25
Nuclear,3-sess,Critical,0.10728049487900655,52.0,10.7,25
Nuclear,3-sess,Dropped,0.14567306057188475,69.0,14.6,25
Nuclear,3-sess,Flat,0.06936099381847784,42.0,6.9,25
Nuclear,3-sess,Midday,0.3288192341357062,145.0,32.9,25
Nuclear,DA15/ID15,Critical,0.01652669198996522,15.0,1.7,25
Nuclear,DA15/ID15,Dropped,0.0340717579650004,30.0,3.4,25
Nuclear,DA15/ID15,Flat,0.017669471905434834,16.0,1.8,25
Nuclear,DA15/ID15,Midday,0.08157316621109222,71.0,8.2,25
