firm,tech,regime,p10,p25,p50,p75,p90
GE,CCGT,3sess,0.0,0.0,0.0,0.43717152412804583,0.5654761904761905
GE,CCGT,DA15_ID15,0.0,0.0,0.5255613951266126,0.9794553272814143,1.0
GE,CCGT,ISP15win,0.0,0.0,0.3105590062111801,0.5255613951266125,0.915270696771061
GE,CCGT,MTU15IDA_post,0.0,0.0,0.0,0.6174713787954207,0.9059233449477352
GE,CCGT,MTU15IDA_pre,0.0,0.0,0.0,0.0,0.27945301542777007
GE,Hydro,3sess,0.0,0.0,0.0,1.0,1.0
GE,Hydro,DA15_ID15,0.0,0.0,0.0,1.0,1.0
GE,Hydro,ISP15win,0.0,0.0,0.0,0.0,1.0
GE,Hydro,MTU15IDA_post,0.0,0.0,0.5,1.0,1.0
GE,Hydro,MTU15IDA_pre,0.0,1.0,1.0,1.0,1.0
GE,Hydro_pump,3sess,0.0,0.0,1.0,1.0,1.0
GE,Hydro_pump,DA15_ID15,0.125,1.0,1.0,1.0,1.0
GE,Hydro_pump,ISP15win,0.0,0.0,1.0,1.0,1.0
GE,Hydro_pump,MTU15IDA_post,0.0,0.5384615384615384,1.0,1.0,1.0
GE,Hydro_pump,MTU15IDA_pre,0.0,1.0,1.0,1.0,1.0
GN,CCGT,3sess,0.0,0.0,0.0,0.0,0.4796400449943755
GN,CCGT,DA15_ID15,0.0,0.0,0.0,0.1996165827941529,0.571989323164919
GN,CCGT,ISP15win,0.0,0.0,0.0,0.0,0.5274431450902044
GN,CCGT,MTU15IDA_post,0.0,0.0,0.0,0.0,0.4763700351935646
GN,CCGT,MTU15IDA_pre,0.0,0.0,0.0,0.0,0.3824521934758154
GN,Hydro,3sess,0.0,0.0,0.0,0.9991659702699516,1.0
GN,Hydro,DA15_ID15,0.0,0.0,0.13157894736842105,0.5322241799945785,0.8138138138138138
GN,Hydro,ISP15win,0.0,0.0,0.45323741007194246,1.0,1.0
GN,Hydro,MTU15IDA_post,0.0,0.0,0.0,0.5241761695250067,1.0
GN,Hydro,MTU15IDA_pre,0.0,0.0,0.0,0.0,0.0
GN,Hydro_pump,3sess,0.0,0.0,0.0,0.0,1.0
GN,Hydro_pump,DA15_ID15,0.0,0.0,0.0,0.0,0.0
GN,Hydro_pump,ISP15win,0.0,0.0,0.0,1.0,1.0
GN,Hydro_pump,MTU15IDA_post,0.0,0.0,0.0,1.0,1.0
GN,Hydro_pump,MTU15IDA_pre,0.0,0.0,0.5,1.0,1.0
HC,CCGT,3sess,0.0,0.05102040816326531,0.21683673469387754,0.42488262910798125,0.6229885057471264
HC,CCGT,DA15_ID15,0.0,0.1411764705882353,0.2823529411764706,0.47831632653061223,0.6352941176470588
HC,CCGT,ISP15win,0.0,0.07653061224489796,0.19540229885057472,0.42488262910798125,0.6206896551724138
HC,CCGT,MTU15IDA_post,0.0,0.14030612244897958,0.3218390804597701,0.6206896551724138,0.7525510204081632
HC,CCGT,MTU15IDA_pre,0.0,0.22959183673469388,0.5135135135135135,0.7525510204081632,0.7525510204081632
HC,Hydro,3sess,0.0,0.13911620294599017,0.41837852643111473,0.6421471172962226,0.8800315706393054
HC,Hydro,DA15_ID15,0.006596306068601588,0.16716867469879518,0.4177071509648127,0.67157712305026,0.8663122661941326
HC,Hydro,ISP15win,0.0,0.13062079009648642,0.4449694821815318,0.7778450363196125,0.9706814580031695
HC,Hydro,MTU15IDA_post,0.0,0.14580529385374608,0.44447405696722264,0.7202072538860104,0.8942288753200709
HC,Hydro,MTU15IDA_pre,0.005676442762535478,0.23107523107523106,0.614406779661017,0.888030888030888,0.9897094430992736
IB,CCGT,3sess,0.0,0.0,0.28993147074327885,0.4684894556154978,0.8298368298368297
IB,CCGT,DA15_ID15,0.0,0.0,0.4621595971310887,0.868302982317234,0.9906216505894962
IB,CCGT,ISP15win,0.0,0.0,0.2934588347432384,0.5374115267947421,0.8976744186046508
IB,CCGT,MTU15IDA_post,0.0,0.0,0.0,0.4609868740884784,0.9209844559585493
IB,CCGT,MTU15IDA_pre,0.0,0.0,0.0,0.0,0.44999999999999996
IB,Hydro,3sess,0.0,0.0,0.0024177532164752612,0.48700564971751403,0.6712778966676858
IB,Hydro,DA15_ID15,0.0,0.0,0.052816903486900504,0.40582152070055943,0.5931664371426381
IB,Hydro,ISP15win,0.0,0.0,0.00043174164579915376,0.41320876967194764,0.5975643357028709
IB,Hydro,MTU15IDA_post,0.0,0.0,0.0,0.3663882879197126,0.58565965632022
IB,Hydro,MTU15IDA_pre,0.0,0.0,0.0008862240650866198,0.3333908988861066,0.5820740868664189
IB,Hydro_pump,3sess,0.0,0.7787988489742874,0.9248523469070562,0.9399700244537352,0.9548058561425844
IB,Hydro_pump,DA15_ID15,0.0,0.6608559438951486,0.9268605809764696,0.9373035946960987,0.9426533731169493
IB,Hydro_pump,ISP15win,0.0,0.8569582076691079,0.9419431279620853,0.9480712166172106,0.964075382803298
IB,Hydro_pump,MTU15IDA_post,0.0,0.0,0.9361097964978703,0.9485192360918905,0.9612510379186272
IB,Hydro_pump,MTU15IDA_pre,0.0,0.918007662835249,0.9399293286219081,0.9528375733855187,0.9594911937377691
REP,CCGT,3sess,0.0,0.0,0.0,0.15892420537897312,0.26894865525672373
REP,CCGT,DA15_ID15,0.0,0.16394284385291524,0.9035056017347307,0.9584995596083105,0.973509204486761
REP,CCGT,ISP15win,0.0,0.0,0.0,0.15892420537897312,0.24093482712926154
REP,CCGT,MTU15IDA_post,0.0,0.0,0.0,0.9427186209373317,0.9700176366843033
REP,CCGT,MTU15IDA_pre,0.0,0.0,0.0,0.0,0.7691518818582709
REP,Hydro,3sess,0.17064247509176717,0.5575266092245311,0.7865757734661772,0.8561661367243911,0.9269746646795828
REP,Hydro,DA15_ID15,0.02215189873417722,0.3069544364508393,0.5038293636876789,0.8242539081004264,0.8652411735454999
REP,Hydro,ISP15win,0.0,0.14876033057851237,0.5303308823529412,0.7868525896414342,0.8761814744801513
REP,Hydro,MTU15IDA_post,0.0,0.11610942249240122,0.4665012406947891,0.7945736434108527,0.8744846541456711
REP,Hydro,MTU15IDA_pre,0.0,0.6779850426581007,0.8731481481481481,0.9564814814814815,0.957752808988764
REP,Hydro_pump,3sess,0.0,0.8879023307436181,0.8923591745677635,1.0,1.0
REP,Hydro_pump,DA15_ID15,0.0,0.2232142857142857,0.8879023307436181,0.8879023307436181,0.8928571428571428
REP,Hydro_pump,ISP15win,0.0,0.5267857142857143,0.8928571428571429,0.8928571428571429,1.0
REP,Hydro_pump,MTU15IDA_post,0.0,0.0,0.8898776418242491,0.8928571428571428,0.8928571428571429
REP,Hydro_pump,MTU15IDA_pre,0.0,0.0,0.8928571428571429,0.8928571428571429,0.8928571428571429
