unit_code,firm,pre_mwh,post_mwh,pre_active_obs,post_active_obs,post_share,mwh_drop_pct,exited,firm_group
ABO2,HC,45366.4,0.0,182.0,0.0,0.0,100.0,True,HC
ACAVADO,,2189596.8,1772213.7000000002,9018.0,11706.0,1.298070525615436,19.062098556227323,False,Fringe
ACC2EBR,EHN,588945.4999999974,0.0,10131.0,0.0,0.0,100.0,True,Fringe
ALZ1,GE,1303851.0999999968,2680606.9999999786,9252.0,14817.0,1.6014915693904022,-105.59149737266665,False,GE
ALZ2,GE,1285503.7999999947,2059992.6999999878,9640.0,11522.0,1.1952282157676348,-60.24788880437353,False,GE
CILCOR,REP,411100.10000000003,608903.8000000033,10606.0,15411.0,1.453045445973977,-48.11570223407955,False,Fringe
MONDEGO,,989453.7000000008,1342337.2999999998,10502.0,15392.0,1.4656255951247381,-35.66448839394898,False,Fringe
RABID2R,,479004.30000001955,765915.2999999814,9477.0,15129.0,1.5963912630579298,-59.897374616459636,False,Fringe
RPTRTAR,REP,741142.8999999985,974863.8000000019,10562.0,15459.0,1.4636432493845863,-31.535200566584912,False,Fringe
SOL2,,18860.499999999236,9802.79999999958,10599.0,14262.0,1.3455986413812624,48.02470772248892,False,Fringe
TEMON,,2483794.999999999,4192605.3000000203,10478.0,15323.0,1.462397404084749,-68.7983629888949,False,Fringe
TRL1,GN,299551.499999997,186879.5999999971,9720.0,13872.0,1.4271604938271605,37.61353223068521,False,GN
VAN2,GE,6088166.599999998,5781461.499999903,9143.0,9075.0,0.9925626162091218,5.037725150295571,False,GE
LARES1,,123488.2,86656.1,418.0,288.0,0.6889952153110048,29.82641256411543,False,Fringe
SROQ1,GN,980.0,1829.8000000000002,3.0,9.0,3.0,-86.71428571428572,False,GN
ESC6,IB,180520.39999999997,554242.8000000005,590.0,1704.0,2.888135593220339,-207.02502321067348,False,IB
RIBATE1,,28695.0,0.0,92.0,0.0,0.0,100.0,True,Fringe
TERE,GE,11380.699999999943,71317.99999999981,1722.0,5026.0,2.9186991869918697,-526.6574112312966,False,GE
SAGU2,GN,81452.5,293106.5000000003,291.0,861.0,2.9587628865979383,-259.84960559835525,False,GN
PGR5,GE,290083.80000000005,634130.5,886.0,1759.0,1.9853273137697518,-118.60252106460267,False,GE
JUCA,IB,72448.90000000008,9427.599999999991,1744.0,455.0,0.26089449541284404,86.98724204232228,False,IB
ACE3,IB,253161.09999999998,59031.500000000015,898.0,244.0,0.2717149220489978,76.68223909597485,False,IB
ESCCC3,,4557.4,0.0,18.0,0.0,0.0,100.0,True,Fringe
PBCN2,GN,65680.9,174399.30000000005,238.0,542.0,2.277310924369748,-165.52513744482806,False,GN
COL4,GE,65556.1,181888.60000000018,232.0,473.0,2.038793103448276,-177.4548821543688,False,GE
BES4,GN,39409.5,197915.30000000002,162.0,595.0,3.6728395061728394,-402.20200713026054,False,GN
RZABAL,,608716.8,846002.3999999991,8503.0,12400.0,1.4583088321768787,-38.981279964673064,False,Fringe
PGOMR,,144.00000000000068,0.0,1440.0,0.0,0.0,100.0,False,Fringe
TRC2R,,823.1999999999923,0.0,1392.0,0.0,0.0,100.0,False,Fringe
TRCDR,,1584.000000000019,0.0,1440.0,0.0,0.0,100.0,True,Fringe
ALG3,,244438.1,1423039.7,702.0,2294.0,3.2678062678062676,-482.1677144438612,False,Fringe
EMORPRR,,605941.0999999999,11507.3,9598.0,311.0,0.032402583871639926,98.10092103011333,True,Fringe
COG75RR,,84238.09999999998,0.0,1815.0,0.0,0.0,100.0,True,Fringe
LMA1,,3447.0000000000746,542.4999999999972,7945.0,2595.0,0.3266205160478288,84.26167682042399,False,Fringe
HMSROR1,,1912.5000000000327,1677.300000000039,7233.0,5783.0,0.7995299322549426,12.298039215685733,False,Fringe
CTJON3R,,546849.2999999969,1186037.5,1510.0,2904.0,1.9231788079470198,-116.88562095626834,False,Fringe
WMPGOMR,,961.2999999999884,880.7999999999902,7737.0,6460.0,0.834948946620137,8.37407677103913,False,Fringe
ABO2,,409087.29999999964,0.0,1509.0,0.0,0.0,100.0,True,Fringe
ECT2,,644.5,13541.400000000001,5.0,51.0,10.2,-2001.0705973622967,False,Fringe
ASIEBR2,,8317.59999999985,10095.599999999828,5341.0,15328.0,2.8698745553267178,-21.37635856497079,False,Fringe
ASITAJ,,29968.499999999884,53758.199999999335,6046.0,15348.0,2.5385378762818394,-79.38235146904097,False,Fringe
WMTRC2R,,1606.5000000000136,3840.0999999999194,1888.0,4712.0,2.4957627118644066,-139.03516962339788,False,Fringe
ACC1EBR,GE,20181.600000000006,1439805.3000000007,206.0,13267.0,64.40291262135922,-7034.247532405757,False,GE
ABA2,,2563.900000000035,1460.3000000000204,10286.0,11717.0,1.1391211355240132,43.04380046023634,False,Fringe
ADOURO,,5948420.300000002,10079849.000000026,10583.0,15451.0,1.4599829915902862,-69.45421627318471,False,Fringe
ALZ1,IB,307590.600000005,676996.7000000494,8774.0,14818.0,1.6888534305903806,-120.09668045773782,False,IB
ALZ2,IB,124853.09999999944,875376.4000000654,9277.0,11523.0,1.2421041284898136,-601.125082196653,False,IB
BERR2,,2219.199999999943,1099.2999999999697,6153.0,6481.0,1.0533073297578417,50.46413121845719,False,Fringe
HCHI,HC,70386.90000000103,140438.20000000318,8818.0,8200.0,0.9299160807439328,-99.52320673307268,False,HC
TRL1,HC,135734.49999999657,1790294.4999999884,9718.0,13872.0,1.4274542086849147,-1218.9679116216098,False,HC
UFGC,GN,50690.500000000044,25994.9,1074.0,1050.0,0.9776536312849162,48.7183989110386,False,GN
ULEA,,7682.899999999996,6903.799999999905,7985.0,11802.0,1.4780212899185974,10.140702078643374,False,Fringe
VAN2,IB,595084.0999999952,1024598.0999999831,9143.0,9737.0,1.0649677348791424,-72.17702506250653,False,IB
IPG,EHN,165988.4,0.0,3876.0,0.0,0.0,100.0,True,Fringe
MLTG,GE,346953.6,695032.6,2500.0,4756.0,1.9024,-100.32436614002565,False,GE
SLTG,GE,425004.29999999993,569504.6000000001,3308.0,5065.0,1.531136638452237,-33.9997265910016,False,GE
GUADIA,,1043481.5000000015,872693.399999997,6031.0,7212.0,1.1958215884596253,16.367142110330107,False,Fringe
RTG03,,209269.4,0.0,784.0,0.0,0.0,100.0,True,Fringe
WMEBRO,,38747.59999999998,48007.69999999994,10559.0,14356.0,1.3595984468226159,-23.89851242399521,False,Fringe
WMJUCA,,25982.799999999937,21073.59999999983,6978.0,6647.0,0.9525652049297793,18.894037594101167,False,Fringe
SIL,IB,849175.4000000014,771486.7000000026,3997.0,4416.0,1.1048286214660996,9.148722395867646,False,IB
