d,tech,da_mwh,pdbf_mwh,ida_mwh,ci_mwh,ci_price_wavg,da_price,regime,bilat_mwh,omie_total_mwh,ci_share_omie,bilat_share_pdbf,ci_price_vs_da
2022-01-01,CCGT,0.0,120.0,5956.699999999999,43.9,72.92300683371299,122.62916666666665,preIDA,120.0,6000.5999999999985,0.007315935073159353,1.0,-49.70615983295366
2022-01-01,Hydro,19142.100000000035,54188.299999999945,8220.800000000023,808.7000000000002,110.04246939532581,122.62916666666665,preIDA,35046.19999999991,28171.60000000006,0.028706214769484106,0.6467484678426882,-12.586697271340839
2022-01-01,Hydro_pump,7992.5,7992.5,9189.199999999999,1280.000000000001,86.51071796874999,122.62916666666665,preIDA,0.0,18461.699999999997,0.06933272667197501,0.0,-36.11844869791666
2022-01-01,Nuclear,67180.0999999999,314323.1000000003,220.7999999999999,0.0,,122.62916666666665,preIDA,247143.0000000004,67400.8999999999,0.0,0.7862705604519685,
2022-01-01,Other,76461.80000000025,442169.0000000001,39110.89999999901,2934.7999999999956,102.19754225160159,122.62916666666665,preIDA,365707.19999999984,118507.49999999924,0.024764677341096678,0.8270756204075811,-20.43162441506506
2022-01-01,Solar_PV,30078.800000000003,33547.59999999993,4337.999999999953,397.4,68.6533417211877,122.62916666666665,preIDA,3468.79999999993,34814.19999999996,0.011414882433030212,0.1033993489847243,-53.97582494547895
2022-01-01,Wind,96590.90000000007,117423.2000000004,25188.499999999167,768.6000000000004,88.57208821233411,122.62916666666665,preIDA,20832.300000000338,122547.99999999924,0.006271828181610512,0.17741212980058682,-34.05707845433254
2022-01-02,CCGT,36711.1,49161.1,14456.600000000006,680.0000000000003,145.31117352941172,136.96833333333333,preIDA,12450.0,51847.700000000004,0.013115335877965663,0.2532490119220278,8.342840196078384
2022-01-02,Hydro,18049.10000000005,61177.69999999985,3929.6999999999916,958.9000000000008,176.79227552403802,136.96833333333333,preIDA,43128.5999999998,22937.70000000004,0.04180454012390079,0.7049725635321352,39.823942190704685
2022-01-02,Hydro_pump,1452.0,1452.0,6714.6,223.5999999999999,164.98586762075135,136.96833333333333,preIDA,0.0,8390.2,0.026650139448404078,0.0,28.017534287418016
2022-01-02,Nuclear,65745.90000000007,314354.89999999973,220.7999999999999,0.0,,136.96833333333333,preIDA,248608.99999999965,65966.70000000007,0.0,0.7908545405209203,
2022-01-02,Other,81850.89999999966,425455.90000000264,32599.699999999604,942.5000000000033,145.32841379310284,136.96833333333333,preIDA,343605.00000000297,115393.09999999926,0.008167732732719802,0.8076160184874644,8.360080459769506
2022-01-02,Solar_PV,28500.299999999897,31212.99999999991,3951.29999999993,339.3999999999999,125.36082498526812,136.96833333333333,preIDA,2712.7000000000116,32790.999999999825,0.010350401024671456,0.08690930061192514,-11.60750834806521
2022-01-02,Wind,71914.19999999959,89118.49999999964,25218.499999999327,735.8000000000021,118.29258494156,136.96833333333333,preIDA,17204.300000000047,97868.49999999892,0.007518251531391716,0.19304970348468742,-18.67574839177334
2022-01-03,CCGT,62776.7,89177.70000000001,24743.499999999993,5342.799999999992,138.0239000149737,150.49833333333336,preIDA,26401.000000000015,92862.99999999997,0.057534217072461515,0.29604934866003507,-12.474433318359672
2022-01-03,Hydro,16379.00000000005,73468.39999999976,3866.799999999986,133.4,151.0178785607196,150.49833333333336,preIDA,57089.39999999971,20379.200000000037,0.006545889926984364,0.7770606138149176,0.5195452273862315
2022-01-03,Hydro_pump,800.0,800.0,2667.2999999999997,716.1000000000001,137.57409300377032,150.49833333333336,preIDA,0.0,4183.4,0.17117655495529957,0.0,-12.924240329563048
2022-01-03,Nuclear,55658.90000000015,314338.69999999914,220.7999999999999,0.0,,150.49833333333336,preIDA,258679.799999999,55879.70000000015,0.0,0.8229333518271842,
2022-01-03,Other,88573.49999999911,514949.20000000467,34682.3999999996,4302.599999999988,152.6022398084882,150.49833333333336,preIDA,426375.70000000554,127558.4999999987,0.03373040604898953,0.8279956547170122,2.1039064751548437
2022-01-03,Solar_PV,28388.899999999972,32071.599999999955,2353.2999999999593,698.9000000000001,128.19396766347117,150.49833333333336,preIDA,3682.6999999999825,31441.099999999933,0.022228866038402014,0.11482744858379337,-22.304365669862193
2022-01-03,Wind,88426.39999999986,119571.89999999967,27057.299999999563,1605.6000000000006,138.41501245640254,150.49833333333336,preIDA,31145.49999999981,117089.29999999944,0.013712610802182678,0.26047507817472076,-12.083320876930827
2022-01-04,CCGT,12735.5,25398.0,19390.499999999996,2240.499999999994,183.55561303280587,152.1454166666667,preIDA,12662.5,34366.49999999999,0.06519430259118603,0.49856287896684776,31.41019636613916
2022-01-04,Hydro,14015.400000000098,71871.3999999998,6127.600000000011,348.49999999999994,192.1070674318508,152.1454166666667,preIDA,57855.99999999971,20491.50000000011,0.01700705170436513,0.8049933631458391,39.96165076518409
2022-01-04,Hydro_pump,17011.1,17011.1,4653.6,533.7000000000002,212.78729436012728,152.1454166666667,preIDA,0.0,22198.399999999998,0.02404227331699583,0.0,60.64187769346057
2022-01-04,Nuclear,51849.70000000007,314415.5999999994,219.59999999999997,0.0,,152.1454166666667,preIDA,262565.8999999993,52069.30000000007,0.0,0.8350918338657491,
2022-01-04,Other,93121.99999999953,574136.1000000011,51491.99999999865,10408.700000000013,174.45922795353832,152.1454166666667,preIDA,481014.1000000016,155022.6999999982,0.06714307001490835,0.8378050082550125,22.313811286871612
2022-01-04,Solar_PV,21657.800000000003,24232.49999999998,5919.600000000059,180.9999999999999,185.90870718232057,152.1454166666667,preIDA,2574.699999999979,27758.40000000006,0.006520548734797377,0.1062498710409566,33.763290515653864
