firm,regime,hour_class,std_mwh_per_hour,mean_mwh_per_q,n_hours
GE,DA15_ID15,Critical,2.874117799085881,12.620858408559009,997
GE,DA15_ID15,Flat,1.3836444001927912,10.21377314814815,216
GE,DA15_ID15,Midday,1.6509259626948312,10.350453172205437,331
GE,MTU15IDA_post,Critical,3.1552868438014516,10.27651515151515,935
GE,MTU15IDA_post,Flat,1.2684798616952242,7.960763888888889,126
GE,MTU15IDA_post,Midday,1.503101076914318,6.804078282828283,330
GE,MTU15IDA_pre,Critical,4.056889462406255,13.328256381381381,222
GE,MTU15IDA_pre,Midday,2.8401264310902956,10.712236590038314,87
GN,DA15_ID15,Critical,9.389552448786766,33.099515585509685,1187
GN,DA15_ID15,Flat,1.6742667177641872,9.282753814553992,284
GN,DA15_ID15,Midday,3.3822252531085137,13.25116516323024,388
GN,MTU15IDA_post,Critical,8.783813866383538,21.27018149284254,1467
GN,MTU15IDA_post,Flat,2.1201516493228314,7.35789373088685,327
GN,MTU15IDA_post,Midday,3.0951239729059976,9.057133983180428,436
GN,MTU15IDA_pre,Critical,9.222839780425984,21.819984344894028,346
GN,MTU15IDA_pre,Flat,3.016743408372676,10.399547101449276,69
GN,MTU15IDA_pre,Midday,1.7233181022228576,7.146294247787611,113
HC,DA15_ID15,Critical,7.066049706454278,23.597489693757364,849
HC,DA15_ID15,Flat,4.090199330070701,25.319069719471948,202
HC,DA15_ID15,Midday,4.426237744621527,23.927446705426355,258
HC,MTU15IDA_post,Critical,6.757633140395894,20.246998188405797,1150
HC,MTU15IDA_post,Flat,4.421731337394149,17.130363175675676,296
HC,MTU15IDA_post,Midday,2.162778142505885,11.394902197213291,311
HC,MTU15IDA_pre,Critical,6.542573253226886,17.118291284403668,327
HC,MTU15IDA_pre,Flat,3.298548788382793,14.929032258064515,62
HC,MTU15IDA_pre,Midday,4.763868230785078,18.195190972222225,120
IB,DA15_ID15,Critical,13.04290967971203,43.496971002009765,1161
IB,DA15_ID15,Flat,5.238639797490496,23.6783203125,288
IB,DA15_ID15,Midday,9.858135764172495,68.51224308669657,446
IB,MTU15IDA_post,Critical,14.113123941792841,35.78855965463109,1274
IB,MTU15IDA_post,Flat,5.181858362269917,22.106326312576314,273
IB,MTU15IDA_post,Midday,10.960677858966884,41.567483744010964,487
IB,MTU15IDA_pre,Critical,12.894405256558708,47.40847902097901,286
IB,MTU15IDA_pre,Flat,5.710240791381379,30.186840277777776,60
IB,MTU15IDA_pre,Midday,18.44080630146949,92.88869509043917,129
