"reform","side","market","session","hour_class","n_train","n_post","K","rmse_lowprice","rmse_midprice","rmse_highprice"
"ID15","real","DA",NA,"critical",276,40,"10,9",2170.37316979783,2831.27096457197,3651.07269771884
"ID15","placebo","DA",NA,"critical",279,40,"8,8",4147.90486032897,6081.37868524282,4326.94842309603
"DA15","real","DA",NA,"critical",156,40,"9,11",1110.10717924116,1975.50329576282,2910.71256653305
"DA15","placebo","DA",NA,"critical",154,40,"12,13",1471.19068753764,2716.72884079269,2881.72088348352
"ID15","real","DA",NA,"midday",276,40,"10,9",2129.85862226199,3705.84948180796,3946.96956231934
"ID15","placebo","DA",NA,"midday",279,40,"11,8",3756.80250639987,4823.54319217759,4284.05459322335
"DA15","real","DA",NA,"midday",156,40,"14,13",1896.23715322192,2598.96636559838,2692.16474904365
"DA15","placebo","DA",NA,"midday",154,40,"12,11",1759.4361953877,2833.97991577129,2577.19148548714
"ID15","real","DA",NA,"flat",276,40,"10,10",2463.69222447937,3919.96747901087,2758.15527620387
"ID15","placebo","DA",NA,"flat",279,40,"8,9",4254.50371696017,4886.28669962368,4581.90534803338
"DA15","real","DA",NA,"flat",156,40,"12,11",1022.37000473177,1804.26376955683,3309.00638139221
"DA15","placebo","DA",NA,"flat",154,40,"10,13",1115.74176516769,1934.91007125039,1984.63763863601
"ID15","real","IDA",1,"critical",272,39,"6,7",1345.99324439109,2129.55886638292,1769.83646315922
"ID15","placebo","IDA",1,"critical",278,40,"8,9",3160.69461721849,3988.85791068505,2308.91256140288
"DA15","real","IDA",1,"critical",148,37,"9,9",456.55514413863,872.211993159452,1574.78061732629
"DA15","placebo","IDA",1,"critical",153,39,"9,8",691.692273270384,1129.00598254412,1674.20375447501
"ID15","real","IDA",1,"midday",272,39,"8,8",2815.69785897693,3823.73319245561,3500.61797537312
"ID15","placebo","IDA",1,"midday",278,40,"8,8",5469.18384977009,6427.7204003957,3925.89027015385
"DA15","real","IDA",1,"midday",148,37,"9,8",1943.79311041199,2439.8145904658,2672.68206919588
"DA15","placebo","IDA",1,"midday",153,39,"9,11",1795.14081934655,2164.62339757243,2721.26037085969
"ID15","real","IDA",1,"flat",272,39,"10,9",1299.38303849798,2377.62452597674,2419.207441358
"ID15","placebo","IDA",1,"flat",278,40,"9,8",3646.04903835961,4652.42859137752,2851.4697841023
"DA15","real","IDA",1,"flat",148,37,"10,8",414.507796938368,889.355564733401,1780.87553158781
"DA15","placebo","IDA",1,"flat",153,39,"10,11",394.976053936451,1087.22520891199,2101.83406844631
"ID15","real","IDA",2,"critical",272,40,"10,7",1303.8705679648,2103.3635947628,1847.3118155087
"ID15","placebo","IDA",2,"critical",279,40,"9,6",3626.84404389307,4831.60847328063,3277.00135356276
"DA15","real","IDA",2,"critical",152,40,"8,9",402.437950174497,758.554572964665,1207.79184905951
"DA15","placebo","IDA",2,"critical",153,39,"10,10",720.732736589935,1226.12839487773,2112.84302901842
"ID15","real","IDA",2,"midday",272,40,"11,8",2666.57930394577,3692.50318127873,3284.06698734293
"ID15","placebo","IDA",2,"midday",279,40,"10,8",5617.37720603634,6898.10124767337,4556.11401729839
"DA15","real","IDA",2,"midday",152,40,"10,7",1531.07395200832,1967.37068759842,1690.97066982718
"DA15","placebo","IDA",2,"midday",153,39,"9,9",1608.73992988454,1829.50259380586,2484.53357977863
"ID15","real","IDA",2,"flat",273,40,"8,7",1274.25831157156,2085.30618234735,2063.78218655881
"ID15","placebo","IDA",2,"flat",279,40,"10,8",3543.84307000719,4617.22744433837,3372.11754354545
"DA15","real","IDA",2,"flat",152,40,"9,8",251.434584308443,741.69477629389,1677.11910623107
"DA15","placebo","IDA",2,"flat",153,39,"8,10",411.433938644175,1178.36303104557,2620.63773656712
"ID15","placebo","IDA",3,"critical",279,40,"9,6",3007.51527022424,4060.99939067124,2721.55712577566
"ID15","real","IDA",3,"midday",273,40,"7,8",2383.55618952512,3493.72368215928,3288.82507927942
"ID15","placebo","IDA",3,"midday",279,40,"10,7",5481.76248890532,6552.15917430415,4865.36924203473
"DA15","real","IDA",3,"midday",151,39,"11,9",1466.79479815304,1971.0510080744,2188.95920186155
"DA15","placebo","IDA",3,"midday",153,39,"10,8",1488.74442845991,1825.26939115714,2260.59107170124
"ID15","placebo","IDA",3,"flat",279,40,"10,8",3232.79594206304,4516.27797529553,3603.4491559805
