tech,PC,regime,hour_class,coef
CCGT,PC1,3-sess,Critical,0.0
CCGT,PC1,3-sess,Flat,1806.7917960095335
CCGT,PC1,3-sess,Midday,651.1025884030387
CCGT,PC1,ISP15-win,Critical,-1166.9234254134212
CCGT,PC1,ISP15-win,Flat,1119.8930380538422
CCGT,PC1,ISP15-win,Midday,-477.9430074418192
CCGT,PC1,DA60/ID15 pre-blk,Critical,-269.7130602561706
CCGT,PC1,DA60/ID15 pre-blk,Flat,1627.6964399407962
CCGT,PC1,DA60/ID15 pre-blk,Midday,622.1652047043235
CCGT,PC1,DA60/ID15 post-blk,Critical,-808.8343609288178
CCGT,PC1,DA60/ID15 post-blk,Flat,126.77991700340863
CCGT,PC1,DA60/ID15 post-blk,Midday,-349.2362191116942
CCGT,PC1,DA15/ID15,Critical,-962.976209498702
CCGT,PC1,DA15/ID15,Flat,-420.03150297103
CCGT,PC1,DA15/ID15,Midday,-472.3467935555491
CCGT,PC2,3-sess,Critical,0.0
CCGT,PC2,3-sess,Flat,-646.0935580723058
CCGT,PC2,3-sess,Midday,-319.2264121355747
CCGT,PC2,ISP15-win,Critical,253.43446746804176
CCGT,PC2,ISP15-win,Flat,-451.3125336000187
CCGT,PC2,ISP15-win,Midday,109.28349316528148
CCGT,PC2,DA60/ID15 pre-blk,Critical,-44.74429204751709
CCGT,PC2,DA60/ID15 pre-blk,Flat,-528.5212897810263
CCGT,PC2,DA60/ID15 pre-blk,Midday,-267.475450152451
CCGT,PC2,DA60/ID15 post-blk,Critical,-43.36870574638368
CCGT,PC2,DA60/ID15 post-blk,Flat,-316.5538368287731
CCGT,PC2,DA60/ID15 post-blk,Midday,-35.770363500535495
CCGT,PC2,DA15/ID15,Critical,-292.2702189019677
CCGT,PC2,DA15/ID15,Flat,-347.4111786934083
CCGT,PC2,DA15/ID15,Midday,-159.31744169183258
CCGT,PC3,3-sess,Critical,0.0
CCGT,PC3,3-sess,Flat,-140.9911785013404
CCGT,PC3,3-sess,Midday,101.63595695673382
CCGT,PC3,ISP15-win,Critical,83.1277440512743
CCGT,PC3,ISP15-win,Flat,21.992550349647104
CCGT,PC3,ISP15-win,Midday,103.52103921664127
CCGT,PC3,DA60/ID15 pre-blk,Critical,-43.58960444394529
CCGT,PC3,DA60/ID15 pre-blk,Flat,-89.2716390186198
CCGT,PC3,DA60/ID15 pre-blk,Midday,-0.9779875832408607
CCGT,PC3,DA60/ID15 post-blk,Critical,-27.873828222109324
CCGT,PC3,DA60/ID15 post-blk,Flat,-166.30920043599986
CCGT,PC3,DA60/ID15 post-blk,Midday,-28.967183430976092
CCGT,PC3,DA15/ID15,Critical,-13.008519132752099
CCGT,PC3,DA15/ID15,Flat,-109.21060791018981
CCGT,PC3,DA15/ID15,Midday,-63.112675219456776
CCGT,PC4,3-sess,Critical,0.0
CCGT,PC4,3-sess,Flat,29.48521012920331
CCGT,PC4,3-sess,Midday,45.87824446766117
CCGT,PC4,ISP15-win,Critical,-148.3630341657496
CCGT,PC4,ISP15-win,Flat,0.97035961589458
CCGT,PC4,ISP15-win,Midday,-81.96161478422553
CCGT,PC4,DA60/ID15 pre-blk,Critical,-86.61046717742761
CCGT,PC4,DA60/ID15 pre-blk,Flat,35.48419904702407
CCGT,PC4,DA60/ID15 pre-blk,Midday,8.069134862405306
CCGT,PC4,DA60/ID15 post-blk,Critical,-90.56980086596263
CCGT,PC4,DA60/ID15 post-blk,Flat,-70.79054989238983
CCGT,PC4,DA60/ID15 post-blk,Midday,18.023767616364083
CCGT,PC4,DA15/ID15,Critical,-44.63400907161244
CCGT,PC4,DA15/ID15,Flat,-9.031097744252968
CCGT,PC4,DA15/ID15,Midday,23.61192476391733
CCGT,PC5,3-sess,Critical,0.0
CCGT,PC5,3-sess,Flat,84.07725795006529
CCGT,PC5,3-sess,Midday,18.642138993460136
CCGT,PC5,ISP15-win,Critical,99.2659652586535
CCGT,PC5,ISP15-win,Flat,117.47990157300245
CCGT,PC5,ISP15-win,Midday,24.268886311973716
CCGT,PC5,DA60/ID15 pre-blk,Critical,137.96381862479436
CCGT,PC5,DA60/ID15 pre-blk,Flat,88.61040620666114
CCGT,PC5,DA60/ID15 pre-blk,Midday,64.99273125841815
CCGT,PC5,DA60/ID15 post-blk,Critical,117.63773413386141
CCGT,PC5,DA60/ID15 post-blk,Flat,107.76309396666903
CCGT,PC5,DA60/ID15 post-blk,Midday,47.69552624214279
CCGT,PC5,DA15/ID15,Critical,128.31969792923542
CCGT,PC5,DA15/ID15,Flat,94.27302503131733
CCGT,PC5,DA15/ID15,Midday,51.68223289722767
