tech,PC,regime,hour_class,coef
Hydro,PC1,3-sess,Critical,0.0
Hydro,PC1,3-sess,Flat,-29.970558339883983
Hydro,PC1,3-sess,Midday,-71.06853241399949
Hydro,PC1,ISP15-win,Critical,289.1615467772001
Hydro,PC1,ISP15-win,Flat,247.78808849233752
Hydro,PC1,ISP15-win,Midday,265.274829634145
Hydro,PC1,DA60/ID15 pre-blk,Critical,105.11112891604259
Hydro,PC1,DA60/ID15 pre-blk,Flat,63.05192747360206
Hydro,PC1,DA60/ID15 pre-blk,Midday,92.26488600647559
Hydro,PC1,DA60/ID15 post-blk,Critical,-21.458911931219074
Hydro,PC1,DA60/ID15 post-blk,Flat,-55.386602058892436
Hydro,PC1,DA60/ID15 post-blk,Midday,-88.76683567835522
Hydro,PC1,DA15/ID15,Critical,-56.82640658890574
Hydro,PC1,DA15/ID15,Flat,-85.98486241381761
Hydro,PC1,DA15/ID15,Midday,-106.80641232556823
Hydro,PC2,3-sess,Critical,0.0
Hydro,PC2,3-sess,Flat,13.581507012758664
Hydro,PC2,3-sess,Midday,9.27296687312338
Hydro,PC2,ISP15-win,Critical,9.34100480906443
Hydro,PC2,ISP15-win,Flat,16.958530829354373
Hydro,PC2,ISP15-win,Midday,33.15694991433401
Hydro,PC2,DA60/ID15 pre-blk,Critical,-8.569607224561025
Hydro,PC2,DA60/ID15 pre-blk,Flat,1.8152941653499965
Hydro,PC2,DA60/ID15 pre-blk,Midday,-8.480801841636037
Hydro,PC2,DA60/ID15 post-blk,Critical,-8.17123769584694
Hydro,PC2,DA60/ID15 post-blk,Flat,6.493752939558057
Hydro,PC2,DA60/ID15 post-blk,Midday,7.127500851362228
Hydro,PC2,DA15/ID15,Critical,-33.66322450457926
Hydro,PC2,DA15/ID15,Flat,-13.78284666110659
Hydro,PC2,DA15/ID15,Midday,-18.89615078572433
Hydro,PC3,3-sess,Critical,0.0
Hydro,PC3,3-sess,Flat,0.0338406977468928
Hydro,PC3,3-sess,Midday,-5.494617074527685
Hydro,PC3,ISP15-win,Critical,-16.86489978148488
Hydro,PC3,ISP15-win,Flat,-20.24779989847276
Hydro,PC3,ISP15-win,Midday,-17.984993250612582
Hydro,PC3,DA60/ID15 pre-blk,Critical,18.4182535200087
Hydro,PC3,DA60/ID15 pre-blk,Flat,13.400169462968634
Hydro,PC3,DA60/ID15 pre-blk,Midday,9.357515569822922
Hydro,PC3,DA60/ID15 post-blk,Critical,15.173060473498111
Hydro,PC3,DA60/ID15 post-blk,Flat,11.586936807328613
Hydro,PC3,DA60/ID15 post-blk,Midday,8.469597142576646
Hydro,PC3,DA15/ID15,Critical,-10.093514502601565
Hydro,PC3,DA15/ID15,Flat,-10.387200571230395
Hydro,PC3,DA15/ID15,Midday,-3.06593987516311
Hydro,PC4,3-sess,Critical,0.0
Hydro,PC4,3-sess,Flat,6.580445723585127
Hydro,PC4,3-sess,Midday,1.2524050796374766
Hydro,PC4,ISP15-win,Critical,5.636731694068274
Hydro,PC4,ISP15-win,Flat,9.480796315072467
Hydro,PC4,ISP15-win,Midday,3.620036246185414
Hydro,PC4,DA60/ID15 pre-blk,Critical,16.161525257556434
Hydro,PC4,DA60/ID15 pre-blk,Flat,10.25501888288359
Hydro,PC4,DA60/ID15 pre-blk,Midday,6.4559187132611555
Hydro,PC4,DA60/ID15 post-blk,Critical,4.121239347422313
Hydro,PC4,DA60/ID15 post-blk,Flat,-2.468740412850657
Hydro,PC4,DA60/ID15 post-blk,Midday,-6.962675595206697
Hydro,PC4,DA15/ID15,Critical,14.86550794055296
Hydro,PC4,DA15/ID15,Flat,11.735161864397746
Hydro,PC4,DA15/ID15,Midday,17.40604858987752
Hydro,PC5,3-sess,Critical,0.0
Hydro,PC5,3-sess,Flat,1.535370533222002
Hydro,PC5,3-sess,Midday,12.55849226164842
Hydro,PC5,ISP15-win,Critical,-6.8635483126364285
Hydro,PC5,ISP15-win,Flat,0.39885193520212425
Hydro,PC5,ISP15-win,Midday,3.3564058179138634
Hydro,PC5,DA60/ID15 pre-blk,Critical,1.7319872699393803
Hydro,PC5,DA60/ID15 pre-blk,Flat,-1.838904443054514
Hydro,PC5,DA60/ID15 pre-blk,Midday,-3.282389676111396
Hydro,PC5,DA60/ID15 post-blk,Critical,2.868641901477564
Hydro,PC5,DA60/ID15 post-blk,Flat,-0.6743072227557891
Hydro,PC5,DA60/ID15 post-blk,Midday,0.4895246647010296
Hydro,PC5,DA15/ID15,Critical,4.794722636237706
Hydro,PC5,DA15/ID15,Flat,0.49019769348720743
Hydro,PC5,DA15/ID15,Midday,-2.787207630647094
