tech,PC,regime,hour_class,coef
Wind,PC1,3-sess,Critical,0.0
Wind,PC1,3-sess,Flat,-5.18051443621041
Wind,PC1,3-sess,Midday,-2.390709748465625
Wind,PC1,ISP15-win,Critical,-30.248815398039625
Wind,PC1,ISP15-win,Flat,-26.703152163132714
Wind,PC1,ISP15-win,Midday,-30.392017703880526
Wind,PC1,DA60/ID15 pre-blk,Critical,-28.084371741306864
Wind,PC1,DA60/ID15 pre-blk,Flat,-29.094068270001195
Wind,PC1,DA60/ID15 pre-blk,Midday,-19.03488533294007
Wind,PC1,DA60/ID15 post-blk,Critical,3.1887443166170577
Wind,PC1,DA60/ID15 post-blk,Flat,75.64886109167266
Wind,PC1,DA60/ID15 post-blk,Midday,79.43875157082184
Wind,PC1,DA15/ID15,Critical,36.852161649983884
Wind,PC1,DA15/ID15,Flat,30.28105570943601
Wind,PC1,DA15/ID15,Midday,16.50243043517614
Wind,PC2,3-sess,Critical,0.0
Wind,PC2,3-sess,Flat,-17.068594525175833
Wind,PC2,3-sess,Midday,-30.889562438181997
Wind,PC2,ISP15-win,Critical,39.42100484067004
Wind,PC2,ISP15-win,Flat,11.600085975750211
Wind,PC2,ISP15-win,Midday,4.726355611741212
Wind,PC2,DA60/ID15 pre-blk,Critical,42.02557737282937
Wind,PC2,DA60/ID15 pre-blk,Flat,24.128446405152484
Wind,PC2,DA60/ID15 pre-blk,Midday,18.023488998562357
Wind,PC2,DA60/ID15 post-blk,Critical,16.99698180984998
Wind,PC2,DA60/ID15 post-blk,Flat,13.983810105826045
Wind,PC2,DA60/ID15 post-blk,Midday,20.540789262629552
Wind,PC2,DA15/ID15,Critical,48.409683390943684
Wind,PC2,DA15/ID15,Flat,33.240313306774624
Wind,PC2,DA15/ID15,Midday,25.32023921653817
Wind,PC3,3-sess,Critical,0.0
Wind,PC3,3-sess,Flat,-3.226164491077844
Wind,PC3,3-sess,Midday,-11.314738833767178
Wind,PC3,ISP15-win,Critical,9.152840737543643
Wind,PC3,ISP15-win,Flat,14.10182243620903
Wind,PC3,ISP15-win,Midday,0.9941516755170987
Wind,PC3,DA60/ID15 pre-blk,Critical,2.8641064812277754
Wind,PC3,DA60/ID15 pre-blk,Flat,6.085472009861625
Wind,PC3,DA60/ID15 pre-blk,Midday,-3.2656493822714108
Wind,PC3,DA60/ID15 post-blk,Critical,-2.7702267672713
Wind,PC3,DA60/ID15 post-blk,Flat,-10.220836849196456
Wind,PC3,DA60/ID15 post-blk,Midday,26.290656202020823
Wind,PC3,DA15/ID15,Critical,-1.484760744189927
Wind,PC3,DA15/ID15,Flat,-4.806042622752015
Wind,PC3,DA15/ID15,Midday,9.864112540654656
Wind,PC4,3-sess,Critical,0.0
Wind,PC4,3-sess,Flat,3.653018286438473
Wind,PC4,3-sess,Midday,-0.9756179716007232
Wind,PC4,ISP15-win,Critical,-5.437095498594948
Wind,PC4,ISP15-win,Flat,-4.390710905361718
Wind,PC4,ISP15-win,Midday,-4.601395703620394
Wind,PC4,DA60/ID15 pre-blk,Critical,-0.032327309919599756
Wind,PC4,DA60/ID15 pre-blk,Flat,-2.0711541616836513
Wind,PC4,DA60/ID15 pre-blk,Midday,1.3949791489002399
Wind,PC4,DA60/ID15 post-blk,Critical,0.6714860989919897
Wind,PC4,DA60/ID15 post-blk,Flat,-5.417210749842271
Wind,PC4,DA60/ID15 post-blk,Midday,-2.8485101164868123
Wind,PC4,DA15/ID15,Critical,7.499790765884537
Wind,PC4,DA15/ID15,Flat,6.164549263103845
Wind,PC4,DA15/ID15,Midday,1.3943604044228524
Wind,PC5,3-sess,Critical,0.0
Wind,PC5,3-sess,Flat,1.7205563182600763
Wind,PC5,3-sess,Midday,-2.1374690669139667
Wind,PC5,ISP15-win,Critical,-1.5732183786160427
Wind,PC5,ISP15-win,Flat,2.6689687305905316
Wind,PC5,ISP15-win,Midday,-4.63480823479559
Wind,PC5,DA60/ID15 pre-blk,Critical,-4.747690202077322
Wind,PC5,DA60/ID15 pre-blk,Flat,-0.7260705866564574
Wind,PC5,DA60/ID15 pre-blk,Midday,-3.274545328372219
Wind,PC5,DA60/ID15 post-blk,Critical,-5.993127367399403
Wind,PC5,DA60/ID15 post-blk,Flat,-7.381049106788289
Wind,PC5,DA60/ID15 post-blk,Midday,15.275254212781844
Wind,PC5,DA15/ID15,Critical,-11.432198733569443
Wind,PC5,DA15/ID15,Flat,-11.262730024560742
Wind,PC5,DA15/ID15,Midday,-5.628997497434279
