tech,firm,reform,PC,hour_class,coef,n_rows
CCGT,AXPO,ISP15,PC1,Critical,-799.2493438311595,4977
CCGT,AXPO,ISP15,PC1,Flat,-282.09388144499803,4977
CCGT,AXPO,ISP15,PC1,Midday,-841.9095462546431,4977
CCGT,AXPO,ISP15,PC2,Critical,230.24088488369094,4977
CCGT,AXPO,ISP15,PC2,Flat,100.12788109919569,4977
CCGT,AXPO,ISP15,PC2,Midday,126.62123882851736,4977
CCGT,AXPO,ISP15,PC3,Critical,398.4168810188538,4977
CCGT,AXPO,ISP15,PC3,Flat,446.72374579077785,4977
CCGT,AXPO,ISP15,PC3,Midday,455.66300484257124,4977
CCGT,AXPO,ISP15,PC4,Critical,-322.4458228183523,4977
CCGT,AXPO,ISP15,PC4,Flat,-311.73370403833144,4977
CCGT,AXPO,ISP15,PC4,Midday,-369.58263016672083,4977
CCGT,AXPO,ISP15,PC5,Critical,99.17699553662466,4977
CCGT,AXPO,ISP15,PC5,Flat,105.0272593120383,4977
CCGT,AXPO,ISP15,PC5,Midday,108.66363384293157,4977
CCGT,GE,ISP15,PC1,Critical,-4116.38159088021,29473
CCGT,GE,ISP15,PC1,Flat,-3010.0678666130343,29473
CCGT,GE,ISP15,PC1,Midday,-4654.719021626466,29473
CCGT,GE,ISP15,PC2,Critical,2387.8034309646696,29473
CCGT,GE,ISP15,PC2,Flat,2111.799051656033,29473
CCGT,GE,ISP15,PC2,Midday,3360.698078762288,29473
CCGT,GE,ISP15,PC3,Critical,1153.726451620713,29473
CCGT,GE,ISP15,PC3,Flat,898.3666662633607,29473
CCGT,GE,ISP15,PC3,Midday,421.66195436351813,29473
CCGT,GE,ISP15,PC4,Critical,481.7653840217709,29473
CCGT,GE,ISP15,PC4,Flat,392.7313529211183,29473
CCGT,GE,ISP15,PC4,Midday,374.0572845123964,29473
CCGT,GE,ISP15,PC5,Critical,386.1038329215539,29473
CCGT,GE,ISP15,PC5,Flat,-114.77150750511521,29473
CCGT,GE,ISP15,PC5,Midday,-30.820677799596126,29473
CCGT,GN,ISP15,PC1,Critical,-1371.5485970652935,72462
CCGT,GN,ISP15,PC1,Flat,-111.12184735841811,72462
CCGT,GN,ISP15,PC1,Midday,-881.9824618976429,72462
CCGT,GN,ISP15,PC2,Critical,102.69295254237329,72462
CCGT,GN,ISP15,PC2,Flat,-2.614813525505596,72462
CCGT,GN,ISP15,PC2,Midday,203.87729248430617,72462
CCGT,GN,ISP15,PC3,Critical,-14.366258844530826,72462
CCGT,GN,ISP15,PC3,Flat,-7.863003450068195,72462
CCGT,GN,ISP15,PC3,Midday,46.712898403089916,72462
CCGT,GN,ISP15,PC4,Critical,-84.83210972164684,72462
CCGT,GN,ISP15,PC4,Flat,103.70382579121375,72462
CCGT,GN,ISP15,PC4,Midday,55.15511229759062,72462
CCGT,GN,ISP15,PC5,Critical,193.3349802400852,72462
CCGT,GN,ISP15,PC5,Flat,96.86342792894682,72462
CCGT,GN,ISP15,PC5,Midday,36.34866191305849,72462
CCGT,HC,ISP15,PC1,Critical,610.5139014292638,30388
CCGT,HC,ISP15,PC1,Flat,-126.46291325535788,30388
CCGT,HC,ISP15,PC1,Midday,615.0271336396003,30388
CCGT,HC,ISP15,PC2,Critical,405.84008984601445,30388
CCGT,HC,ISP15,PC2,Flat,291.4019825231165,30388
CCGT,HC,ISP15,PC2,Midday,429.7674622091513,30388
CCGT,HC,ISP15,PC3,Critical,-53.15177938188473,30388
CCGT,HC,ISP15,PC3,Flat,447.6644190533561,30388
CCGT,HC,ISP15,PC3,Midday,-61.29875377886489,30388
CCGT,HC,ISP15,PC4,Critical,295.30959627213065,30388
CCGT,HC,ISP15,PC4,Flat,668.9327146928549,30388
CCGT,HC,ISP15,PC4,Midday,318.66981767829367,30388
CCGT,HC,ISP15,PC5,Critical,-116.97075156314826,30388
CCGT,HC,ISP15,PC5,Flat,199.29704527192234,30388
CCGT,HC,ISP15,PC5,Midday,-101.6689401726048,30388
CCGT,IB,ISP15,PC1,Critical,-124.88525245584565,36221
CCGT,IB,ISP15,PC1,Flat,-65.95152862639787,36221
CCGT,IB,ISP15,PC1,Midday,-123.51244712581837,36221
CCGT,IB,ISP15,PC2,Critical,208.40717460678178,36221
CCGT,IB,ISP15,PC2,Flat,176.34794961929867,36221
CCGT,IB,ISP15,PC2,Midday,202.1604113824957,36221
CCGT,IB,ISP15,PC3,Critical,-146.7869208190941,36221
