tech,firm,hour_class,n,PC1,PC2,PC3,PC4,PC5
CCGT,GN,Critical,45447,0.8668984174728394,0.09131783992052078,0.018349498510360718,0.007607213221490383,0.003997583873569965
CCGT,GN,Flat,1482,0.9183638691902161,0.07030846178531647,0.005319066345691681,0.0018404038855805993,0.0014575145905837417
CCGT,GN,Midday,1099,0.9335044622421265,0.06045303866267204,0.004957594908773899,0.00021938924328424037,0.00015665854152757674
CCGT,HC,Critical,39509,0.9301488995552063,0.040800753980875015,0.012322605587542057,0.004337013699114323,0.0027437249664217234
CCGT,HC,Flat,3035,0.930838406085968,0.04041660204529762,0.012613107450306416,0.003977545537054539,0.0028087140526622534
CCGT,HC,Midday,6288,0.8912892937660217,0.06447775661945343,0.016213133931159973,0.007530443370342255,0.005010545719414949
CCGT,IB,Critical,47125,0.9533841013908386,0.04191235452890396,0.0022864302154630423,0.0012686464469879866,0.00022586259001400322
CCGT,IB,Flat,3851,0.9929355382919312,0.005844747181981802,0.0005450391327030957,0.00021390573238022625,0.00014372744772117585
CCGT,IB,Midday,7446,0.9832381010055542,0.015024140477180481,0.0008478524396196008,0.0005270141991786659,9.221424261340871e-05
CCGT,OTH,Critical,16592,0.9227099418640137,0.051928143948316574,0.008765038102865219,0.004675624426454306,0.0033095560502260923
CCGT,OTH,Midday,3406,0.8242830634117126,0.13003148138523102,0.018972232937812805,0.008050989359617233,0.005740726832300425
CCGT,REP,Critical,6661,0.9103816151618958,0.036833103746175766,0.020748186856508255,0.009265582077205181,0.004508597310632467
Hydro,GE,Critical,2502,0.7184253334999084,0.16346023976802826,0.049231648445129395,0.016428254544734955,0.011273526586592197
Hydro,GE,Midday,1528,0.8042445182800293,0.12205034494400024,0.027651695534586906,0.016580946743488312,0.007890257053077221
Hydro,GN,Critical,6991,0.8487346768379211,0.07600905001163483,0.028879880905151367,0.012329800985753536,0.00721797114238143
Hydro,GN,Flat,1085,0.8490939736366272,0.08732101321220398,0.02213679626584053,0.011862208135426044,0.00499009620398283
Hydro,HC,Critical,64826,0.7983148694038391,0.1074996367096901,0.03349298983812332,0.016596533358097076,0.008843185380101204
Hydro,HC,Flat,11244,0.7810765504837036,0.11614923924207687,0.035793304443359375,0.018238214775919914,0.00957996305078268
Hydro,HC,Midday,17100,0.7885851860046387,0.11206887662410736,0.03775139898061752,0.016154693439602852,0.009095489047467709
Hydro,IB,Critical,29008,0.9034817218780518,0.04962008073925972,0.01900305040180683,0.008192245848476887,0.004615110345184803
Hydro,IB,Flat,5090,0.8788719177246094,0.06355620175600052,0.022013504058122635,0.010789656080305576,0.005386753007769585
Hydro,IB,Midday,6714,0.8759183883666992,0.07193657010793686,0.020296195521950722,0.010555519722402096,0.004072938580065966
Hydro,REP,Critical,2147,0.6865879893302917,0.14425554871559143,0.05535771697759628,0.021276261657476425,0.020734600722789764
Hydro,REP,Midday,1045,0.7618334889411926,0.09847266227006912,0.04921340197324753,0.019024603068828583,0.014829190447926521
Hydro_pump,GE,Critical,5950,0.9225260615348816,0.05241077393293381,0.011988135986030102,0.004658636171370745,0.0038986357394605875
Hydro_pump,IB,Critical,8857,0.9885192513465881,0.00553558673709631,0.0024525129701942205,0.0017118563409894705,0.00040221758536063135
Hydro_pump,IB,Flat,1567,0.9780344367027283,0.010320769622921944,0.0046762749552726746,0.0034621036611497402,0.0006937232683412731
Hydro_pump,IB,Midday,2035,0.9802373647689819,0.010715500451624393,0.0038362802006304264,0.002270813100039959,0.000884347828105092
Hydro_pump,REP,Critical,7074,0.8882477283477783,0.07703225314617157,0.022146504372358322,0.004053332377225161,0.002476845169439912
Hydro_pump,REP,Flat,1364,0.9112594723701477,0.06048810854554176,0.020626623183488846,0.003425407689064741,0.0017294962890446186
Hydro_pump,REP,Midday,1557,0.938946008682251,0.045957937836647034,0.008713467977941036,0.0037223428953438997,0.001385411829687655
