tech,unit,firm,n,PC1,PC2,PC3,PC4,PC5
CCGT,ACE3,IB,3322,0.9982368350028992,0.0015537296421825886,0.00010698370169848204,5.612910899799317e-05,1.5443551092175767e-05
CCGT,ACE4,GN,3106,0.9212886691093445,0.05480368807911873,0.011718088760972023,0.004214204847812653,0.0025825281627476215
CCGT,ALG3,REP,4103,0.9165242910385132,0.03388730064034462,0.017833678051829338,0.009007482789456844,0.004549213219434023
CCGT,ARCOS1,IB,6329,0.9939864277839661,0.00552073959261179,0.0002091278729494661,0.0001631915511097759,5.970620986772701e-05
CCGT,ARCOS2,IB,7065,0.9987444877624512,0.0008005165145732462,0.00028602671227417886,7.647382881259546e-05,3.910688974428922e-05
CCGT,ARCOS3,IB,4817,0.8628801107406616,0.13196884095668793,0.0019886132795363665,0.001705081551335752,0.0006451912340708077
CCGT,BAHIAB,OTH,1204,0.9785845279693604,0.019780682399868965,0.0008217412978410721,0.00038582703564316034,0.000195676606381312
CCGT,BES4,GN,2991,0.9287779927253723,0.048773255199193954,0.01181056909263134,0.003399738110601902,0.00196650717407465
CCGT,CAMG20R,OTH,1932,0.8818290829658508,0.09124717116355896,0.010738767683506012,0.0059386021457612514,0.0023290107492357492
CCGT,CAMGI10,GN,3641,0.8887697458267212,0.07604382187128067,0.01721542328596115,0.007740816567093134,0.0030910950154066086
CCGT,CTGN1,GN,3112,0.9111140966415405,0.060338664799928665,0.014296172186732292,0.004760104697197676,0.002122931182384491
CCGT,CTGN2,GN,731,0.9122946262359619,0.05822533741593361,0.013978153467178345,0.005445091985166073,0.0023484481498599052
CCGT,CTGN3,GN,3003,0.901753842830658,0.0641268715262413,0.01696871593594551,0.00625628512352705,0.00313940248452127
CCGT,CTJON1R,OTH,1100,0.9220468401908875,0.030572036281228065,0.014162133447825909,0.008354943245649338,0.006668352987617254
CCGT,CTJON2,IB,7223,0.9971434473991394,0.0025018888991326094,0.00015943193284329027,8.761541539570317e-05,5.0642789574339986e-05
CCGT,CTJON3R,OTH,1126,0.9683974385261536,0.019242044538259506,0.0033944235183298588,0.002663347637280822,0.0017639347352087498
CCGT,CTN3,IB,6849,0.9094175696372986,0.08256809413433075,0.005777021404355764,0.0008433835464529693,0.0004380072932690382
CCGT,CTN4,IB,7118,0.8951788544654846,0.09336106479167938,0.00755686080083251,0.0017776218010112643,0.0005395466578193009
