firm,CCGT,Hydro,Hydro_RoR,Hydro_pump,Nuclear,Solar,Wind,total_gen_mw,ccgt_mw,non_ccgt_share,n_techs,tech_diversity,p_scar,scar_mw,n_tranches
Ignis,282.3,0.0,221.1,0.0,0.0,5316.3,2635.3,8455.0,282.3,0.9666114725014784,4,2.0230403703359023,150.5969687330432,85508.79999999976,844
Axpo,795.5,0.0,361.7,0.0,0.0,3141.8,2724.2,7023.2,795.5,0.8867325435698826,4,2.7318248733850634,225.77544494442856,1088434.7999999993,2366
Iberdrola,5214.3,9259.699999999999,114.69999999999999,1511.7,6133.200000000001,4025.3999999999996,6695.7,32954.7,5214.3,0.8417737075439922,7,5.077629414561809,331.3683416627681,12286715.599999646,111805
Alpiq,421.0,0.0,0.0,0.0,0.0,1118.3000000000002,634.2,2173.5,421.0,0.8063031976075454,3,2.5814124143676356,203.79540849957337,989132.0,2504
Endesa,3757.5,4003.2000000000003,0.0,1321.4,6097.3,4.3,0.0,15183.7,3757.5,0.7525306743415636,5,3.3379579560064294,2663.551698288813,5040762.200000077,36220
EDP,2906.0,5558.0,25.4,0.0,0.0,119.0,1873.6,10482.0,2906.0,0.7227628315207022,5,2.563433935213615,629.5050841907043,5398544.900000131,69103
Repsol,1648.1,300.4,2.4,360.6,0.0,950.6,1580.6000000000001,4842.700000000001,1648.1,0.6596733227331861,6,3.699918502612898,183.3352656122375,305580.79999999993,3971
Naturgy,6983.4,1697.6000000000001,110.6,215.0,3020.5,815.5,2561.5,15404.1,6983.4,0.5466531637680878,7,3.486534584428316,1000.0000000000687,43996575.79999698,142756
Engie,1206.4,1.0,80.0,0.0,0.0,194.2,1076.5,2558.1,1206.4,0.5283999843633946,5,2.4616140350929983,463.6319830918918,7062359.099999869,24661
TotalEnergies,843.4,0.0,0.0,0.0,0.0,309.3,41.6,1194.3,843.4,0.2938122749727874,3,1.7637147766025154,499.9581359529173,5740754.0999998655,17972
Moeve,799.2,0.0,99.8,0.0,0.0,13.299999999999999,2.6,914.9,799.2,0.12646190840529015,4,1.2900108255295832,498.1972520194589,3475715.999999868,31996
SEAE,388.0,0.0,0.0,0.0,0.0,0.0,28.8,416.8,388.0,0.06909788867562383,2,1.1476401672578758,299.6289431763579,2035173.9999999993,8693
BizkaiaElec,785.3,0.0,0.0,0.0,0.0,0.0,0.0,785.3,785.3,0.0,1,1.0,369.48102289343285,6665296.400000265,9600
