reform,market,tech,outcome,comparison,theta,se,t,n,n_units
ID15,da,CCGT,sigma_p,crit_vs_flat,4.449044308779298,0.4631471715571294,9.606113525040724,97080,56
ID15,da,CCGT,sigma_p,morning_vs_flat,1.9783626047943268,0.44119308347653946,4.484119717392457,29711,56
ID15,da,CCGT,beta,crit_vs_flat,0.21760562926623472,0.05535403180206403,3.931161329753774,65223,53
ID15,da,CCGT,beta,morning_vs_flat,0.12168129837245001,0.09916349871487241,1.2270775028049752,19096,52
ID15,da,CCGT,gamma,crit_vs_flat,-0.004095853385079925,0.0013797915837941714,-2.968458014374234,58233,51
ID15,da,CCGT,gamma,morning_vs_flat,0.00020269997912403343,0.0006830255976487538,0.29676776364137375,17149,49
ID15,da,CCGT,hhi,crit_vs_flat,-0.17600419081782875,0.03913597268829727,-4.497248406718631,97080,56
ID15,da,CCGT,hhi,morning_vs_flat,-0.12825419151388456,0.03108335838952746,-4.126136883493763,29711,56
ID15,da,Hydro,sigma_p,crit_vs_flat,-0.3543673113840329,0.1726501276532001,-2.0525169381620474,89989,62
ID15,da,Hydro,sigma_p,morning_vs_flat,-0.25500467197088794,0.14704722925949515,-1.7341684930416448,45241,62
ID15,da,Hydro,beta,crit_vs_flat,0.13037749457996062,0.26339426150101414,0.49498988260782073,56690,26
ID15,da,Hydro,beta,morning_vs_flat,0.2767298398199619,0.24107750668014585,1.1478874310207565,29014,26
ID15,da,Hydro,gamma,crit_vs_flat,-0.16612692419056607,1.8788432771461945,-0.08841978796810501,46960,24
ID15,da,Hydro,gamma,morning_vs_flat,-1.5614747277476395,1.1580138665899187,-1.348407625157218,24024,23
ID15,da,Hydro,hhi,crit_vs_flat,0.009998519865387297,0.005280705607161507,1.8934060349487494,89989,62
ID15,da,Hydro,hhi,morning_vs_flat,0.007442287486898467,0.004602949252839661,1.616851952540462,45241,62
ID15,da,Hydro_pump,sigma_p,crit_vs_flat,-1.4849797900817252,0.30319525561575844,-4.897767239351697,16621,8
ID15,da,Hydro_pump,sigma_p,morning_vs_flat,-0.9525338705354065,0.232878914786911,-4.090253818843989,7719,8
ID15,da,Hydro_pump,beta,crit_vs_flat,-0.03871205826001804,0.010393727522587564,-3.7245596611888576,10346,8
ID15,da,Hydro_pump,beta,morning_vs_flat,-0.02210137135088881,0.008274730139603453,-2.670947689896261,4866,8
ID15,da,Hydro_pump,gamma,crit_vs_flat,-0.00032092718812520187,0.0001639566016236188,-1.9573910714612581,7990,8
ID15,da,Hydro_pump,gamma,morning_vs_flat,-0.00033763783669795344,0.00012012464791773294,-2.8107290431284664,4012,7
ID15,da,Hydro_pump,hhi,crit_vs_flat,0.0007281059328259776,0.012030702862948429,0.060520647972144896,16621,8
ID15,da,Hydro_pump,hhi,morning_vs_flat,0.0032359341754917984,0.010307026747228273,0.3139541843492347,7719,8
ID15,da,Wind,sigma_p,crit_vs_flat,-0.16545685603588053,0.04720853424589131,-3.504808159772101,270793,315
ID15,da,Wind,sigma_p,morning_vs_flat,-0.13487920091451344,0.03960129066470345,-3.4059294192330705,134630,314
ID15,da,Wind,beta,crit_vs_flat,1.0898183908072032,0.8549674102735628,1.2746899796548916,37074,76
ID15,da,Wind,beta,morning_vs_flat,-0.08197576701910858,0.8405661998552749,-0.09752446271718136,19257,74
ID15,da,Wind,gamma,crit_vs_flat,-2.2329511059293923,1.6413310111474064,-1.3604514206847294,13382,14
ID15,da,Wind,gamma,morning_vs_flat,0.10996563561682365,0.6965247094433386,0.15787758011443415,6842,14
ID15,da,Wind,hhi,crit_vs_flat,0.003151350363400641,0.0017273634492008922,1.8243701780644423,270793,315
ID15,da,Wind,hhi,morning_vs_flat,0.0015745472046148267,0.0017666695370161403,0.8912516866477456,134630,314
ID15,da,Cogen,sigma_p,crit_vs_flat,0.038017271290793145,0.037964828705127004,1.0013813465635117,135511,250
ID15,da,Cogen,sigma_p,morning_vs_flat,0.048107554206227504,0.036329780775446074,1.3241906000914154,65800,240
ID15,da,Cogen,beta,crit_vs_flat,0.07054722129126556,0.2917715718219264,0.2417892217899893,7315,24
ID15,da,Cogen,beta,morning_vs_flat,0.3956744177539312,0.28599517644888073,1.3835003186658805,3859,19
ID15,da,Cogen,gamma,crit_vs_flat,-0.10258289989511785,0.020018758223954627,-5.124338819995649,2960,5
