"reform","side","outcome","eff","lo","hi","p","n_pre","n_post"
"ID15","real","cost_f1_up",1987.94188340842,-1444.97539277871,5483.76095086261,0.140602582496413,870,40
"ID15","real","cost_f1_dn",-196.673926687817,-370.518145927492,-19.4758296822201,0.0201780415430267,870,40
"ID15","real","cost_f2_up",-23.7038099717333,-80.0818341868975,34.7390570645801,0.197139938712972,870,40
"ID15","real","cost_f2_dn",-962.908756520149,-2188.98247862923,381.664031261464,0.0769230769230769,870,40
"ID15","real","cost_tr_up",-4181.81407824063,-6766.53380678324,-1704.13288122541,0.0163934426229508,870,40
"ID15","real","cost_tr_dn",390.418761180731,357.824995859011,422.972118731775,0.00053248136315229,870,40
"ID15","real","cost_afrr_up",-842.202219325273,-1077.89682839281,-605.685020704857,0.000669792364367046,870,40
"ID15","real","cost_afrr_dn",-43.9696446897924,-302.278199810356,227.97211729836,0.375444839857651,870,40
"ID15","placebo","cost_f1_up",2259.87591621018,1751.55302115112,2732.24321404059,0.000503524672708963,505,40
"ID15","placebo","cost_f1_dn",-1.64729785505108,-156.99016062117,152.824782666059,0.487408184679958,505,40
"ID15","placebo","cost_f2_up",-22.4369724353222,-90.4778754579614,47.9357513664519,0.251625812906453,505,40
"ID15","placebo","cost_f2_dn",-252.88313227172,-541.305071288577,30.7121954565121,0.0434562910560889,505,40
"ID15","placebo","cost_tr_up",654.731089632721,-104.486765063909,1304.76274673348,0.042958129418162,505,40
"ID15","placebo","cost_tr_dn",-11.3010159042239,-45.7540829025185,26.4907497232468,0.246739697443923,505,40
"ID15","placebo","cost_afrr_up",-154.419913054628,-377.386670056628,64.1875087838856,0.0895748987854251,505,40
"ID15","placebo","cost_afrr_dn",NA,NA,NA,NA,0,0
"DA15","real","cost_f1_up",4553.61559769043,-1137.61815132134,10560.6211491258,0.0616061606160616,1066,92
"DA15","real","cost_f1_dn",-123.273321096107,-981.938371855769,760.819951390541,0.385238523852385,1066,92
"DA15","real","cost_f2_up",-143.144913592835,-232.344615227304,-53.9365074930171,0.00117027501462844,1066,92
"DA15","real","cost_f2_dn",1959.22561470857,-395.806371475897,4462.98046824435,0.0449367088607595,1066,92
"DA15","real","cost_tr_up",-708.654552676583,-5290.41522695171,4197.4786747601,0.380952380952381,1066,92
"DA15","real","cost_tr_dn",-28.5038684025,-117.263070746905,71.0267382527899,0.278145695364238,1066,92
"DA15","real","cost_afrr_up",-324.862697407458,-1290.85946071565,600.990568525938,0.233636363636364,1066,92
"DA15","real","cost_afrr_dn",-132.145468953481,-492.092904252525,238.204389190698,0.24031007751938,1066,92
"DA15","placebo","cost_f1_up",1695.46150698505,-2922.55604431251,6506.46783297427,0.251180358829084,701,92
"DA15","placebo","cost_f1_dn",458.188742711763,346.7291419456,573.068889213051,0.000565930956423316,701,92
"DA15","placebo","cost_f2_up",53.9803385765693,11.3891248566499,100.125664184917,0.00709219858156028,701,92
"DA15","placebo","cost_f2_dn",622.839212166256,-1024.3516672884,2255.39697174696,0.227994227994228,701,92
"DA15","placebo","cost_tr_up",338.209172685388,-268.727341122002,931.813796920099,0.136276391554703,701,92
"DA15","placebo","cost_tr_dn",-25.2216518518881,-51.3386400755655,3.21357427885072,0.0374873353596758,701,92
"DA15","placebo","cost_afrr_up",470.234044469901,279.729220488929,673.833860064036,0.000744047619047619,701,92
"DA15","placebo","cost_afrr_dn",NA,NA,NA,NA,0,0
