"reform","outcome","tech","market","hour_class","eff","lo","hi","rel","p","n_pre","n_post"
"ID15","p","ccgt","da","critical",37.4138097015634,12.4653305723952,63.1561577274599,0.59540305294655,0.0022189349112426,278,40
"ID15","p","ccgt","da","midday",25.6409713380519,19.6023958648375,31.5898831400042,0.380666057796297,0.00068073519400953,278,40
"ID15","p","ccgt","da","flat",0.323665137338551,-8.19972752222345,8.59870124714943,0.00436760094559111,0.49063670411985,278,40
"ID15","p","ccgt","ida","critical",4.20879331542918,-7.21082697972195,16.6237023412546,0.0541599700072168,0.253357206803939,242,38
"ID15","p","ccgt","ida","midday",-7.23442290734324,-12.6209342653565,-1.76211480413028,-0.0678903348982475,0.00540540540540541,242,38
"ID15","p","ccgt","ida","flat",-10.2403716228822,-17.8110267085274,-1.757976622783,-0.0951428014776051,0.0116666666666667,242,38
"ID15","p","hydro","da","critical",-9.83122099417503,-37.060114586478,18.6593769839327,-0.102542234008318,0.243281471004243,278,40
"ID15","p","hydro","da","midday",-9.9203901963881,-37.7083903641926,18.1019242839767,-0.10490972394073,0.249648382559775,278,40
"ID15","p","hydro","da","flat",-4.61319187811851,-33.2690603934796,23.323115075868,0.0401961803056916,0.370344342937456,278,40
"ID15","p","hydro","ida","critical",-15.2077479188669,-41.1722786092557,12.2417564520737,-0.139612597383848,0.132243684992571,242,38
"ID15","p","hydro","ida","midday",-18.0983886728485,-43.2555442039753,10.7056497637094,-0.179767417998293,0.102996254681648,242,38
"ID15","p","hydro","ida","flat",-2.66703055588488,-35.7293115419309,28.2384339910166,0.0144755924870135,0.449074074074074,242,38
"ID15","p","hydro_pump","da","critical",-35.2177232225349,-80.9140494066257,9.63872522459527,-0.501110610420442,0.0673076923076923,278,40
"ID15","p","hydro_pump","da","midday",-34.8999500248959,-77.4387273041128,6.61936244199186,-0.390588525963323,0.0591397849462366,278,40
"ID15","p","hydro_pump","da","flat",-48.9374159902038,-92.8466478136131,-5.60162477883446,-0.555822615349936,0.0122850122850123,278,40
"ID15","p","hydro_pump","ida","critical",-62.1740806765718,-83.1400764060302,-40.5064584830217,-0.532055333649262,0.00184162062615101,242,38
"ID15","p","hydro_pump","ida","midday",-66.1887006756665,-79.041007656665,-53.6359818551803,-0.521290012908349,0.000666666666666667,224,31
"ID15","p","hydro_pump","ida","flat",-76.0059137343003,-91.4024229327214,-62.2418297633909,-0.611263544179426,0.000677966101694915,235,38
"ID15","q","ccgt","da","critical",19668.2814192082,-7042.60424869288,47356.2990349065,0.185986737457553,0.0820980615735462,278,40
"ID15","q","ccgt","da","midday",-921.332381756307,-7882.05036445981,6411.29090526743,-0.0156047850595581,0.398768283294842,278,40
"ID15","q","ccgt","da","flat",-4073.62692400971,-7980.41889523266,2778.8745385171,-0.225746874197092,0.125,278,40
"ID15","q","ccgt","ida","critical",108031.40304115,105568.245380589,110614.86814338,4.25033179554324,0.000826446280991736,242,38
"ID15","q","ccgt","ida","midday",42427.7229373844,41197.6070208423,43693.8339264179,5.08786248948882,0.000935453695042095,242,38
"ID15","q","ccgt","ida","flat",40938.5569389484,39665.804371278,42217.2011000409,4.41784244052932,0.000677966101694915,242,38
"ID15","q","hydro","da","critical",8277.32001940405,-8686.89515828701,24704.2813450247,0.0839617035355275,0.182432432432432,278,40
"ID15","q","hydro","da","midday",6212.26320315382,4778.72164928701,7640.57317958899,0.181663495844468,0.000679809653297077,278,40
"ID15","q","hydro","da","flat",5537.72353094058,4364.09759046712,6628.03167349289,0.197387015129994,0.000679347826086957,278,40
"ID15","q","hydro","ida","critical",225247.661416247,216833.030721825,232912.671641727,3.84827118088265,0.00067476383265857,242,38
"ID15","q","hydro","ida","midday",107271.338993786,103668.642743107,110765.767481472,2.93601013407307,0.0006765899864682,242,38
"ID15","q","hydro","ida","flat",54852.2211598914,52475.3740933366,57652.5955463441,2.96471745159879,0.000666666666666667,242,38
"ID15","q","hydro_pump","da","critical",762.07167337706,-4098.06093532384,5831.63267958223,0.104575276487638,0.391693811074919,278,40
"ID15","q","hydro_pump","da","midday",192.041179949068,-1461.32701853629,1814.67710062012,0.0885736718644954,0.416123778501629,278,40
"ID15","q","hydro_pump","da","flat",150.591492761195,-1193.053053893,1562.18864220559,0.101697360655449,0.415895061728395,278,40
"ID15","q","hydro_pump","ida","critical",12615.2269670245,10675.1265058649,14826.0851205882,1.30612894139993,0.000667556742323097,242,38
"ID15","q","hydro_pump","ida","midday",3258.90916504554,1977.16980236479,4583.65159360392,0.882650384267619,0.000691085003455425,224,31
"ID15","q","hydro_pump","ida","flat",6260.43582670997,5484.93256461615,7000.40227187248,2.00035695303503,0.000669792364367046,235,38
"DA15","p","ccgt","da","critical",3.43864871579869,0.390453070087706,6.6434118823591,0.0325898482705484,0.015916955017301,156,40
"DA15","p","ccgt","da","midday",5.2024697122154,1.7736709474216,8.55584241950576,0.0537693369889682,0.00687285223367698,156,40
