"window","outcome","side","eff","lo","hi","p","n_pre","n_post"
"40d","ida_price_eur","real",-33.8469312277138,-84.3858281320615,17.702805072075,0.0960463461733916,870,40
"40d","ida_price_eur","placebo",-21.7200823372731,-69.0576903280662,24.6307255704254,0.172750424448217,505,40
"40d","da_price_eur","real",-33.4126910428505,-84.4674314574916,18.5307386934452,0.100651333197639,870,40
"40d","da_price_eur","placebo",-15.1973892838691,-62.3376390560376,30.8221323364105,0.254965165852137,505,40
"90d","ida_price_eur","real",-34.7079052160105,-107.746030990629,40.4601691520524,0.178578680203046,870,89
"90d","ida_price_eur","placebo",-5.03964221661304,-70.7481907884737,60.8740545150157,0.435959553402149,505,90
"90d","da_price_eur","real",-36.8620112472404,-112.6161983807,37.914396115603,0.167123565844248,870,90
"90d","da_price_eur","placebo",0.0304187578403159,-63.7675892108368,64.8714552541299,0.494854202401372,505,90
"180d","ida_price_eur","real",-11.5968921136506,-115.977414729901,91.5169289871907,0.407429963459196,870,179
"180d","ida_price_eur","placebo",20.5673494292635,-71.7000179665858,111.266396117049,0.323492063492063,505,180
"180d","da_price_eur","real",-13.3493045523824,-117.155849593943,88.8916743729851,0.400884227842895,870,180
"180d","da_price_eur","placebo",27.1933996711884,-64.0462802758339,117.343032983923,0.269022869022869,505,180
"196d","ida_price_eur","real",-9.97213762254667,-116.484276638703,96.3421871383871,0.426709094641757,870,195
"196d","ida_price_eur","placebo",23.0872544763635,-71.7945315299538,117.483452453626,0.313439153439153,505,196
"196d","da_price_eur","real",-11.2102779891895,-118.271556142271,98.33883779015,0.420966420966421,870,196
"196d","da_price_eur","placebo",27.785244169673,-65.5618059410084,121.173754975848,0.278412698412698,505,196
