"tech","scenario","effect","lower","upper","rel_pct","p","n_pre","n_post"
"CCGT","REAL ID15 CCGT",-0.0255074033249202,-0.181277229723619,0.13794979561471,-54.7605823903818,0.353049907578558,242,38
"Hydro","REAL ID15 Hydro",-0.0807810207150575,-0.118303766228866,-0.0427286349552415,-20.6137915323993,0.0010126582278481,242,38
"Hydro_pump","REAL ID15 Hydro_pump",-0.0508457196934146,-0.120869221049757,0.0136872844777734,-18.9449440515962,0.0582621798091411,242,38
"Nuclear","REAL ID15 Nuclear",-0.312407974943939,-0.51085885774459,-0.120523710873621,-51.8413254443501,0.00050709939148073,83,36
"Solar PV","REAL ID15 Solar PV",-0.167607258402711,-0.200385202385971,-0.135639342673985,-25.9739422286914,0.000505816894284269,242,38
"Wind","REAL ID15 Wind",-0.256398209668873,-0.297645010683273,-0.214951897270785,-34.9287554664753,0.000602409638554217,242,38
"CCGT","REAL DA15 CCGT",0.154367549122002,0.0882445635305792,0.212661307744639,5595.46290428715,0.000503271263210871,151,40
"Hydro","REAL DA15 Hydro",-0.0127722559360562,-0.0489206011443775,0.0247648206915897,-4.55091167943128,0.250489236790607,151,40
"Hydro_pump","REAL DA15 Hydro_pump",0.0610178802800271,-0.00435226541113253,0.122813186156678,32.5986260103149,0.0330661322645291,151,40
"Nuclear","REAL DA15 Nuclear",-0.296025022136296,-0.488031283868059,-0.0729402611193162,-45.091228036368,0.0070635721493441,151,38
"Solar PV","REAL DA15 Solar PV",0.0725269290516429,0.0113513230293287,0.126290988863849,15.8283198828205,0.0107142857142857,151,40
"Wind","REAL DA15 Wind",0.0652593523948612,-0.00776226926405438,0.143144658730425,12.6599285667646,0.0406546990496304,151,40
"CCGT","PLB24 DA15 CCGT",-0.161103013360822,-0.243433181604136,-0.10527700082798,-62.9547239347238,0.000502008032128514,131,37
"Hydro","PLB24 DA15 Hydro",-0.0177950847564525,-0.0568269098831056,0.0248892575259524,-4.87685884712738,0.184382871536524,131,37
"Hydro_pump","PLB24 DA15 Hydro_pump",0.0474441891251117,0.00181978214803044,0.096333203028165,39.2245736411984,0.0222446916076845,131,37
"Nuclear","PLB24 DA15 Nuclear",-0.239766829520817,-0.517906095845911,0.186052602260919,-25.2992998892982,0.130630630630631,70,11
"Solar PV","PLB24 DA15 Solar PV",-0.131185048677258,-0.244179664322466,-0.0156482605870544,-16.7283459081796,0.0150981378963261,131,37
"Wind","PLB24 DA15 Wind",-0.114797524690455,-0.257938969988983,0.00712028283781961,-13.2272028330945,0.0332326283987915,131,37
