"tech","scenario","effect","lower","upper","p","n_pre","n_post"
"CCGT","REAL ID15 CCGT",-0.0309401401717404,-0.137402455858899,0.0899794334503779,0.279441117764471,242,38
"Hydro","REAL ID15 Hydro",0.0483685105224091,0.00967473524430645,0.085630456264375,0.00451580531861515,242,38
"Hydro_pump","REAL ID15 Hydro_pump",0.0390220344870607,-0.0391519379270913,0.114465794053143,0.157657657657658,242,38
"Nuclear","REAL ID15 Nuclear",0.334857422799028,0.146859331142892,0.535165680337416,0.00102354145342886,79,36
"Solar PV","REAL ID15 Solar PV",0.0360430040251271,-0.00275735666807164,0.0770936394824241,0.0315706393054459,242,38
"Wind","REAL ID15 Wind",0.235149982174377,0.182632514023899,0.289083380292002,0.000580383052814858,242,38
"CCGT","REAL DA15 CCGT",-0.0678668170766412,-0.0951521245027654,-0.038471752726746,0.000524658971668416,151,40
"Hydro","REAL DA15 Hydro",-0.0331925995583782,-0.0788642191909326,0.0182720398028741,0.0906801007556675,151,40
"Hydro_pump","REAL DA15 Hydro_pump",-0.158724053599231,-0.28072829359099,-0.0515155375867713,0.002,151,40
"Nuclear","REAL DA15 Nuclear",0.277955096081828,0.0318689649013872,0.468655850682638,0.0133060388945752,151,38
"Solar PV","REAL DA15 Solar PV",-0.0856310909997282,-0.14758015607583,-0.0153500784352343,0.00710900473933649,151,40
"Wind","REAL DA15 Wind",-0.102790585646418,-0.197407739568539,-0.0102169953161772,0.0141915864166244,151,40
"CCGT","PLB24 DA15 CCGT",0.151317834884983,0.106251362727314,0.219189613325206,0.000502008032128514,131,37
"Hydro","PLB24 DA15 Hydro",0.0590007889896228,0.00659422391289829,0.10324077125681,0.0180090045022511,131,37
"Hydro_pump","PLB24 DA15 Hydro_pump",-0.0455818600877634,-0.101069529299007,0.00889515418790143,0.0516808830908179,131,37
"Nuclear","PLB24 DA15 Nuclear",0.194919260736979,-0.231898797440283,0.506239574726255,0.177588794397199,69,10
"Solar PV","PLB24 DA15 Solar PV",0.0162613085396541,-0.0796333408949591,0.122693863064224,0.380736258194655,131,37
"Wind","PLB24 DA15 Wind",0.157798326896663,0.0127551803521299,0.281522661075419,0.0157121135326913,131,37
