"tag","predictor","inc_prob","mean_cond","mean_uncond"
"ID15_IDA_price","(Intercept)",0,NA,0
"ID15_IDA_price","wind_gwh",1,-0.508948933598566,-0.508948933598566
"ID15_IDA_price","solar_gwh",0.9395,-0.224022202700618,-0.210468859437231
"ID15_IDA_price","gas_eur",0.0145,0.124113160180407,0.00179964082261585
"ID15_IDA_price","wind_x_2023",0.005,-0.00679787573228668,-3.39893786614331e-05
"ID15_IDA_price","solar_x_2023",0.2695,0.200069714969018,0.0539187881841502
"ID15_IDA_price","wind_x_2024",0.005,0.0134201449868909,6.71007249344549e-05
"ID15_IDA_price","solar_x_2024",0.2845,-0.234504164127744,-0.0667164346943438
"ID15_IDA_price","wind_x_2025",0.008,-0.023504461138514,-0.000188035689108114
"ID15_IDA_price","solar_x_2025",0.0205,-0.0606187736902238,-0.00124268486064963
"ID15_DA_price","(Intercept)",0,NA,0
"ID15_DA_price","wind_gwh",1,-0.52493587443794,-0.52493587443794
"ID15_DA_price","solar_gwh",0.645,-0.224326677334069,-0.144690706880475
"ID15_DA_price","gas_eur",0.0445,-0.0371009812085573,-0.00165099366378071
"ID15_DA_price","wind_x_2023",0.005,-0.0037034738321104,-1.85173691605483e-05
"ID15_DA_price","solar_x_2023",0.4765,0.175530357343354,0.0836402152741083
"ID15_DA_price","wind_x_2024",0.005,-0.0046563632484014,-2.32818162420086e-05
"ID15_DA_price","solar_x_2024",0.52,-0.291695348371705,-0.151681581153287
"ID15_DA_price","wind_x_2025",0.0065,-0.0232057623561963,-0.000150837455315277
"ID15_DA_price","solar_x_2025",0.0375,0.0400187666862018,0.0015007037507326
"DA15_IDA_price","(Intercept)",0,NA,0
"DA15_IDA_price","wind_gwh",1,-0.486396862742265,-0.486396862742265
"DA15_IDA_price","solar_gwh",0.882,-0.234984302345291,-0.207256154668546
"DA15_IDA_price","gas_eur",0.0195,0.11427087681421,0.00222828209787703
"DA15_IDA_price","wind_x_2023",0.007,-0.037280407264781,-0.000260962850853464
"DA15_IDA_price","solar_x_2023",0.0165,0.00630169500255725,0.000103977967542195
"DA15_IDA_price","wind_x_2024",0.004,0.00643309814071696,2.57323925628675e-05
"DA15_IDA_price","solar_x_2024",0.279,-0.230970513565686,-0.0644407732848253
"DA15_IDA_price","wind_x_2025",0.019,-0.0292796459086194,-0.000556313272263766
"DA15_IDA_price","solar_x_2025",0.1415,-0.267344955017864,-0.037829311135028
"DA15_DA_price","(Intercept)",0,NA,0
"DA15_DA_price","wind_gwh",1,-0.510970334597562,-0.510970334597562
"DA15_DA_price","solar_gwh",0.908,-0.218840154293532,-0.198706860098527
"DA15_DA_price","gas_eur",0.014,0.106100227747836,0.00148540318846968
"DA15_DA_price","wind_x_2023",0.003,0.00258589700031197,7.75769100093569e-06
"DA15_DA_price","solar_x_2023",0.012,0.0473168780231891,0.000567802536278259
"DA15_DA_price","wind_x_2024",0.0065,0.0338063465881216,0.00021974125282279
"DA15_DA_price","solar_x_2024",0.273,-0.177582519523235,-0.0484800278298419
"DA15_DA_price","wind_x_2025",0.005,-0.0148645923250469,-7.43229616252332e-05
"DA15_DA_price","solar_x_2025",0.106,-0.268447493910872,-0.0284554343545519
