"reform","outcome_family","outcome","side","eff","lo","hi","p","n_pre","n_post","n_cov"
"ID15","cleared_gwh","q_ccgt_gwh_da","real",9.02518738232069,-52.6125171538335,66.3560216907323,0.391941391941392,780,15,9
"ID15","cleared_gwh","q_ccgt_gwh_da","placebo",1.49221157996751,-17.1063698599732,19.7813731054157,0.421212121212121,437,28,7
"DA15","cleared_gwh","q_ccgt_gwh_da","real",33.6946539089189,-52.6556618087856,125.758943639064,0.227189781021898,900,31,9
"DA15","cleared_gwh","q_ccgt_gwh_da","placebo",-4.39838010304848,-73.1998195711362,69.268915081434,0.46969696969697,618,40,7
"ID15","cleared_gwh","q_hydro_gwh_da","real",-3.74915829590964,-33.2209677392431,26.0319453894278,0.396153846153846,870,40,9
"ID15","cleared_gwh","q_hydro_gwh_da","placebo",25.2849205587346,21.708265890502,28.7433347171227,0.000527148128624143,505,40,7
"DA15","cleared_gwh","q_hydro_gwh_da","real",10.9547120879978,-16.9120397409009,39.3101606920803,0.220555555555556,1066,40,9
"DA15","cleared_gwh","q_hydro_gwh_da","placebo",6.02971912029396,-20.8018542742413,33.8108751635316,0.339111592632719,701,40,7
"ID15","cleared_gwh","q_hydro_pump_gwh_da","real",-0.980419842518033,-4.44176662884772,2.34403916647293,0.288297872340426,869,40,9
"ID15","cleared_gwh","q_hydro_pump_gwh_da","placebo",-1.5169342630523,-3.84480697264978,0.93678354695339,0.102217414818821,504,40,7
"DA15","cleared_gwh","q_hydro_pump_gwh_da","real",2.73274038456555,-1.23727244335557,6.83484566535611,0.0809935205183585,1065,40,9
"DA15","cleared_gwh","q_hydro_pump_gwh_da","placebo",-1.51650011048162,-3.52236228170017,0.534103496041711,0.0816455696202532,700,40,7
"ID15","cleared_gwh","q_wind_gwh_da","real",2.98371432176054,-14.7595021736212,20.0534082934614,0.373646209386282,870,40,9
"ID15","cleared_gwh","q_wind_gwh_da","placebo",7.25283444552903,-7.00583452829981,21.5052390313108,0.14924506387921,505,40,7
"DA15","cleared_gwh","q_wind_gwh_da","real",1.79066271374259,-16.9245839179368,20.7346354816636,0.433497536945813,1066,40,9
"DA15","cleared_gwh","q_wind_gwh_da","placebo",-2.52788308003693,-17.402416507916,12.8812166753706,0.380820399113082,701,40,7
"ID15","cleared_gwh","q_solar_gwh_da","real",6.82986693807094,0.345113472858677,13.2049003322697,0.0205441421432537,870,40,9
"ID15","cleared_gwh","q_solar_gwh_da","placebo",9.13087750896774,5.55256596973208,12.6678909926591,0.000541711809317443,505,40,7
"DA15","cleared_gwh","q_solar_gwh_da","real",-1.1115857847488,-8.70191527310179,6.71114845900208,0.376050420168067,1066,40,9
"DA15","cleared_gwh","q_solar_gwh_da","placebo",-0.817272496403788,-6.33815577933797,5.15645760472686,0.391328515842135,701,40,7
