cell,outcome,crit_pre,crit_post,flat_pre,flat_post,did,n
DA15 DA CCGT pooled,sigma_p,15.041503656752717,10.5,1.4913822382832238,0.2468150792303175,-3.2969364976998103,304812
DA15 DA CCGT pooled,alpha,83.43108108108108,106.12999999999998,102.28,104.73,20.248918918918903,304812
DA15 DA CCGT pooled,n_eff,2.162057877813505,2.162057877813505,1.9801980198019802,1.6412961567445365,0.33890186305744363,304812
DA15 IDA1 CCGT,sigma_p,4.999147548308394,3.9999999999997087,5.58865819293213,4.38757113185006,0.20193951277338495,174878
DA15 IDA1 CCGT,alpha,95.56145877877623,89.78567302733366,105.70599821348813,89.82790697674419,10.102305485301372,174878
DA15 IDA1 CCGT,n_eff,4.871886120996441,4.642357300904855,4.992322456813819,4.741935483870968,0.020858152851265466,174878
DA15 IDA2 CCGT,sigma_p,4.947015514185422,5.465121436738697,5.11703665107804,5.658066837794104,-0.022924264162789143,202858
DA15 IDA2 CCGT,alpha,92.04451798221451,88.7186682577566,96.0170731707317,89.2480531453362,3.443170300937595,202858
DA15 IDA2 CCGT,n_eff,3.5277450264817625,4.373801916932908,2.9999906250292967,4.646836029891326,-0.8007885144108844,202858
DA15 IDA3 CCGT,sigma_p,,,,,,99784
DA15 IDA3 CCGT,alpha,,,,,,99784
DA15 IDA3 CCGT,n_eff,,,,,,99784
