tech,spec,n,DiD,se,t
CCGT,baseline,2646,1547.9563247213373,420.4135003236248,3.6819852919322416
CCGT,fourier_SA,2646,-343.0949947014451,1140.9577312253045,-0.30070789242383794
Hydro_run,baseline,6440,199.02736330626794,39.36320155517261,5.056178243715908
Hydro_run,fourier_SA,6440,90.65644383756444,111.43327356976805,0.8135491396185602
Hydro_pump,baseline,5246,451.56232192069,52.97324299098037,8.524347319977682
Hydro_pump,fourier_SA,5246,482.4150941199623,167.95090485710216,2.872357815103265
Hydro_RE,baseline,6440,21.776062252614793,4.179617568702783,5.2100609432966305
Hydro_RE,fourier_SA,6440,-16.581415140302852,10.932901613634918,-1.5166527355943107
Wind,baseline,6440,73.9764822088764,260.09665795600466,0.28441919550304073
Wind,fourier_SA,6440,-174.02952971681952,1066.8864955449344,-0.16311906697059683
Solar_PV,baseline,5894,-3281.8287853432703,157.2281663612279,-20.873033511078088
Solar_PV,fourier_SA,5894,729.5653463490307,259.98098966561156,2.806225744764647
Solar_thermal,baseline,6440,-233.5025938739418,12.343813754384591,-18.916568130412724
Solar_thermal,fourier_SA,6440,68.62654918245971,38.57400917465083,1.779087801626752
Nuclear,baseline,6440,-153.5784667346161,68.40306201833103,-2.2451987119152546
Nuclear,fourier_SA,6440,167.79845603741705,245.02072968240654,0.6848337128655023
Coal_other_thermal,baseline,6440,60.41157773256418,10.29480968262253,5.868158770777272
Coal_other_thermal,fourier_SA,6440,0.6533176302909851,26.482500291444627,0.024669786579858712
Biomass_RE,baseline,6440,10.932328721692102,2.22550157893768,4.912298793744525
Biomass_RE,fourier_SA,6440,2.3566875644028187,8.652061364222051,0.2723845180003205
