market,outcome,multi_share,did_full,t_full,n_full,did_single,t_single,n_single
ID15 DA CCGT,sigma_p,0.0,3.3959,7.38,35260,3.3959,7.38,35260
ID15 DA CCGT,hhi,0.0,-0.1426,-3.62,35260,-0.1426,-3.62,35260
DA15 DA CCGT,sigma_p,0.0,1.386,9.75,163615,1.386,9.75,163615
DA15 DA CCGT,hhi,0.0,-0.164,-13.53,163615,-0.164,-13.53,163615
ID15 IDA CCGT,sigma_p,0.36,1.0169,2.06,36222,0.2934,0.76,23191
ID15 IDA CCGT,hhi,0.36,-0.0772,-1.82,36222,-0.0225,-1.02,23191
ID15 IDA Hydro,sigma_p,0.142,0.1554,0.64,62041,-0.0362,-0.15,53229
ID15 IDA Hydro,hhi,0.142,-0.0227,-1.69,62041,-0.0095,-0.79,53229
ID15 IDA Hydro_pump,sigma_p,0.12,-0.7332,-3.69,16905,-0.9975,-4.98,14871
ID15 IDA Hydro_pump,hhi,0.12,0.0242,1.23,16905,0.0537,2.9,14871
