"tag","window","spec","eff","se","p","n","n_post"
"ID15 IDA","40d","base (month + DOW)",-31.7254829058438,8.15630267961961,0.000107864646856933,910,40
"ID15 IDA","40d","+ year-by-renew (per year)",-45.8144692652763,9.58425737548887,2.0516679373064e-06,910,40
"ID15 IDA","40d","+ year-by-renew (2024+25 pooled)",-38.726564162039,7.29472048437263,1.39644198834749e-07,910,40
"ID15 IDA","90d","base (month + DOW)",-36.5625743515285,6.1990367333782,5.13055686246662e-09,959,89
"ID15 IDA","90d","+ year-by-renew (per year)",-52.5512478000553,9.49519239035599,4.05904642472519e-08,959,89
"ID15 IDA","90d","+ year-by-renew (2024+25 pooled)",-42.335078869833,6.93668370435172,1.5243803029357e-09,959,89
"ID15 IDA","180d","base (month + DOW)",-25.2351098309002,4.67608266514933,8.43110772473373e-08,1049,179
"ID15 IDA","180d","+ year-by-renew (per year)",-54.3331553653133,9.39953114871692,9.89651013203338e-09,1049,179
"ID15 IDA","180d","+ year-by-renew (2024+25 pooled)",-29.9574122069202,6.70192328155698,8.69697422393571e-06,1049,179
"ID15 IDA","196d","base (month + DOW)",-24.7586302220837,4.42679648684663,2.85169194031466e-08,1065,195
"ID15 IDA","196d","+ year-by-renew (per year)",-53.2131224535493,9.17254709438792,8.73332592479188e-09,1065,195
"ID15 IDA","196d","+ year-by-renew (2024+25 pooled)",-29.8996168025625,6.64055510365271,7.4732205334732e-06,1065,195
"ID15 DA cross","40d","base (month + DOW)",-32.8043942971524,8.60377258950168,0.000146897479554129,910,40
"ID15 DA cross","40d","+ year-by-renew (per year)",-46.7261465650037,9.75284335457448,1.94644716919234e-06,910,40
"ID15 DA cross","40d","+ year-by-renew (2024+25 pooled)",-38.6585618818031,7.51954022665872,3.36475332070415e-07,910,40
"ID15 DA cross","90d","base (month + DOW)",-37.5277483316606,6.48051394541402,9.54867342331862e-09,960,90
"ID15 DA cross","90d","+ year-by-renew (per year)",-53.321959576234,9.49808766026768,2.60926215616706e-08,960,90
"ID15 DA cross","90d","+ year-by-renew (2024+25 pooled)",-42.1779998427054,7.05385035700311,3.18587736693134e-09,960,90
"ID15 DA cross","180d","base (month + DOW)",-25.7942659519946,4.76600665424396,7.74968658106307e-08,1050,180
"ID15 DA cross","180d","+ year-by-renew (per year)",-54.7176687976108,9.37516849295896,7.15640029602858e-09,1050,180
"ID15 DA cross","180d","+ year-by-renew (2024+25 pooled)",-29.5010079880528,6.73137886945699,1.29362331514266e-05,1050,180
"ID15 DA cross","196d","base (month + DOW)",-25.2041024121701,4.51968458460717,3.12427672493025e-08,1066,196
"ID15 DA cross","196d","+ year-by-renew (per year)",-53.0833744122185,9.15711559142465,8.95531087992998e-09,1066,196
"ID15 DA cross","196d","+ year-by-renew (2024+25 pooled)",-29.3521545725995,6.67736661163962,1.21720760090222e-05,1066,196
