"tag","spec","eff","se","p","n"
"ID15 IDA","Spec 1: base + month FE + DOW FE",-31.7254829058438,8.15630267961961,0.000107864646856933,910
"ID15 IDA","Spec 2: + linear time trend",-23.6866525225604,8.56275767934401,0.00578853716726945,910
"ID15 IDA","Spec 3: + year-by-renewable (per year)",-45.8144692652763,9.58425737548887,2.0516679373064e-06,910
"ID15 IDA","Spec 4: + year-by-renewable (2024+ pooled)",-38.726564162039,7.29472048437263,1.39644198834749e-07,910
"ID15 IDA","Spec 5: + quadratic time trend",-53.1194257054708,6.83566169096249,2.16417597147565e-14,910
"ID15 DA cross","Spec 1: base + month FE + DOW FE",-32.8043942971524,8.60377258950168,0.000146897479554129,910
"ID15 DA cross","Spec 2: + linear time trend",-23.2123918979146,8.78705341188176,0.00839535321827564,910
"ID15 DA cross","Spec 3: + year-by-renewable (per year)",-46.7261465650037,9.75284335457448,1.94644716919234e-06,910
"ID15 DA cross","Spec 4: + year-by-renewable (2024+ pooled)",-38.6585618818031,7.51954022665872,3.36475332070415e-07,910
"ID15 DA cross","Spec 5: + quadratic time trend",-53.1602063541965,7.0268801358414,9.72599127213058e-14,910
"DA15 DA","Spec 1: base + month FE + DOW FE",-8.2935709850156,5.29781444353024,0.117751187460895,1158
"DA15 DA","Spec 2: + linear time trend",8.26304599107144,7.25480261511123,0.254953499867758,1158
"DA15 DA","Spec 3: + year-by-renewable (per year)",-8.59088711974927,8.048093746711,0.285999709803428,1158
"DA15 DA","Spec 4: + year-by-renewable (2024+ pooled)",-4.5578211597421,7.65699186942186,0.551795734805498,1158
"DA15 DA","Spec 5: + quadratic time trend",-18.8682331206296,9.2006360092991,0.0405212354124782,1158
"DA15 IDA cross","Spec 1: base + month FE + DOW FE",-8.41740838002925,5.21479683222296,0.106775173589772,1157
"DA15 IDA cross","Spec 2: + linear time trend",6.89498404455213,7.13524184623166,0.334086108408552,1157
"DA15 IDA cross","Spec 3: + year-by-renewable (per year)",-10.0190844791994,7.89376363693987,0.204617117753372,1157
