"tag","spec","eff","se","p","n"
"ID15 IDA hourly","Spec 1h: base + hour-of-day + month + DOW",-33.5725878863156,7.92670633037825,2.29105795507174e-05,21810
"ID15 IDA hourly","Spec 2h: + linear time trend",-25.1337397388168,8.29761869110326,0.002456275457036,21810
"ID15 IDA hourly","Spec 3h: + year-by-renew (per year)",-40.4179542893109,7.53891676612078,8.3493842803166e-08,21810
"ID15 IDA hourly","Spec 4h: + year-by-renew (2024+ pooled)",-30.0732618979097,7.52954990333827,6.51726271945389e-05,21810
"ID15 DA hourly","Spec 1h: base + hour-of-day + month + DOW",-33.6398524050613,8.15500913077033,3.72024491837923e-05,21810
"ID15 DA hourly","Spec 2h: + linear time trend",-23.3101548641166,8.35820022533616,0.00529339036030453,21810
"ID15 DA hourly","Spec 3h: + year-by-renew (per year)",-39.0269846420513,7.66089183120979,3.52931313146083e-07,21810
"ID15 DA hourly","Spec 4h: + year-by-renew (2024+ pooled)",-28.7349376664192,7.62843132212205,0.000165774785555205,21810
"DA15 DA hourly","Spec 1h: base + hour-of-day + month + DOW",-10.31256805279,4.77439378448108,0.0307832017092157,27762
"DA15 DA hourly","Spec 2h: + linear time trend",8.3348030101626,6.86555803217595,0.224757202973989,27762
"DA15 DA hourly","Spec 3h: + year-by-renew (per year)",-3.01983632508187,7.42782721826561,0.68433640820597,27762
"DA15 DA hourly","Spec 4h: + year-by-renew (2024+ pooled)",2.93109066761946,7.05152624529726,0.677656505035103,27762
"DA15 IDA hourly","Spec 1h: base + hour-of-day + month + DOW",-10.2048310750483,4.69816485036587,0.0298574278266694,27726
"DA15 IDA hourly","Spec 2h: + linear time trend",7.19232245169462,6.79535666955494,0.289874512662738,27726
"DA15 IDA hourly","Spec 3h: + year-by-renew (per year)",-3.99378946112093,7.39348766352352,0.589079554969747,27726
"DA15 IDA hourly","Spec 4h: + year-by-renew (2024+ pooled)",1.73775500847731,7.01427568667038,0.804333188249782,27726
