"tag","year_struct","hour","eff","se","p","n"
"ID15 IDA per-hour","pooled",0,-36.4461381867698,9.2163100731568,8.28339566278837e-05,909
"ID15 IDA per-hour","pooled",1,-35.3818258964927,8.42262375906925,2.9300234654728e-05,909
"ID15 IDA per-hour","pooled",2,-33.3161851547128,8.68788594312136,0.00013464343849446,906
"ID15 IDA per-hour","pooled",3,-32.0298725411531,7.99972659113489,6.75578535726525e-05,909
"ID15 IDA per-hour","pooled",4,-34.3249852964226,8.2777158768503,3.69920011629734e-05,909
"ID15 IDA per-hour","pooled",5,-37.7412017420587,8.98731665128701,2.9481339634584e-05,909
"ID15 IDA per-hour","pooled",6,-36.7101042368136,9.10300514676097,5.99002794767357e-05,909
"ID15 IDA per-hour","pooled",7,-35.0219758684718,8.76533209526408,6.99427633598197e-05,909
"ID15 IDA per-hour","pooled",8,-48.6273112385592,9.88236334152739,1.02927775078188e-06,909
"ID15 IDA per-hour","pooled",9,-48.9036565162789,9.16943198934406,1.22600807589307e-07,909
"ID15 IDA per-hour","pooled",10,-47.5180072720653,8.85472823024712,1.02718329109935e-07,909
"ID15 IDA per-hour","pooled",11,-45.127557523614,8.8925789317319,4.73255225696304e-07,909
"ID15 IDA per-hour","pooled",12,-40.7624747153437,8.56928733329878,2.29683175397594e-06,909
"ID15 IDA per-hour","pooled",13,-36.0065723233195,8.39599198512966,1.99697640124412e-05,909
"ID15 IDA per-hour","pooled",14,-32.858283675244,8.14071232505406,5.90189300731824e-05,909
"ID15 IDA per-hour","pooled",15,-31.4456455229326,7.39645300092642,2.35035189307156e-05,909
"ID15 IDA per-hour","pooled",16,-25.6397763445787,7.169868977229,0.000367794711093904,909
"ID15 IDA per-hour","pooled",17,-27.1186510378081,7.67663013591061,0.000432806212248491,909
"ID15 IDA per-hour","pooled",18,-40.8210160927762,8.30205673373831,1.04806888751174e-06,909
"ID15 IDA per-hour","pooled",19,-39.9143284608664,9.84161284549282,5.4414897662131e-05,909
"ID15 IDA per-hour","pooled",20,-26.654437875908,9.29342970785763,0.00422799129810807,909
"ID15 IDA per-hour","pooled",21,-24.5196269647096,8.93777949330898,0.00620459736517669,909
"ID15 IDA per-hour","pooled",22,-27.2780597844883,9.2323863359806,0.00321393478927612,909
"ID15 IDA per-hour","pooled",23,-27.7663412870645,9.0232351908537,0.00215429367470836,906
"ID15 DA per-hour","pooled",0,-30.3232812763806,9.43704940097014,0.0013602058765519,909
"ID15 DA per-hour","pooled",1,-30.6290936137522,8.71971226538926,0.000466230950095292,909
"ID15 DA per-hour","pooled",2,-29.5242403897295,8.90779418743228,0.000955871604582355,906
"ID15 DA per-hour","pooled",3,-29.6891540547708,8.31256240053603,0.000374002938641731,909
"ID15 DA per-hour","pooled",4,-32.4699667274428,8.42930563731623,0.000125619096757148,909
"ID15 DA per-hour","pooled",5,-35.889917734206,9.12742188314201,9.08099277053616e-05,909
"ID15 DA per-hour","pooled",6,-33.8625023724965,9.52888181073336,0.00040005882691692,909
"ID15 DA per-hour","pooled",7,-33.1016420283541,9.09266934518229,0.000287974919463366,909
"ID15 DA per-hour","pooled",8,-49.2560414083094,10.0116617816865,1.0331178694615e-06,909
"ID15 DA per-hour","pooled",9,-50.5411523560786,9.4953411452803,1.29732858763672e-07,909
"ID15 DA per-hour","pooled",10,-45.3834990848071,9.01781584501775,5.86355767187027e-07,909
"ID15 DA per-hour","pooled",11,-42.2014735937443,9.15272841697143,4.60364619156565e-06,909
"ID15 DA per-hour","pooled",12,-40.0481472948958,8.53824893374733,3.15807859678319e-06,909
"ID15 DA per-hour","pooled",13,-34.8110378121165,8.34287276899424,3.31026310549588e-05,909
"ID15 DA per-hour","pooled",14,-31.7753850371161,8.0763631602775,8.99707579231601e-05,909
"ID15 DA per-hour","pooled",15,-30.4564815092954,7.49567750852506,5.2718121482515e-05,909
"ID15 DA per-hour","pooled",16,-25.4750243786744,7.24361662343551,0.000458903873598151,909
"ID15 DA per-hour","pooled",17,-26.3055371878665,7.93349788901662,0.000951270453752756,909
"ID15 DA per-hour","pooled",18,-39.8552413809166,8.45163378831536,2.79912455266529e-06,909
"ID15 DA per-hour","pooled",19,-39.1246366031668,10.3573376830515,0.000169053323034944,909
"ID15 DA per-hour","pooled",20,-24.6648859234542,9.2847999234593,0.00803873659593956,909
"ID15 DA per-hour","pooled",21,-23.9573150199063,9.13296274843413,0.00886196082738595,909
"ID15 DA per-hour","pooled",22,-26.080905832141,9.88447177408277,0.00847233558046566,909
"ID15 DA per-hour","pooled",23,-27.4896209300313,9.18390812647974,0.00283760146831073,906
"DA15 DA per-hour","peryear",0,-1.02577098824629,8.76938869822908,0.906903240363033,1157
"DA15 DA per-hour","peryear",1,-2.83044939764844,8.71538220531835,0.745419302660199,1157
"DA15 DA per-hour","peryear",2,-4.58054205161541,8.40053787846467,0.585677492234249,1154
"DA15 DA per-hour","peryear",3,-3.73361924585418,8.45887000240545,0.659018813875988,1157
"DA15 DA per-hour","peryear",4,-1.83253494876449,8.59904502035934,0.831280356377607,1157
"DA15 DA per-hour","peryear",5,0.191084683016862,8.72964863504816,0.982540242396157,1157
"DA15 DA per-hour","peryear",6,-4.04592198163644,8.67824183152205,0.641152003159852,1157
"DA15 DA per-hour","peryear",7,-12.4106984382211,8.54447272173498,0.146645546894955,1157
"DA15 DA per-hour","peryear",8,-9.18570198680403,9.05950508628912,0.310833692107963,1157
"DA15 DA per-hour","peryear",9,-4.30950390006082,9.25990751101002,0.6417392809634,1157
"DA15 DA per-hour","peryear",10,-5.20333130626634,9.21147722872964,0.572271245578853,1157
"DA15 DA per-hour","peryear",11,-5.86555051828024,8.60487754992663,0.495597590506638,1157
"DA15 DA per-hour","peryear",12,-5.79034147715908,8.42084358072206,0.491833394099885,1157
"DA15 DA per-hour","peryear",13,-5.29524912919089,8.31947111913424,0.524587094308249,1157
"DA15 DA per-hour","peryear",14,-7.28235767728514,8.06177596472226,0.366549327563049,1157
"DA15 DA per-hour","peryear",15,-10.191412275926,7.87169445997196,0.195691786685025,1157
"DA15 DA per-hour","peryear",16,-19.6568632457248,8.58357531859817,0.0222020317792499,1157
"DA15 DA per-hour","peryear",17,-17.6093127385033,8.88070367612341,0.0476237999601433,1157
"DA15 DA per-hour","peryear",18,-14.0314749164139,8.77450478268414,0.110074265229701,1157
"DA15 DA per-hour","peryear",19,-6.41333034432644,8.53013149077898,0.452301568238726,1157
"DA15 DA per-hour","peryear",20,-5.30811590150887,8.18774141633619,0.516922630241821,1157
"DA15 DA per-hour","peryear",21,-3.63682132461755,8.01601702717669,0.650136132727952,1157
"DA15 DA per-hour","peryear",22,-6.45769119743611,8.12161786953573,0.426708795159808,1157
"DA15 DA per-hour","peryear",23,-5.55409874163505,8.37702825660999,0.507456511039423,1154
"DA15 IDA per-hour","peryear",0,-1.70772420461559,8.68699415323216,0.84418855374368,1155
"DA15 IDA per-hour","peryear",1,-3.33113088615091,8.4895828685524,0.694852733598757,1155
"DA15 IDA per-hour","peryear",2,-2.69479437733401,8.19212634335133,0.742255329946307,1152
"DA15 IDA per-hour","peryear",3,-3.02575994882109,8.23943733351402,0.713517249308807,1155
"DA15 IDA per-hour","peryear",4,-0.953114561972889,8.47223364690811,0.910448118661779,1155
"DA15 IDA per-hour","peryear",5,2.29094901214875,8.52412422863528,0.78816312378926,1155
"DA15 IDA per-hour","peryear",6,-3.92511151136907,8.58417119455726,0.647579632488574,1155
"DA15 IDA per-hour","peryear",7,-14.2553962718704,8.51112818881316,0.0942290426728652,1155
"DA15 IDA per-hour","peryear",8,-12.5950805492015,9.18557328122521,0.170591845557278,1155
"DA15 IDA per-hour","peryear",9,-5.21349511250014,9.09082404175829,0.56642760303305,1155
"DA15 IDA per-hour","peryear",10,-6.51969325769093,9.00606696347787,0.469263771755722,1155
"DA15 IDA per-hour","peryear",11,-7.82367510273303,8.32322344186695,0.347428706621292,1155
"DA15 IDA per-hour","peryear",12,-8.41278132332263,8.19194440440059,0.30466068944886,1156
"DA15 IDA per-hour","peryear",13,-7.46002035091544,8.23767453275641,0.36534230655258,1156
"DA15 IDA per-hour","peryear",14,-9.13327177159355,7.91967427817555,0.24905710858903,1156
"DA15 IDA per-hour","peryear",15,-11.0679811080763,7.66680276185085,0.149122653471908,1156
"DA15 IDA per-hour","peryear",16,-19.897238549289,8.49404181439988,0.019328654546538,1156
"DA15 IDA per-hour","peryear",17,-20.8262814126257,8.9017738520344,0.0194800904692802,1156
"DA15 IDA per-hour","peryear",18,-16.1714408466281,8.94398229915975,0.0708604395330894,1156
"DA15 IDA per-hour","peryear",19,-10.5572775109738,8.61518466313823,0.220670510778746,1156
"DA15 IDA per-hour","peryear",20,-9.73013131429452,8.2866019270548,0.240562822336485,1156
"DA15 IDA per-hour","peryear",21,-4.85745131166627,8.41108237608322,0.563712976332003,1156
"DA15 IDA per-hour","peryear",22,-7.87226912055409,8.3547429966596,0.346265824031135,1156
"DA15 IDA per-hour","peryear",23,-5.93055746470195,8.42363524989127,0.481555073072825,1153
