"tag","spec","eff","se","p","n"
"ID15 IDA (plb)","OLS daily --- base (month + DOW)",-48.8910221312291,7.9632452145853,1.63743595380024e-09,545
"ID15 IDA (plb)","OLS daily --- + year-by-renew (per year)",1.86016687300117,8.53961661198018,0.827648974229857,545
"ID15 IDA (plb)","OLS daily --- + year-by-renew (2024+25 pooled)",1.86016687300117,8.53961661198018,0.827648974229857,545
"ID15 IDA (plb)","OLS hourly --- base (hour + month + DOW)",-48.7542145470475,7.55685571142427,1.14555464645539e-10,13052
"ID15 IDA (plb)","OLS hourly --- + year-by-renew (per year)",-11.472266583448,7.74077005960924,0.13834922176576,13052
"ID15 IDA (plb)","OLS hourly --- + year-by-renew (2024+25 pooled)",-11.472266583448,7.74077005960924,0.13834922176576,13052
"ID15 DA cross (plb)","OLS daily --- base (month + DOW)",-50.3086237973975,8.26808958351517,2.25769298848087e-09,545
"ID15 DA cross (plb)","OLS daily --- + year-by-renew (per year)",1.15648724645005,7.83327108035382,0.882686035624313,545
"ID15 DA cross (plb)","OLS daily --- + year-by-renew (2024+25 pooled)",1.15648724645005,7.83327108035382,0.882686035624313,545
"ID15 DA cross (plb)","OLS hourly --- base (hour + month + DOW)",-49.1204126223559,7.76968303846305,2.6653208757165e-10,13052
"ID15 DA cross (plb)","OLS hourly --- + year-by-renew (per year)",-11.9686964032286,7.58291459836766,0.11450340093371,13052
"ID15 DA cross (plb)","OLS hourly --- + year-by-renew (2024+25 pooled)",-11.9686964032286,7.58291459836766,0.11450340093371,13052
"DA15 DA (plb)","OLS daily --- base (month + DOW)",10.1130901982445,7.41271155976339,0.172874317560172,793
"DA15 DA (plb)","OLS daily --- + year-by-renew (per year)",49.9135084531875,9.92462238116921,6.13727923489813e-07,793
"DA15 DA (plb)","OLS daily --- + year-by-renew (2024+25 pooled)",49.9135084531875,9.92462238116921,6.13727923489813e-07,793
"DA15 DA (plb)","OLS hourly --- base (hour + month + DOW)",8.94961240448829,6.88404144367612,0.193598924347151,19004
"DA15 DA (plb)","OLS hourly --- + year-by-renew (per year)",47.4778154573462,8.06259916983064,3.95940090168804e-09,19004
"DA15 DA (plb)","OLS hourly --- + year-by-renew (2024+25 pooled)",47.4778154573462,8.06259916983064,3.95940090168804e-09,19004
"DA15 IDA cross (plb)","OLS daily --- base (month + DOW)",12.0001607784726,7.57512005123152,0.113568620423603,793
"DA15 IDA cross (plb)","OLS daily --- + year-by-renew (per year)",49.7303020858968,9.95807112797904,7.33000638600568e-07,793
"DA15 IDA cross (plb)","OLS daily --- + year-by-renew (2024+25 pooled)",49.7303020858968,9.95807112797904,7.33000638600568e-07,793
"DA15 IDA cross (plb)","OLS hourly --- base (hour + month + DOW)",11.2604626435707,7.01372052898512,0.108402526874476,19004
"DA15 IDA cross (plb)","OLS hourly --- + year-by-renew (per year)",47.9706220536792,8.11231501046415,3.4105826162749e-09,19004
"DA15 IDA cross (plb)","OLS hourly --- + year-by-renew (2024+25 pooled)",47.9706220536792,8.11231501046415,3.4105826162749e-09,19004
