"tag","spec","eff_mwh_h","eff_gwh_d_eq","se","p","n"
"ID15 IDA (ccgt)","OLS hourly --- base (hour + month + DOW)",-434.179978018302,-10.4203194724392,102.857257747704,2.44001661412067e-05,21813
"ID15 IDA (ccgt)","OLS hourly --- + year-by-renew (per year)",-255.783913342892,-6.13881392022942,82.3432523186963,0.0018967964497901,21813
"ID15 IDA (ccgt)","OLS hourly --- + year-by-renew (2024+25 pooled)",-197.755003345195,-4.74612008028467,82.101266172827,0.0160189446887525,21813
"ID15 DA (ccgt)","OLS hourly --- base (hour + month + DOW)",-505.509989090621,-12.1322397381749,245.290771192472,0.0393282306995611,21813
"ID15 DA (ccgt)","OLS hourly --- + year-by-renew (per year)",192.21502188902,4.61316052533648,245.13673890734,0.432982059323884,21813
"ID15 DA (ccgt)","OLS hourly --- + year-by-renew (2024+25 pooled)",806.314454055585,19.351546897334,337.041808000495,0.0167503156668915,21813
"DA15 DA (ccgt)","OLS hourly --- base (hour + month + DOW)",-428.401129410858,-10.2816271058606,344.321393119902,0.213440275382203,27765
"DA15 DA (ccgt)","OLS hourly --- + year-by-renew (per year)",508.595083007432,12.2062819921784,400.805750927591,0.204476117208575,27765
"DA15 DA (ccgt)","OLS hourly --- + year-by-renew (2024+25 pooled)",780.704273551351,18.7369025652324,401.391378696733,0.0517856646736658,27765
"DA15 IDA (ccgt)","OLS hourly --- base (hour + month + DOW)",-51.94917972968,-1.24678031351232,48.9614827002421,0.288689431071323,27765
"DA15 IDA (ccgt)","OLS hourly --- + year-by-renew (per year)",110.642786133038,2.65542686719292,66.9885867627552,0.0986139405754451,27765
"DA15 IDA (ccgt)","OLS hourly --- + year-by-renew (2024+25 pooled)",124.571959246973,2.98972702192735,69.2738220675054,0.0721475705738249,27765
"ID15 IDA (hydro)","OLS hourly --- base (hour + month + DOW)",-219.566004848413,-5.26958411636191,67.2021976007372,0.00108768017121829,21813
"ID15 IDA (hydro)","OLS hourly --- + year-by-renew (per year)",-182.687423765359,-4.38449817036861,72.2873678960428,0.0115033594698056,21813
"ID15 IDA (hydro)","OLS hourly --- + year-by-renew (2024+25 pooled)",-218.370311474171,-5.2408874753801,73.4850209086368,0.00296546993285719,21813
"ID15 DA (hydro)","OLS hourly --- base (hour + month + DOW)",557.184466935452,13.3724272064508,271.051205965475,0.0398288573178017,21813
"ID15 DA (hydro)","OLS hourly --- + year-by-renew (per year)",-104.455654251959,-2.50693570204701,260.859504776765,0.688844657837162,21813
"ID15 DA (hydro)","OLS hourly --- + year-by-renew (2024+25 pooled)",-389.031906759627,-9.33676576223105,268.586278574574,0.147507610411023,21813
"DA15 DA (hydro)","OLS hourly --- base (hour + month + DOW)",473.728611981306,11.3694866875513,114.899175742116,3.75067635871072e-05,27765
"DA15 DA (hydro)","OLS hourly --- + year-by-renew (per year)",-313.980789646015,-7.53553895150436,121.604735317691,0.00982865884250021,27765
"DA15 DA (hydro)","OLS hourly --- + year-by-renew (2024+25 pooled)",-438.53457182006,-10.5248297236814,120.031089356862,0.000259158366857275,27765
"DA15 IDA (hydro)","OLS hourly --- base (hour + month + DOW)",-106.48920418245,-2.55574090037879,18.2752602871865,5.7070217759741e-09,27765
"DA15 IDA (hydro)","OLS hourly --- + year-by-renew (per year)",-5.55170919402541,-0.13324102065661,18.8562865283533,0.768437517031715,27765
"DA15 IDA (hydro)","OLS hourly --- + year-by-renew (2024+25 pooled)",-45.3026682907595,-1.08726403897823,19.2361234924778,0.0185254973462057,27765
"ID15 IDA (nuclear)","OLS hourly --- base (hour + month + DOW)",-9.85548025031797,-0.236531526007631,197.93910322867,0.960289820862532,21813
"ID15 IDA (nuclear)","OLS hourly --- + year-by-renew (per year)",218.151369800034,5.23563287520081,190.171601072749,0.251340896354842,21813
"ID15 IDA (nuclear)","OLS hourly --- + year-by-renew (2024+25 pooled)",19.8309274329263,0.475942258390232,195.464015677441,0.91918970196796,21813
"ID15 DA (nuclear)","OLS hourly --- base (hour + month + DOW)",2717.01000234554,65.208240056293,800.211357995877,0.000686594279445444,21813
"ID15 DA (nuclear)","OLS hourly --- + year-by-renew (per year)",532.769411588866,12.7864658781328,1021.74936908446,0.60207349161165,21813
"ID15 DA (nuclear)","OLS hourly --- + year-by-renew (2024+25 pooled)",177.446893132079,4.25872543516991,980.097244390441,0.856329786061176,21813
"DA15 DA (nuclear)","OLS hourly --- base (hour + month + DOW)",3345.92510138382,80.3022024332117,549.546136840217,1.15452136402256e-09,27765
"DA15 DA (nuclear)","OLS hourly --- + year-by-renew (per year)",1121.61992569224,26.9188782166137,597.492319189891,0.0604994986448644,27765
"DA15 DA (nuclear)","OLS hourly --- + year-by-renew (2024+25 pooled)",932.99148033231,22.3917955279755,574.101295219256,0.104145399441015,27765
"DA15 IDA (nuclear)","OLS hourly --- base (hour + month + DOW)",-193.075385590912,-4.63380925418188,68.0661642488021,0.00456320493718986,27765
"DA15 IDA (nuclear)","OLS hourly --- + year-by-renew (per year)",46.1405813555419,1.10737395253301,79.6030456289563,0.562166598208594,27765
"DA15 IDA (nuclear)","OLS hourly --- + year-by-renew (2024+25 pooled)",-59.3182312301968,-1.42363754952472,78.8669352828649,0.451978941979165,27765
"ID15 IDA (solar)","OLS hourly --- base (hour + month + DOW)",367.929452186566,8.8303068524776,38.5506185035751,1.5135209698715e-21,21813
"ID15 IDA (solar)","OLS hourly --- + year-by-renew (per year)",183.509264362228,4.40422234469348,30.0663803278744,1.05544879055227e-09,21813
"ID15 IDA (solar)","OLS hourly --- + year-by-renew (2024+25 pooled)",283.321053566211,6.79970528558906,29.0406393730828,1.9326979497789e-22,21813
"ID15 DA (solar)","OLS hourly --- base (hour + month + DOW)",771.26868535027,18.5104484484065,121.681012401359,2.36645173683283e-10,21813
"ID15 DA (solar)","OLS hourly --- + year-by-renew (per year)",-72.7596462716213,-1.74623151051891,108.817709746829,0.503733573923017,21813
"ID15 DA (solar)","OLS hourly --- + year-by-renew (2024+25 pooled)",134.354125197075,3.2244990047298,97.4563449457068,0.168029727683177,21813
"DA15 DA (solar)","OLS hourly --- base (hour + month + DOW)",1142.90209143802,27.4296501945125,69.3446764670139,9.70497962164557e-61,27765
"DA15 DA (solar)","OLS hourly --- + year-by-renew (per year)",243.113317711965,5.83471962508715,80.9059724835577,0.00265916900103361,27765
"DA15 DA (solar)","OLS hourly --- + year-by-renew (2024+25 pooled)",289.031033387106,6.93674480129054,78.8044266188253,0.000245199417337063,27765
"DA15 IDA (solar)","OLS hourly --- base (hour + month + DOW)",163.884978517779,3.93323948442669,20.1142616864921,3.86382948291118e-16,27765
"DA15 IDA (solar)","OLS hourly --- + year-by-renew (per year)",-67.2769988962826,-1.61464797351078,22.1184834110061,0.00235494098416498,27765
"DA15 IDA (solar)","OLS hourly --- + year-by-renew (2024+25 pooled)",-39.4709177746034,-0.947302026590483,24.8174360635542,0.111744571032141,27765
"ID15 IDA (wind)","OLS hourly --- base (hour + month + DOW)",86.5276156245133,2.07666277498832,58.3438565223107,0.138072147136574,21813
"ID15 IDA (wind)","OLS hourly --- + year-by-renew (per year)",131.869199595599,3.16486079029438,59.499276697674,0.0266801690698742,21813
"ID15 IDA (wind)","OLS hourly --- + year-by-renew (2024+25 pooled)",103.872906215159,2.49294974916382,58.791941060967,0.0772777229601356,21813
"ID15 DA (wind)","OLS hourly --- base (hour + month + DOW)",891.665450428564,21.3999708102855,248.819562189726,0.000339653602301376,21813
"ID15 DA (wind)","OLS hourly --- + year-by-renew (per year)",243.610975860239,5.84666342064572,251.857741830914,0.333426695360294,21813
"ID15 DA (wind)","OLS hourly --- + year-by-renew (2024+25 pooled)",212.232474390938,5.0935793853825,232.556609195047,0.361460092460364,21813
"DA15 DA (wind)","OLS hourly --- base (hour + month + DOW)",1116.66535622667,26.79996854944,155.060316769615,6.1075088201477e-13,27765
"DA15 DA (wind)","OLS hourly --- + year-by-renew (per year)",352.521662552536,8.46051990126088,193.676092370748,0.0687452769321016,27765
"DA15 DA (wind)","OLS hourly --- + year-by-renew (2024+25 pooled)",426.763454295071,10.2423229030817,177.444462227269,0.0161766035725132,27765
"DA15 IDA (wind)","OLS hourly --- base (hour + month + DOW)",115.520447614347,2.77249074274434,34.1207143165439,0.00071111038691139,27765
"DA15 IDA (wind)","OLS hourly --- + year-by-renew (per year)",74.1214186547356,1.77891404771365,43.5472377860572,0.0887492795995547,27765
"DA15 IDA (wind)","OLS hourly --- + year-by-renew (2024+25 pooled)",70.8519702398385,1.70044728575613,42.5280046769815,0.0957232418966908,27765
