"tag","spec","eff_mwh_h","eff_gwh_d_eq","se","p","n"
"ID15 DA (cogen)","id15_pooled",-159.773159656119,-3.83455583174686,116.013944020439,0.168467899254624,21813
"DA15 DA (cogen)","da15_peryear",203.962529975166,4.89510071940397,65.8575512143811,0.00195668094823178,27765
"ID15 IDA (cogen)","id15_pooled",-21.2131596942873,-0.509115832662896,18.4298577665815,0.249736098551295,21813
"DA15 IDA (cogen)","da15_peryear",52.8453838689163,1.26828921285399,21.2446385758467,0.0128713938139095,27765
"ID15 MIG (ccgt)","id15_pooled",-1004.06945740073,-24.0976669776176,325.340322567829,0.00202978177292232,21813
"DA15 MIG (ccgt)","da15_peryear",404.244873339767,9.7018769601544,373.233306924036,0.2787783630758,27765
"ID15 MIG (hydro)","id15_pooled",170.661595285458,4.095878286851,220.523822883176,0.439003139042535,21813
"DA15 MIG (hydro)","da15_peryear",-302.42445587878,-7.25818694109072,121.539164437995,0.0128417979874347,27765
"ID15 MIG (nuclear)","id15_pooled",-157.615965699135,-3.78278317677924,989.854362501737,0.873487987770096,21813
"DA15 MIG (nuclear)","da15_peryear",1096.54506263387,26.317081503213,592.091860219822,0.064038648626057,27765
"ID15 MIG (solar)","id15_pooled",148.966928369126,3.57520628085903,108.09681568546,0.168190275868004,21813
"DA15 MIG (solar)","da15_peryear",300.381571953786,7.20915772689086,76.3657007339833,8.39350014306193e-05,27765
"ID15 MIG (wind)","id15_pooled",-108.359568175777,-2.60062963621864,204.91198162444,0.596942438537108,21813
"DA15 MIG (wind)","da15_peryear",275.168381977662,6.60404116746389,183.398554567269,0.133526177147326,27765
"ID15 MIG (cogen)","id15_pooled",138.559999961832,3.32543999908397,112.347895124778,0.217472725847789,21813
"DA15 MIG (cogen)","da15_peryear",151.117146106249,3.62681150654998,68.1388229362463,0.0265776866795874,27765
