window,focal_firm,n_periods,b_mean,b_median,b_sd
post_DA15_DA,GE,12772,321.31,273.52,169.95
post_DA15_DA,GN,12772,330.05,281.65,173.33
post_DA15_DA,HC,12772,295.16,252.13,157.9
post_DA15_DA,IB,12772,284.98,231.1,160.79
post_DA15_IDA,GE,12868,202.05,176.91,108.0
post_DA15_IDA,GN,12868,186.81,159.12,107.97
post_DA15_IDA,HC,12868,180.94,159.68,92.76
post_DA15_IDA,IB,12868,168.32,155.49,73.21
post_ID15_DA,GE,959,404.34,427.06,204.27
post_ID15_DA,GN,959,429.93,464.98,213.52
post_ID15_DA,HC,959,371.7,391.51,193.51
post_ID15_DA,IB,959,388.5,420.66,197.76
post_ID15_IDA,GE,3644,214.09,164.24,140.93
post_ID15_IDA,GN,3644,212.34,165.73,141.73
post_ID15_IDA,HC,3644,193.1,146.7,128.95
post_ID15_IDA,IB,3644,179.65,148.83,102.64
pre_DA15_DA,GE,11376,255.17,197.98,154.76
pre_DA15_DA,GN,11376,266.06,201.33,164.8
pre_DA15_DA,HC,11376,231.18,171.11,154.12
pre_DA15_DA,IB,11376,229.88,156.14,159.83
pre_DA15_IDA,GE,14448,171.4,151.59,80.85
pre_DA15_IDA,GN,14448,159.36,136.94,82.66
pre_DA15_IDA,HC,14448,157.37,138.48,78.28
pre_DA15_IDA,IB,14448,149.3,135.48,63.87
pre_ID15_DA,GE,6673,209.08,173.7,122.67
pre_ID15_DA,GN,6673,214.61,176.86,129.5
pre_ID15_DA,HC,6673,185.55,146.86,127.03
pre_ID15_DA,IB,6673,179.85,137.07,123.98
pre_ID15_IDA,GE,5809,180.08,170.77,63.45
pre_ID15_IDA,GN,5809,172.95,162.8,62.86
pre_ID15_IDA,HC,5809,166.95,158.17,60.96
pre_ID15_IDA,IB,5809,155.69,149.93,50.67
