window,focal_firm,n,b_mean,q_total_mean,q_renew_mean,q_strat_mean,markup_mean,markup_median
post_DA15_DA,GE,12762,321.5,1359.54,0.78,1358.76,5.04,3.51
post_DA15_DA,GN,12769,330.11,860.11,148.9,711.21,2.78,0.22
post_DA15_DA,HC,12772,295.16,2986.09,393.62,2592.47,10.88,8.61
post_DA15_DA,IB,12772,284.98,1733.85,476.44,1257.41,5.92,2.59
post_DA15_IDA,GE,12820,202.46,258.68,0.0,258.68,1.38,1.02
post_DA15_IDA,GN,12868,186.81,312.03,27.99,284.04,1.92,0.53
post_DA15_IDA,HC,12868,180.94,461.2,62.1,399.1,2.79,0.99
post_DA15_IDA,IB,12868,168.32,495.95,184.61,311.34,1.93,0.95
post_ID15_DA,GE,959,404.34,2351.6,1.05,2350.55,8.83,5.22
post_ID15_DA,GN,959,429.93,644.29,77.68,566.61,2.4,0.59
post_ID15_DA,HC,959,371.7,3973.99,538.0,3435.99,16.74,9.66
post_ID15_DA,IB,959,388.5,2476.85,834.97,1641.88,7.5,3.47
post_ID15_IDA,GE,3644,214.09,433.97,0.0,433.97,2.39,1.22
post_ID15_IDA,GN,3644,212.34,145.48,19.71,125.77,1.07,0.35
post_ID15_IDA,HC,3644,193.1,391.88,77.64,314.23,3.17,1.11
post_ID15_IDA,IB,3644,179.65,572.14,356.07,216.06,1.42,0.62
pre_DA15_DA,GE,11337,255.54,1497.98,0.22,1497.76,6.85,4.81
pre_DA15_DA,GN,11376,266.06,659.23,52.04,607.19,3.16,0.57
pre_DA15_DA,HC,11376,231.18,2342.31,259.61,2082.7,13.33,8.96
pre_DA15_DA,IB,11376,229.88,1620.26,351.43,1268.83,8.05,4.39
pre_DA15_IDA,GE,14439,171.41,193.79,0.0,193.79,1.26,0.8
pre_DA15_IDA,GN,14448,159.36,307.86,12.9,294.96,2.26,0.48
pre_DA15_IDA,HC,14445,157.37,286.86,57.72,229.14,2.0,0.58
pre_DA15_IDA,IB,14445,149.32,382.51,158.85,223.65,1.81,0.73
pre_ID15_DA,GE,6639,209.35,1295.18,0.17,1295.01,6.85,4.97
pre_ID15_DA,GN,6673,214.61,743.74,59.5,684.25,3.86,0.8
pre_ID15_DA,HC,6673,185.55,2045.0,212.73,1832.27,13.66,9.83
pre_ID15_DA,IB,6673,179.85,1598.84,327.07,1271.77,9.26,5.88
pre_ID15_IDA,GE,5779,180.28,159.29,0.0,159.29,0.95,0.66
pre_ID15_IDA,GN,5809,172.95,203.89,8.9,194.99,1.23,0.53
pre_ID15_IDA,HC,5809,166.95,293.15,24.81,268.34,1.96,0.96
pre_ID15_IDA,IB,5808,155.72,334.82,113.48,221.34,1.61,0.53
