"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
1.285,1.285,13.0361806924613,-24.8518147518536,49.387495029226,1.285,1.285,1.285,-11.7511806924613,-48.102495029226,26.1368147518536,0,0,0,2024-07-13
1.3643,2.6493,14.3104031747005,-24.2061708428398,51.3997023494911,2.6493,2.6493,2.6493,-12.9461031747005,-50.0354023494911,25.5704708428398,0,0,0,2024-07-14
1.7232,4.3725,7.21304884775379,-32.0051410658254,47.0503066710804,4.3725,4.3725,4.3725,-5.48984884775379,-45.3271066710804,33.7283410658254,0,0,0,2024-07-15
9.3695,13.742,36.8207489398263,-2.13112467931749,74.6099289488789,13.742,13.742,13.742,-27.4512489398263,-65.2404289488789,11.5006246793175,0,0,0,2024-07-16
37.5214,51.2634,41.9469999699833,2.70009143219381,81.5518207822652,51.2634,51.2634,51.2634,-4.4255999699833,-44.0304207822652,34.8213085678062,0,0,0,2024-07-17
77.8554,129.1188,56.437666536966,18.6574258544711,94.8413908227172,129.1188,129.1188,129.1188,21.417733463034,-16.9859908227172,59.197974145529,0,0,0,2024-07-18
96.905,226.0238,55.6082220158683,16.1866006979751,94.2253955174211,226.0238,226.0238,226.0238,41.2967779841317,2.67960448257887,80.7183993020249,0,0,0,2024-07-19
6.98,233.0038,2.63781996386836,-36.4488480759529,42.4712686758073,233.0038,233.0038,233.0038,4.34218003613164,-35.4912686758073,43.4288480759529,0,0,0,2024-07-20
0.081,233.0848,-3.2747887616764,-40.989886624616,34.470716236715,233.0848,233.0848,233.0848,3.3557887616764,-34.389716236715,41.070886624616,0,0,0,2024-07-21
8.6801,241.7649,16.1381428671113,-22.0344032165211,53.2345136634925,241.7649,241.7649,241.7649,-7.45804286711134,-44.5544136634925,30.7145032165211,0,0,0,2024-07-22
30.0526,271.8175,29.3113863266179,-8.80535345542069,65.8244175446725,271.8175,271.8175,271.8175,0.741213673382063,-35.7718175446725,38.8579534554207,0,0,0,2024-07-23
57.3814,329.1989,33.4788882110388,-4.77782888476874,70.5896753107993,329.1989,329.1989,329.1989,23.9025117889612,-13.2082753107992,62.1592288847687,0,0,0,2024-07-24
34.1397,363.3386,36.577702747719,-2.5628362071307,75.985312064135,363.3386,363.3386,363.3386,-2.43800274771898,-41.845612064135,36.7025362071307,0,0,0,2024-07-25
37.4123,400.7509,44.6573468502885,5.26051616529825,82.2132270771727,400.7509,400.7509,400.7509,-7.24504685028847,-44.8009270771727,32.1517838347017,0,0,0,2024-07-26
28.4906,429.2415,15.3966024986464,-19.6703485700854,55.7848715125858,429.2415,429.2415,429.2415,13.0939975013536,-27.2942715125858,48.1609485700854,0,0,0,2024-07-27
9.666,438.9075,1.76485842798933,-35.8602922269535,40.4444536830529,438.9075,438.9075,438.9075,7.90114157201067,-30.7784536830529,45.5262922269535,0,0,0,2024-07-28
64.8024,503.7099,25.713746347708,-12.4557460016669,63.9210572297003,503.7099,503.7099,503.7099,39.088653652292,0.881342770299739,77.2581460016669,0,0,0,2024-07-29
77.5612,581.2711,22.1821727438227,-18.4467158822739,59.3181756195966,581.2711,581.2711,581.2711,55.3790272561774,18.2430243804034,96.0079158822739,0,0,0,2024-07-30
105.9938,687.2649,48.510903931935,10.9982242787265,86.4124245341376,687.2649,687.2649,687.2649,57.482896068065,19.5813754658625,94.9955757212736,0,0,0,2024-07-31
90.8329,778.0978,44.9526833942784,5.76053012864982,84.1928115499232,778.0978,778.0978,778.0978,45.8802166057215,6.64008845007676,85.0723698713501,0,0,0,2024-08-01
26.6055,804.7033,22.364524068033,-13.721411105244,59.4571185891405,804.7033,804.7033,804.7033,4.24097593196697,-32.8516185891405,40.326911105244,0,0,0,2024-08-02
14.7598,819.4631,13.3053568054457,-25.7794183838057,50.3755006499021,819.4631,819.4631,819.4631,1.45444319455429,-35.6157006499021,40.5392183838057,0,0,0,2024-08-03
21.2326,840.6957,20.6575270991918,-17.78488817303,58.5227559096699,840.6957,840.6957,840.6957,0.575072900808202,-37.29015590967,39.01748817303,0,0,0,2024-08-04
46.5311,887.2268,38.3318353086678,2.52454338696949,73.9399102976085,887.2268,887.2268,887.2268,8.19926469133218,-27.4088102976085,44.0065566130305,0,0,0,2024-08-05
53.6977,940.9245,34.9429396712324,-5.38122869286486,71.0590993257508,940.9245,940.9245,940.9245,18.7547603287676,-17.3613993257508,59.0789286928649,0,0,0,2024-08-06
13.5315,954.456,31.0475889879532,-6.93792790468443,69.162879527994,954.456,954.456,954.456,-17.5160889879532,-55.631379527994,20.4694279046844,0,0,0,2024-08-07
17.4804,971.9364,44.4345790387364,6.93841591023569,81.9329430190924,971.9364,971.9364,971.9364,-26.9541790387364,-64.4525430190924,10.5419840897643,0,0,0,2024-08-08
26.3543,998.2907,43.7113406509224,4.58610177590893,81.8348912982541,998.2907,998.2907,998.2907,-17.3570406509224,-55.4805912982541,21.7681982240911,0,0,0,2024-08-09
8.9164,1007.2071,10.8046562334361,-26.5108997520717,47.2560247459059,1007.2071,1007.2071,1007.2071,-1.88825623343612,-38.3396247459059,35.4272997520717,0,0,0,2024-08-10
11.8899,1019.097,7.38725546987559,-28.6770148629751,44.2632337077125,1019.097,1019.097,1019.097,4.50264453012441,-32.3733337077125,40.5669148629751,0,0,0,2024-08-11
24.405,1043.502,34.215797036144,-2.59659996142176,73.3669703433786,1043.502,1043.502,1043.502,-9.810797036144,-48.9619703433786,27.0015999614218,0,0,0,2024-08-12
13.3757,1056.8777,36.9191353962684,-1.10558950452826,74.7412990420906,1056.8777,1056.8777,1056.8777,-23.5434353962684,-61.3655990420906,14.4812895045283,0,0,0,2024-08-13
4.902,1061.7797,26.7270871691043,-10.1669528190356,63.3211858180681,1061.7797,1061.7797,1061.7797,-21.8250871691043,-58.4191858180681,15.0689528190356,0,0,0,2024-08-14
1.02,1062.7997,36.5218338538835,-1.0030993860529,73.8594720034868,1062.7997,1062.7997,1062.7997,-35.5018338538835,-72.8394720034868,2.0230993860529,0,0,0,2024-08-15
2.8808,1065.6805,42.7443128262984,3.70352446772561,82.3569176444927,1065.6805,1065.6805,1065.6805,-39.8635128262984,-79.4761176444927,-0.82272446772561,0,0,0,2024-08-16
1.908,1067.5885,17.3690819158037,-21.756740472092,54.96684175391,1067.5885,1067.5885,1067.5885,-15.4610819158037,-53.05884175391,23.664740472092,0,0,0,2024-08-17
0.485,1068.0735,4.29378227239674,-35.7941361393441,42.839225121154,1068.0735,1068.0735,1068.0735,-3.80878227239674,-42.354225121154,36.2791361393441,0,0,0,2024-08-18
10.4546,1078.5281,24.8927901255218,-12.9928136646666,62.4571810083702,1078.5281,1078.5281,1078.5281,-14.4381901255218,-52.0025810083702,23.4474136646666,0,0,0,2024-08-19
9.1128,1087.6409,29.5389292193822,-7.87572338066247,66.6180433915461,1087.6409,1087.6409,1087.6409,-20.4261292193822,-57.5052433915461,16.9885233806625,0,0,0,2024-08-20
15.9196,1103.5605,28.1738788615549,-9.2334697842161,67.1301579743313,1103.5605,1103.5605,1103.5605,-12.2542788615549,-51.2105579743313,25.1530697842161,0,0,0,2024-08-21
48.8727,1152.4332,58.4904775337975,20.409870687294,95.9591573002269,1152.4332,1152.4332,1152.4332,-9.61777753379751,-47.0864573002269,28.462829312706,0,0,0,2024-08-22
43.445,1195.8782,51.4082289801405,14.7815511349402,89.9382027784304,1195.8782,1195.8782,1195.8782,-7.96322898014053,-46.4932027784304,28.6634488650598,0,0,0,2024-08-23
6.2969,1202.1751,1.33713065602698,-36.1784533255189,40.5127798551449,1202.1751,1202.1751,1202.1751,4.95976934397303,-34.2158798551449,42.4753533255189,0,0,0,2024-08-24
0.6999,1202.875,-5.75518823347034,-42.4066045859075,33.5913203080801,1202.875,1202.875,1202.875,6.45508823347034,-32.8914203080801,43.1065045859075,0,0,0,2024-08-25
17.2993,1220.1743,29.3059365743676,-10.5239525157454,68.159504003094,1220.1743,1220.1743,1220.1743,-12.0066365743676,-50.860204003094,27.8232525157454,0,0,0,2024-08-26
68.2461,1288.4204,50.2041497037293,12.0863662189122,88.8681314889865,1288.4204,1288.4204,1288.4204,18.0419502962707,-20.6220314889866,56.1597337810878,0,0,0,2024-08-27
55.4229,1343.8433,39.7191145704733,0.561282443630851,78.5393335938584,1343.8433,1343.8433,1343.8433,15.7037854295267,-23.1164335938584,54.8616175563691,0,0,0,2024-08-28
79.202,1423.0453,39.271085324012,1.94311765089232,77.066027271264,1423.0453,1423.0453,1423.0453,39.930914675988,2.13597272873592,77.2588823491077,0,0,0,2024-08-29
78.8177,1501.863,36.9770561584021,-2.32405294700448,73.1414115204724,1501.863,1501.863,1501.863,41.8406438415979,5.67628847952764,81.1417529470045,0,0,0,2024-08-30
45.1817,1547.0447,17.5964785000185,-20.5323906855725,55.023734543524,1547.0447,1547.0447,1547.0447,27.5852214999816,-9.84203454352396,65.7140906855725,0,0,0,2024-08-31
48.1064,1595.1511,32.1853418669884,-6.23410528970413,71.1787540117782,1595.1511,1595.1511,1595.1511,15.9210581330116,-23.0723540117782,54.3405052897041,0,0,0,2024-09-01
63.93,1659.0811,33.386068804878,-6.34901097652188,70.0288050010804,1659.0811,1659.0811,1659.0811,30.543931195122,-6.09880500108044,70.2790109765219,0,0,0,2024-09-02
37.3239,1696.405,25.2562993009728,-14.0955298592695,63.3953338643859,1696.405,1696.405,1696.405,12.0676006990272,-26.0714338643859,51.4194298592694,0,0,0,2024-09-03
5.9786,1702.3836,21.4694977253482,-17.2836115547267,58.4684742161085,1702.3836,1702.3836,1702.3836,-15.4908977253482,-52.4898742161085,23.2622115547267,0,0,0,2024-09-04
21.1531,1723.5367,46.495999909825,8.59387950736402,83.155207994018,1723.5367,1723.5367,1723.5367,-25.342899909825,-62.002107994018,12.559220492636,0,0,0,2024-09-05
15.1763,1738.713,35.5965330603588,-3.39141942798981,74.6551991884324,1738.713,1738.713,1738.713,-20.4202330603588,-59.4788991884324,18.5677194279898,0,0,0,2024-09-06
14.5294,1753.2424,23.0515927570588,-12.6608019612632,61.8600769311122,1753.2424,1753.2424,1753.2424,-8.52219275705878,-47.3306769311122,27.1902019612632,0,0,0,2024-09-07
19.6443,1772.8867,15.6982170767382,-20.7064676313437,54.6405953250719,1772.8867,1772.8867,1772.8867,3.94608292326175,-34.9962953250719,40.3507676313436,0,0,0,2024-09-08
15.9708,1788.8575,22.5166288998146,-14.4346568479693,59.7477304428045,1788.8575,1788.8575,1788.8575,-6.54582889981464,-43.7769304428045,30.4054568479693,0,0,0,2024-09-09
6.3221,1795.1796,22.4473434142722,-15.0461624767172,58.7065878901004,1795.1796,1795.1796,1795.1796,-16.1252434142722,-52.3844878901004,21.3682624767172,0,0,0,2024-09-10
2.948,1798.1276,26.2025291330567,-10.7320975929036,63.7114055940553,1798.1276,1798.1276,1798.1276,-23.2545291330567,-60.7634055940553,13.6800975929036,0,0,0,2024-09-11
4.6722,1802.7998,24.5860792250521,-12.5162584710586,61.14550351442,1802.7998,1802.7998,1802.7998,-19.9138792250521,-56.47330351442,17.1884584710586,0,0,0,2024-09-12
1.405,1804.2048,5.1931287370759,-35.8449995306942,44.6269439629482,1804.2048,1804.2048,1804.2048,-3.78812873707589,-43.2219439629482,37.2499995306942,0,0,0,2024-09-13
0.515,1804.7198,4.38847405470573,-31.6026286091421,40.766082438399,1804.7198,1804.7198,1804.7198,-3.87347405470573,-40.251082438399,32.1176286091421,0,0,0,2024-09-14
0.475,1805.1948,-4.74923422063778,-42.1712278648702,33.0306887262806,1805.1948,1805.1948,1805.1948,5.22423422063779,-32.5556887262806,42.6462278648702,0,0,0,2024-09-15
0.26,1805.4548,-10.3546434918923,-48.0478492186835,28.9172619131781,1805.4548,1805.4548,1805.4548,10.6146434918923,-28.6572619131781,48.3078492186835,0,0,0,2024-09-16
0.595,1806.0498,-6.00758367063768,-46.7565875054896,34.7597339211277,1806.0498,1806.0498,1806.0498,6.60258367063768,-34.1647339211277,47.3515875054896,0,0,0,2024-09-17
20.5359,1826.5857,25.5752255156087,-12.5450033932231,62.5509951965184,1826.5857,1826.5857,1826.5857,-5.03932551560865,-42.0150951965184,33.0809033932231,0,0,0,2024-09-18
56.2498,1882.8355,51.5475843557231,12.6076003874483,88.8280102422897,1882.8355,1882.8355,1882.8355,4.70221564427689,-32.5782102422896,43.6421996125517,0,0,0,2024-09-19
72.6994,1955.5349,49.5166014271807,10.1853891777148,89.1937643161547,1955.5349,1955.5349,1955.5349,23.1827985728193,-16.4943643161547,62.5140108222852,0,0,0,2024-09-20
19.441,1974.9759,21.5664419800799,-16.2317631503235,61.0570385062129,1974.9759,1974.9759,1974.9759,-2.12544198007985,-41.6160385062129,35.6727631503235,0,0,0,2024-09-21
4.366,1979.3419,29.0163652721975,-9.07645125013964,65.8931072835181,1979.3419,1979.3419,1979.3419,-24.6503652721975,-61.5271072835181,13.4424512501396,0,0,0,2024-09-22
18.5031,1997.845,35.6169094660922,-5.17742584816718,74.7635748829882,1997.845,1997.845,1997.845,-17.1138094660922,-56.2604748829882,23.6805258481672,0,0,0,2024-09-23
12.1967,2010.0417,33.6951029688401,-5.94341282252669,72.4498537127341,2010.0417,2010.0417,2010.0417,-21.4984029688401,-60.2531537127341,18.1401128225267,0,0,0,2024-09-24
1.955,2011.9967,-3.12471795795043,-40.2655700267099,36.8526147314847,2011.9967,2011.9967,2011.9967,5.07971795795043,-34.8976147314847,42.2205700267099,0,0,0,2024-09-25
0.12,2012.1167,-15.1558606491374,-56.8795716464512,24.4997645831487,2012.1167,2012.1167,2012.1167,15.2758606491374,-24.3797645831487,56.9995716464512,0,0,0,2024-09-26
0.23,2012.3467,9.04034571494036,-30.701629008515,44.6601465615423,2012.3467,2012.3467,2012.3467,-8.81034571494036,-44.4301465615423,30.931629008515,0,0,0,2024-09-27
1.1182,2013.4649,14.3163898813008,-22.8721256245081,52.8028447181512,2013.4649,2013.4649,2013.4649,-13.1981898813008,-51.6846447181512,23.9903256245081,0,0,0,2024-09-28
0.35,2013.8149,6.06757825863379,-31.6368449907258,42.7510670567068,2013.8149,2013.8149,2013.8149,-5.71757825863379,-42.4010670567068,31.9868449907258,0,0,0,2024-09-29
20.6019,2034.4168,36.9219862103247,-2.44895070314057,76.4128273665306,2034.4168,2034.4168,2034.4168,-16.3200862103247,-55.8109273665306,23.0508507031406,0,0,0,2024-09-30
8.9756,2043.3924,28.1904955784771,-9.99026996518915,67.9662951450551,2062.60729557848,2024.42653003481,2102.38309514505,-19.2148955784771,-58.9906951450551,18.9658699651891,-19.2148955784771,-58.990695145055,18.9658699651891,2024-10-01
