"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
1.32,1.32,-0.902144915548117,-32.5036600147746,31.3986099514516,1.32,1.32,1.32,2.22214491554812,-30.0786099514516,33.8236600147746,0,0,0,2025-04-29
1.636,2.956,-17.3083841273132,-48.8409366226512,13.8363200989622,2.956,2.956,2.956,18.9443841273132,-12.2003200989622,50.4769366226512,0,0,0,2025-05-05
2.281,5.237,-4.47755840666258,-35.7113290708536,26.0874173931656,5.237,5.237,5.237,6.75855840666258,-23.8064173931656,37.9923290708536,0,0,0,2025-05-06
0.97,6.207,5.52765699567247,-23.9468853224091,34.4539443677058,6.207,6.207,6.207,-4.55765699567247,-33.4839443677058,24.9168853224091,0,0,0,2025-05-07
1.55,7.757,26.7711454072975,-3.99770237631708,58.1658462487308,7.757,7.757,7.757,-25.2211454072975,-56.6158462487308,5.54770237631708,0,0,0,2025-05-08
0.1,7.857,13.0031108953085,-17.9009698841655,41.8503082048913,7.857,7.857,7.857,-12.9031108953085,-41.7503082048913,18.0009698841655,0,0,0,2025-05-09
0.47,8.327,-7.7473116340237,-39.0225632319217,23.1395092106701,8.327,8.327,8.327,8.2173116340237,-22.6695092106701,39.4925632319217,0,0,0,2025-05-10
0.835,9.162,-15.8121668518447,-47.1418516304629,16.3314406410261,9.162,9.162,9.162,16.6471668518447,-15.4964406410261,47.9768516304629,0,0,0,2025-05-11
2.2074,11.3694,15.6394745371796,-13.63413699976,46.2521842254453,11.3694,11.3694,11.3694,-13.4320745371796,-44.0447842254453,15.84153699976,0,0,0,2025-05-12
1.5074,12.8768,2.36237498765523,-27.1414120460167,31.4143316555699,12.8768,12.8768,12.8768,-0.854974987655229,-29.9069316555699,28.6488120460167,0,0,0,2025-05-17
0.155,13.0318,-25.0803791537839,-56.2493628265729,4.88295871444368,13.0318,13.0318,13.0318,25.2353791537839,-4.72795871444368,56.4043628265729,0,0,0,2025-05-18
0.9,13.9318,-3.31722718273801,-32.6642559447639,26.7922981686317,13.9318,13.9318,13.9318,4.21722718273801,-25.8922981686317,33.5642559447639,0,0,0,2025-05-19
1.12,15.0518,-3.62163834326885,-32.3817532824448,27.1796111372601,15.0518,15.0518,15.0518,4.74163834326885,-26.0596111372601,33.5017532824448,0,0,0,2025-05-20
0.2926,15.3444,26.2144108765425,-3.76560079175486,55.1567367413815,15.3444,15.3444,15.3444,-25.9218108765425,-54.8641367413815,4.05820079175486,0,0,0,2025-06-03
0.7223,16.0667,14.1223938898393,-14.9178798117499,44.560645714633,16.0667,16.0667,16.0667,-13.4000938898393,-43.838345714633,15.6401798117499,0,0,0,2025-06-04
0.7426,16.8093,22.9837523229856,-5.09883147886552,53.7486303326468,16.8093,16.8093,16.8093,-22.2411523229856,-53.0060303326468,5.84143147886552,0,0,0,2025-06-05
18.0722,34.8815,29.1178778023383,-0.484493815123948,56.864901122545,34.8815,34.8815,34.8815,-11.0456778023383,-38.792701122545,18.5566938151239,0,0,0,2025-06-06
0.369,35.2505,3.06079136329304,-29.0855223963552,31.3713523198374,35.2505,35.2505,35.2505,-2.69179136329304,-31.0023523198374,29.4545223963552,0,0,0,2025-06-07
5.72,40.9705,23.0878001449904,-6.27156875506901,53.5941735143798,40.9705,40.9705,40.9705,-17.3678001449904,-47.8741735143798,11.991568755069,0,0,0,2025-06-09
12.2885,53.259,31.9651247712529,0.625715245896622,62.4144025653846,53.259,53.259,53.259,-19.6766247712529,-50.1259025653846,11.6627847541034,0,0,0,2025-06-10
10.8146,64.0736,18.068505537778,-11.5467115042704,46.6409723091472,64.0736,64.0736,64.0736,-7.25390553777798,-35.8263723091472,22.3613115042704,0,0,0,2025-06-11
5.3378,69.4114,28.6277620547723,-0.354490275580112,56.8739145907145,69.4114,69.4114,69.4114,-23.2899620547723,-51.5361145907145,5.69229027558011,0,0,0,2025-06-12
29.572,98.9834,26.4529256418556,-2.50654692306762,55.4755661029041,98.9834,98.9834,98.9834,3.11907435814437,-25.9035661029041,32.0785469230676,0,0,0,2025-06-13
3.935,102.9184,15.418899905696,-13.2291630674859,43.5550751876391,102.9184,102.9184,102.9184,-11.483899905696,-39.6200751876391,17.1641630674859,0,0,0,2025-06-14
6.0756,108.994,19.547177143634,-10.2576814944927,47.3849383647914,108.994,108.994,108.994,-13.471577143634,-41.3093383647914,16.3332814944927,0,0,0,2025-06-16
37.0536,146.0476,38.5725267565684,9.65425333079699,67.7624936716316,146.0476,146.0476,146.0476,-1.51892675656838,-30.7088936716316,27.399346669203,0,0,0,2025-06-17
59.2988,205.3464,48.9955811456799,19.9841711002565,79.1497000444891,205.3464,205.3464,205.3464,10.3032188543202,-19.850900044489,39.3146288997435,0,0,0,2025-06-18
68.6125,273.9589,54.0689752807123,26.2113861972083,83.5156958796332,273.9589,273.9589,273.9589,14.5435247192877,-14.9031958796332,42.4011138027917,0,0,0,2025-06-19
55.3166,329.2755,52.8301187796885,24.2546221591081,82.5827102553407,329.2755,329.2755,329.2755,2.4864812203115,-27.2661102553406,31.0619778408919,0,0,0,2025-06-20
25.046,354.3215,27.7079997426745,-0.434892786142083,56.3712510694699,354.3215,354.3215,354.3215,-2.6619997426745,-31.3252510694699,25.4808927861421,0,0,0,2025-06-21
11.8508,366.1723,15.603939134336,-14.1392362857881,44.2720965364757,366.1723,366.1723,366.1723,-3.75313913433596,-32.4212965364757,25.9900362857881,0,0,0,2025-06-22
15.7437,381.916,34.4662139206881,6.01460397655539,63.2106158382943,381.916,381.916,381.916,-18.7225139206881,-47.4669158382943,9.72909602344461,0,0,0,2025-06-23
20.8387,402.7547,23.3734373791141,-7.10981070930643,52.584398834708,402.7547,402.7547,402.7547,-2.53473737911409,-31.745698834708,27.9485107093064,0,0,0,2025-06-24
24.3353,427.09,21.1780826220138,-7.83847462613486,50.2711687819007,427.09,427.09,427.09,3.15721737798619,-25.9358687819007,32.1737746261349,0,0,0,2025-06-25
44.3377,471.4277,38.5467444750921,9.94088463128116,66.9509513372976,471.4277,471.4277,471.4277,5.79095552490793,-22.6132513372976,34.3968153687188,0,0,0,2025-06-26
37.1898,508.6175,53.73712576623,24.5015147172829,83.089579777704,508.6175,508.6175,508.6175,-16.54732576623,-45.899779777704,12.6882852827171,0,0,0,2025-06-27
32.1273,540.7448,36.9719477525607,7.19419399927399,67.3510039603769,540.7448,540.7448,540.7448,-4.8446477525607,-35.2237039603769,24.933106000726,0,0,0,2025-06-28
44.1019,584.8467,30.6561533635799,1.19019678320746,60.9565607865685,584.8467,584.8467,584.8467,13.4457466364201,-16.8546607865685,42.9117032167926,0,0,0,2025-06-29
94.5441,679.3908,60.2494560351832,30.1148845243957,90.9781465057317,679.3908,679.3908,679.3908,34.2946439648167,3.56595349426826,64.4292154756042,0,0,0,2025-06-30
117.9005,797.2913,69.4569796581284,39.5507261516072,99.3267766490327,797.2913,797.2913,797.2913,48.4435203418716,18.5737233509674,78.3497738483929,0,0,0,2025-07-01
70.0731,867.3644,42.341424616142,12.081962669806,70.6771216143082,867.3644,867.3644,867.3644,27.731675383858,-0.604021614308223,57.991137330194,0,0,0,2025-07-02
21.9952,889.3596,36.5321544784834,7.68207469266169,67.3037487603001,889.3596,889.3596,889.3596,-14.5369544784834,-45.3085487603001,14.3131253073383,0,0,0,2025-07-03
45.906,935.2656,44.148304103892,13.5803077548926,72.834365696866,935.2656,935.2656,935.2656,1.757695896108,-26.928365696866,32.3256922451074,0,0,0,2025-07-04
46.4328,981.6984,20.6837690701655,-8.514114525906,51.7803932347174,981.6984,981.6984,981.6984,25.7490309298345,-5.34759323471738,54.946914525906,0,0,0,2025-07-05
8.0008,989.6992,13.8281703359416,-15.6821767789716,42.5264795768665,989.6992,989.6992,989.6992,-5.8273703359416,-34.5256795768665,23.6829767789716,0,0,0,2025-07-06
4.237,993.9362,8.54829660518866,-21.4296544809541,38.5301364646475,993.9362,993.9362,993.9362,-4.31129660518866,-34.2931364646475,25.6666544809541,0,0,0,2025-07-07
5.1264,999.0626,10.5179854343851,-19.3706475194057,39.999440749745,999.0626,999.0626,999.0626,-5.39158543438513,-34.873040749745,24.4970475194057,0,0,0,2025-07-08
33.5758,1032.6384,41.9171921946943,13.4022550061649,70.8854140104916,1032.6384,1032.6384,1032.6384,-8.34139219469427,-37.3096140104916,20.1735449938351,0,0,0,2025-07-09
