"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
80.7596999999999,80.7596999999999,168.106296785796,85.3318855249807,251.434286635102,80.7596999999999,80.7596999999999,80.7596999999999,-87.346596785796,-170.674586635102,-4.57218552498085,0,0,0,2025-04-28
74.1921999999999,154.9519,133.520203294004,45.4649537471405,220.612162911121,154.9519,154.9519,154.9519,-59.3280032940042,-146.419962911121,28.7272462528594,0,0,0,2025-04-29
48.5382,203.4901,129.998063012075,45.8574327371436,214.107427810711,203.4901,203.4901,203.4901,-81.4598630120751,-165.569227810711,2.68076726285636,0,0,0,2025-04-30
6.168,209.6581,167.728949409164,85.6322928783482,251.859173903494,209.6581,209.6581,209.6581,-161.560949409164,-245.691173903494,-79.4642928783481,0,0,0,2025-05-01
11.785,221.4431,136.824839622873,54.7749611960598,220.487534678306,221.4431,221.4431,221.4431,-125.039839622873,-208.702534678306,-42.9899611960598,0,0,0,2025-05-02
15.421,236.8641,143.687676439345,58.2631860092857,227.533796896119,236.8641,236.8641,236.8641,-128.266676439345,-212.112796896119,-42.8421860092857,0,0,0,2025-05-03
6.4468,243.3109,139.944623600058,54.262328031755,224.151923253574,243.3109,243.3109,243.3109,-133.497823600058,-217.705123253574,-47.815528031755,0,0,0,2025-05-04
41.0481,284.359,120.717044386974,35.7873577515503,206.227456437773,284.359,284.359,284.359,-79.6689443869737,-165.179356437773,5.26074224844969,0,0,0,2025-05-05
115.5756,399.9346,125.320693996669,45.1123427972777,210.858502375661,399.9346,399.9346,399.9346,-9.74509399666924,-95.2829023756608,70.4632572027223,0,0,0,2025-05-06
217.6154,617.55,138.141234555174,58.5461807724773,218.206581211986,617.55,617.55,617.55,79.4741654448257,-0.591181211986111,159.069219227523,0,0,0,2025-05-07
220.6973,838.2473,121.926787379272,38.9000250905148,205.288275486973,838.2473,838.2473,838.2473,98.770512620728,15.4090245130269,181.797274909485,0,0,0,2025-05-08
218.895,1057.1423,127.664801489184,44.8495129606934,212.470342630738,1057.1423,1057.1423,1057.1423,91.2301985108157,6.42465736926198,174.045487039307,0,0,0,2025-05-09
172.7206,1229.8629,139.671517776249,56.4796661771727,224.47161709826,1229.8629,1229.8629,1229.8629,33.0490822237513,-51.7510170982602,116.240933822827,0,0,0,2025-05-10
154.143,1384.0059,145.086061543812,62.184048286259,226.77193305817,1384.0059,1384.0059,1384.0059,9.05693845618813,-72.6289330581707,91.9589517137407,0,0,0,2025-05-11
158.2092,1542.2151,133.680442308977,54.6693420359096,215.838048368345,1542.2151,1542.2151,1542.2151,24.5287576910229,-57.6288483683453,103.53985796409,0,0,0,2025-05-12
154.5843,1696.7994,125.235945165953,45.167363557871,209.869931996481,1696.7994,1696.7994,1696.7994,29.3483548340475,-55.2856319964812,109.416936442129,0,0,0,2025-05-13
154.3053,1851.1047,129.04468260528,43.6717764963939,207.960222512987,1851.1047,1851.1047,1851.1047,25.2606173947195,-53.6549225129871,110.633523503606,0,0,0,2025-05-14
157.5003,2008.605,133.451801333009,44.3837716675642,215.100788523884,2008.605,2008.605,2008.605,24.0484986669913,-57.6004885238843,113.116528332436,0,0,0,2025-05-15
153.3538,2161.9588,132.821368261319,55.1577727893427,213.617529652963,2161.9588,2161.9588,2161.9588,20.5324317386813,-60.2637296529626,98.1960272106573,0,0,0,2025-05-16
141.8946,2303.8534,148.737553334735,66.0388751049381,232.140176455087,2303.8534,2303.8534,2303.8534,-6.84295333473452,-90.2455764550865,75.855724895062,0,0,0,2025-05-17
169.637,2473.4904,150.210218384253,70.8528095972982,230.613868000297,2473.4904,2473.4904,2473.4904,19.426781615747,-60.9768680002967,98.7841904027018,0,0,0,2025-05-18
152.9869,2626.4773,131.906142950619,45.1937924425707,212.905887110961,2626.4773,2626.4773,2626.4773,21.0807570493813,-59.9189871109606,107.793107557429,0,0,0,2025-05-19
156.6328,2783.1101,133.734577925152,53.3283077129198,215.41430870837,2783.1101,2783.1101,2783.1101,22.8982220748477,-58.78150870837,103.30449228708,0,0,0,2025-05-20
154.9251,2938.0352,145.135258811332,63.7333654075772,224.487804815841,2938.0352,2938.0352,2938.0352,9.78984118866776,-69.5627048158414,91.1917345924228,0,0,0,2025-05-21
154.3335,3092.3687,142.778596105808,58.7902194825595,221.745315550486,3092.3687,3092.3687,3092.3687,11.5549038941921,-67.4118155504857,95.5432805174405,0,0,0,2025-05-22
146.3398,3238.7085,132.450439941697,49.2415400525733,215.701743532974,3238.7085,3238.7085,3238.7085,13.8893600583028,-69.3619435329739,97.0982599474267,0,0,0,2025-05-23
147.6891,3386.3976,153.423029480629,67.8882448974403,238.376801450824,3386.3976,3386.3976,3386.3976,-5.73392948062903,-90.6877014508242,79.8008551025597,0,0,0,2025-05-24
168.7829,3555.1805,153.277928398168,71.4374040811452,237.717561846075,3555.1805,3555.1805,3555.1805,15.5049716018323,-68.9346618460746,97.3454959188548,0,0,0,2025-05-25
176.7816,3731.9621,137.737019563346,49.1350391262738,218.678444623843,3731.9621,3731.9621,3731.9621,39.044580436654,-41.8968446238431,127.646560873726,0,0,0,2025-05-26
173.8578,3905.8199,140.991014375788,58.598334185557,223.699516882112,3905.8199,3905.8199,3905.8199,32.866785624212,-49.8417168821121,115.259465814443,0,0,0,2025-05-27
228.0155,4133.8354,138.326946740149,52.9691438131026,224.478427899286,4133.8354,4133.8354,4133.8354,89.6885532598508,3.53707210071394,175.046356186898,0,0,0,2025-05-28
206.6783,4340.5137,126.555781405272,52.5418543881639,209.271147901318,4340.5137,4340.5137,4340.5137,80.1225185947277,-2.59284790131818,154.136445611836,0,0,0,2025-05-29
185.1663,4525.68,115.306705551716,30.0813250606572,193.049030158865,4525.68,4525.68,4525.68,69.8595944482842,-7.88273015886534,155.084974939343,0,0,0,2025-05-30
288.7256,4814.4056,129.249146721159,49.1936711599527,208.474195722183,4814.4056,4814.4056,4814.4056,159.47645327884,80.2514042778163,239.531928840047,0,0,0,2025-05-31
184.6261,4999.0317,132.504025817083,53.2321423644672,213.77687519494,4999.0317,4999.0317,4999.0317,52.1220741829166,-29.1507751949395,131.393957635533,0,0,0,2025-06-01
135.932099999999,5134.9638,113.370712841883,28.3572974521721,195.872579362298,5134.9638,5134.9638,5134.9638,22.5613871581162,-59.9404793622984,107.574802547827,0,0,0,2025-06-02
101.7216,5236.6854,111.872155166828,27.394444939279,194.58643585178,5236.6854,5236.6854,5236.6854,-10.1505551668275,-92.8648358517801,74.3271550607211,0,0,0,2025-06-03
87.9053999999999,5324.5908,136.603887120339,53.6037460350034,219.289193066869,5324.5908,5324.5908,5324.5908,-48.6984871203388,-131.38379306687,34.3016539649965,0,0,0,2025-06-04
148.2092,5472.8,128.719691562678,42.7857672204397,215.677931155421,5472.8,5472.8,5472.8,19.4895084373229,-67.4687311554205,105.423432779561,0,0,0,2025-06-05
79.0068,5551.8068,120.065606255489,37.5904510060397,204.586390302004,5551.8068,5551.8068,5551.8068,-41.0588062554889,-125.579590302004,41.4163489939604,0,0,0,2025-06-06
129.7745,5681.5813,135.247918073833,50.6898274995663,214.984694094099,5681.5813,5681.5813,5681.5813,-5.47341807383307,-85.210194094099,79.0846725004334,0,0,0,2025-06-07
149.493099999999,5831.0744,133.008174620816,49.3055578439124,215.884229991259,5831.0744,5831.0744,5831.0744,16.4849253791835,-66.39112999126,100.187542156087,0,0,0,2025-06-08
73.0339,5904.1083,113.051928829398,30.1828031130341,192.338030543871,5904.1083,5904.1083,5904.1083,-40.0180288293978,-119.304130543871,42.8510968869658,0,0,0,2025-06-09
29.7858999999999,5933.8942,98.5299912884339,12.2422776649764,189.296932941728,5933.8942,5933.8942,5933.8942,-68.744091288434,-159.511032941728,17.5436223350235,0,0,0,2025-06-10
40.4814,5974.3756,110.966138659031,31.2942263239188,194.668897724738,5974.3756,5974.3756,5974.3756,-70.4847386590314,-154.187497724738,9.18717367608122,0,0,0,2025-06-11
41.8042999999998,6016.1799,120.560678803731,38.1518277660574,206.751177875673,6016.1799,6016.1799,6016.1799,-78.7563788037309,-164.946877875674,3.65247223394243,0,0,0,2025-06-12
42.7950999999998,6058.975,113.263478657204,28.2982702992568,191.344411058594,6058.975,6058.975,6058.975,-70.4683786572038,-148.549311058594,14.496829700743,0,0,0,2025-06-13
62.5594999999999,6121.5345,127.023295626932,43.2491546376808,204.681315583097,6121.5345,6121.5345,6121.5345,-64.4637956269319,-142.121815583097,19.3103453623191,0,0,0,2025-06-14
117.4594,6238.9939,125.530504965536,42.6711554094804,205.759362599961,6238.9939,6238.9939,6238.9939,-8.07110496553591,-88.299962599961,74.7882445905195,0,0,0,2025-06-15
85.5098,6324.5037,105.101457928589,25.938758103637,188.635483519271,6324.5037,6324.5037,6324.5037,-19.5916579285892,-103.125683519271,59.571041896363,0,0,0,2025-06-16
42.4161000000001,6366.9198,100.669289467322,17.267834555227,183.540408132566,6366.9198,6366.9198,6366.9198,-58.253189467322,-141.124308132566,25.1482654447732,0,0,0,2025-06-17
35.0202999999999,6401.9401,101.813217669855,21.6989401113617,178.292493212527,6401.9401,6401.9401,6401.9401,-66.7929176698552,-143.272193212527,13.3213598886383,0,0,0,2025-06-18
31.888,6433.8281,88.9561266179777,7.91929564194257,171.395841708337,6433.8281,6433.8281,6433.8281,-57.0681266179777,-139.507841708337,23.9687043580574,0,0,0,2025-06-19
53.5028,6487.3309,87.9400798746922,2.97079872567274,167.689034666181,6487.3309,6487.3309,6487.3309,-34.4372798746922,-114.186234666181,50.5320012743273,0,0,0,2025-06-20
113.4827,6600.8136,114.566804072951,31.2273744501131,194.906495882603,6600.8136,6600.8136,6600.8136,-1.08410407295129,-81.4237958826035,82.2553255498866,0,0,0,2025-06-21
97.7391999999999,6698.5528,111.170928885795,32.8254969514213,191.257254438013,6698.5528,6698.5528,6698.5528,-13.4317288857949,-93.5180544380131,64.9137030485786,0,0,0,2025-06-22
23.6699,6722.2227,93.8152553673588,12.3480644824753,174.707393475242,6722.2227,6722.2227,6722.2227,-70.1453553673588,-151.037493475242,11.3218355175247,0,0,0,2025-06-23
65.5984999999999,6787.8212,103.167063696088,24.6479064561473,186.504959935528,6787.8212,6787.8212,6787.8212,-37.5685636960881,-120.906459935528,40.9505935438526,0,0,0,2025-06-24
74.1667000000001,6861.9879,114.867370747355,33.6707459558602,197.887552838135,6861.9879,6861.9879,6861.9879,-40.700670747355,-123.720852838135,40.4959540441399,0,0,0,2025-06-25
155.0943,7017.0822,107.31750948335,23.5139357618847,189.2110188499,7017.0822,7017.0822,7017.0822,47.77679051665,-34.1167188499004,131.580364238115,0,0,0,2025-06-26
66.5451000000001,7083.6273,90.0676782841083,12.2418469933113,170.153548486532,7083.6273,7083.6273,7083.6273,-23.5225782841082,-103.608448486532,54.3032530066888,0,0,0,2025-06-27
