"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
23.3511,23.3511,13.8679278526934,-8.70703237466249,35.4635069863479,23.3511,23.3511,23.3511,9.48317214730653,-12.1124069863479,32.0581323746625,0,0,0,2024-06-14
38.9327000000001,62.2838,17.463197509163,-6.32492063374511,41.0506090324572,62.2838,62.2838,62.2838,21.4695024908371,-2.11790903245713,45.2576206337452,0,0,0,2024-06-15
54.8038999999999,117.0877,22.1262952707012,-1.68629217054003,45.8422189563054,117.0877,117.0877,117.0877,32.6776047292987,8.96168104369453,56.49019217054,0,0,0,2024-06-16
32.7007,149.7884,13.2275596879803,-9.75660706919145,34.916029245214,149.7884,149.7884,149.7884,19.4731403120197,-2.21532924521407,42.4573070691914,0,0,0,2024-06-17
15.556,165.3444,10.7010388889526,-10.8835159282442,33.286372030556,165.3444,165.3444,165.3444,4.8549611110474,-17.7303720305561,26.4395159282442,0,0,0,2024-06-18
3.4804,168.8248,11.5666803099675,-12.1466832224509,33.7512537942837,168.8248,168.8248,168.8248,-8.08628030996753,-30.2708537942837,15.6270832224509,0,0,0,2024-06-19
39.4657,208.2905,16.5281214396021,-7.99702790432298,39.6333111534783,208.2905,208.2905,208.2905,22.9375785603979,-0.167611153478312,47.462727904323,0,0,0,2024-06-22
30.2209,238.5114,18.2101940058203,-5.52746255191096,42.1532709882285,238.5114,238.5114,238.5114,12.0107059941797,-11.9323709882285,35.748362551911,0,0,0,2024-06-23
30.3057,268.8171,15.2797699889265,-8.3157180574854,37.3169874396712,268.8171,268.8171,268.8171,15.0259300110735,-7.01128743967117,38.6214180574854,0,0,0,2024-06-24
14.3576,283.1747,15.951362318962,-6.8268930527973,38.5630655537249,283.1747,283.1747,283.1747,-1.59376231896196,-24.2054655537249,21.1844930527973,0,0,0,2024-06-25
1.2706,284.4453,11.2863161602479,-11.9711639843335,33.4501994071407,284.4453,284.4453,284.4453,-10.0157161602479,-32.1795994071407,13.2417639843335,0,0,0,2024-06-28
23.8926,308.3379,12.5957066149045,-10.4815727667301,34.9812092425295,308.3379,308.3379,308.3379,11.2968933850955,-11.0886092425295,34.3741727667301,0,0,0,2024-06-29
49.3653,357.7032,13.8465182011921,-10.0925433075507,36.5383488557072,357.7032,357.7032,357.7032,35.5187817988079,12.8269511442928,59.4578433075507,0,0,0,2024-06-30
0.304,358.0072,10.8901846495877,-12.2105360644481,34.1923109818044,358.0072,358.0072,358.0072,-10.5861846495877,-33.8883109818044,12.5145360644481,0,0,0,2024-07-01
0.355,358.3622,10.8757517044398,-10.7759135570707,34.0153384464626,358.3622,358.3622,358.3622,-10.5207517044398,-33.6603384464626,11.1309135570707,0,0,0,2024-07-02
7.7879,366.1501,10.6580422019585,-12.5188742730212,33.0922266403837,366.1501,366.1501,366.1501,-2.87014220195847,-25.3043266403837,20.3067742730212,0,0,0,2024-07-03
20.5682,386.7183,13.1049780635964,-11.0994678129427,34.19293610847,386.7183,386.7183,386.7183,7.4632219364036,-13.62473610847,31.6676678129427,0,0,0,2024-07-04
0.3209,387.0392,7.98750927459515,-15.4112961912245,29.7596654914822,387.0392,387.0392,387.0392,-7.66660927459515,-29.4387654914822,15.7321961912245,0,0,0,2024-07-12
3.385,390.4242,10.3020306638698,-12.5752192105575,33.8396138886777,390.4242,390.4242,390.4242,-6.91703066386984,-30.4546138886777,15.9602192105575,0,0,0,2024-07-13
0.1722,390.5964,12.5394315657426,-10.0635735713877,34.6197910010597,390.5964,390.5964,390.5964,-12.3672315657426,-34.4475910010597,10.2357735713877,0,0,0,2024-07-14
14.4,404.9964,5.8003466927806,-18.6369100569434,30.2681492794529,404.9964,404.9964,404.9964,8.5996533072194,-15.8681492794529,33.0369100569434,0,0,0,2024-08-01
0.0737,405.0701,12.1141505398344,-10.6806363922749,34.9745899705184,405.0701,405.0701,405.0701,-12.0404505398344,-34.9008899705184,10.7543363922749,0,0,0,2024-08-03
0.08,405.1501,11.3263824509983,-11.5407989573307,32.5726242592284,405.1501,405.1501,405.1501,-11.2463824509983,-32.4926242592284,11.6207989573307,0,0,0,2024-08-14
18.564,423.7141,12.642659938986,-9.41772028923462,34.1704328640154,423.7141,423.7141,423.7141,5.92134006101395,-15.6064328640154,27.9817202892346,0,0,0,2024-08-21
0.015,423.7291,8.53246780160976,-14.7563488880734,29.8786068111346,423.7291,423.7291,423.7291,-8.51746780160976,-29.8636068111346,14.7713488880734,0,0,0,2024-08-22
0.03,423.7591,5.88323612555968,-18.0285611758225,28.7945979785786,423.7591,423.7591,423.7591,-5.85323612555968,-28.7645979785786,18.0585611758225,0,0,0,2024-08-29
4.7653,428.5244,8.46632012665487,-13.6658625653287,31.1017084934518,428.5244,428.5244,428.5244,-3.70102012665487,-26.3364084934518,18.4311625653287,0,0,0,2024-09-12
0.726,429.2504,14.9219373906019,-8.00882395480379,38.5341726711155,429.2504,429.2504,429.2504,-14.1959373906019,-37.8081726711155,8.73482395480379,0,0,0,2024-09-15
0.375,429.6254,11.2128006621645,-9.86706043843023,33.3299669203068,429.6254,429.6254,429.6254,-10.8378006621645,-32.9549669203068,10.2420604384302,0,0,0,2024-09-23
0.69,430.3154,10.5012588579576,-12.1668828440304,32.3508483351972,430.3154,430.3154,430.3154,-9.81125885795756,-31.6608483351972,12.8568828440304,0,0,0,2024-09-30
