"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
1.32,1.32,0.283763076784417,-41.5901960185857,41.4988966820921,1.32,1.32,1.32,1.03623692321558,-40.1788966820921,42.9101960185857,0,0,0,2025-04-29
1.636,2.956,-12.8415513839964,-55.0918645059555,28.0414864433623,2.956,2.956,2.956,14.4775513839964,-26.4054864433623,56.7278645059555,0,0,0,2025-05-05
2.281,5.237,-9.65413036422547,-48.5921132316645,30.9518008868704,5.237,5.237,5.237,11.9351303642255,-28.6708008868704,50.8731132316645,0,0,0,2025-05-06
0.97,6.207,14.0547982592552,-24.0165453435633,53.2277191116846,6.207,6.207,6.207,-13.0847982592552,-52.2577191116846,24.9865453435633,0,0,0,2025-05-07
1.55,7.757,17.7277521938333,-21.6506714961639,58.1601275144166,7.757,7.757,7.757,-16.1777521938333,-56.6101275144166,23.2006714961639,0,0,0,2025-05-08
0.1,7.857,20.843075637493,-20.3601245693034,60.1523485773493,7.857,7.857,7.857,-20.743075637493,-60.0523485773493,20.4601245693034,0,0,0,2025-05-09
0.47,8.327,14.0727509539086,-25.727141889216,55.1028477791662,8.327,8.327,8.327,-13.6027509539086,-54.6328477791662,26.197141889216,0,0,0,2025-05-10
0.835,9.162,12.8623319956553,-29.3625419939875,54.6433320049193,9.162,9.162,9.162,-12.0273319956553,-53.8083320049193,30.1975419939875,0,0,0,2025-05-11
2.2074,11.3694,23.5389828382789,-16.4303022643762,63.0023988455903,11.3694,11.3694,11.3694,-21.3315828382789,-60.7949988455903,18.6377022643762,0,0,0,2025-05-12
1.5074,12.8768,16.5250525686698,-24.0828027494351,54.5408951409084,12.8768,12.8768,12.8768,-15.0176525686698,-53.0334951409084,25.5902027494351,0,0,0,2025-05-17
0.155,13.0318,9.7374195405985,-30.8439353557601,48.7095100964845,13.0318,13.0318,13.0318,-9.5824195405985,-48.5545100964845,30.9989353557601,0,0,0,2025-05-18
0.9,13.9318,15.2979319793773,-23.2789695403789,55.4502372105404,13.9318,13.9318,13.9318,-14.3979319793773,-54.5502372105404,24.1789695403789,0,0,0,2025-05-19
1.12,15.0518,18.0165006645464,-19.9248573326382,57.7201403586963,15.0518,15.0518,15.0518,-16.8965006645464,-56.6001403586963,21.0448573326382,0,0,0,2025-05-20
0.2926,15.3444,23.3580122110056,-16.4390642449613,61.8317710015968,15.3444,15.3444,15.3444,-23.0654122110056,-61.5391710015968,16.7316642449613,0,0,0,2025-06-03
0.7223,16.0667,28.9106007322008,-7.3063867514884,70.350157515333,16.0667,16.0667,16.0667,-28.1883007322008,-69.627857515333,8.0286867514884,0,0,0,2025-06-04
0.7426,16.8093,31.2971221454797,-8.8845166322246,71.0032542478485,16.8093,16.8093,16.8093,-30.5545221454797,-70.2606542478485,9.6271166322246,0,0,0,2025-06-05
18.0722,34.8815,28.2984431479503,-10.8070307907388,65.9471844573536,34.8815,34.8815,34.8815,-10.2262431479503,-47.8749844573536,28.8792307907387,0,0,0,2025-06-06
0.369,35.2505,24.6334808800206,-18.5682304697396,62.2429775667281,35.2505,35.2505,35.2505,-24.2644808800206,-61.8739775667281,18.9372304697396,0,0,0,2025-06-07
5.72,40.9705,26.8727597319133,-11.4919924577643,66.6569101558279,40.9705,40.9705,40.9705,-21.1527597319133,-60.9369101558279,17.2119924577643,0,0,0,2025-06-09
12.2885,53.259,17.651362349231,-22.8577293477065,57.4723039290226,53.259,53.259,53.259,-5.362862349231,-45.1838039290226,35.1462293477065,0,0,0,2025-06-10
10.8146,64.0736,16.4829323471716,-22.2199185157295,55.3361690774884,64.0736,64.0736,64.0736,-5.66833234717163,-44.5215690774884,33.0345185157295,0,0,0,2025-06-11
5.3378,69.4114,34.451651104756,-5.45257157674622,72.6851314701352,69.4114,69.4114,69.4114,-29.113851104756,-67.3473314701352,10.7903715767462,0,0,0,2025-06-12
29.572,98.9834,29.6395100779858,-10.3764748470952,67.0386124877523,98.9834,98.9834,98.9834,-0.0675100779857623,-37.4666124877523,39.9484748470952,0,0,0,2025-06-13
3.935,102.9184,20.4178488232913,-17.2610678325895,57.3879203592535,102.9184,102.9184,102.9184,-16.4828488232913,-53.4529203592535,21.1960678325895,0,0,0,2025-06-14
6.0756,108.994,19.4721671157467,-20.8461649108185,55.8391387382174,108.994,108.994,108.994,-13.3965671157467,-49.7635387382174,26.9217649108185,0,0,0,2025-06-16
