"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
5.2557,5.2557,7.39956815027824,-5.71844787188951,19.6001712380286,5.2557,5.2557,5.2557,-2.14386815027824,-14.3444712380286,10.9741478718895,0,0,0,2024-06-14
2.1494,7.4051,8.20490605002102,-5.17602046520231,21.2019323546324,7.4051,7.4051,7.4051,-6.05550605002102,-19.0525323546324,7.32542046520231,0,0,0,2024-06-15
1.2944,8.6995,9.83873528576445,-3.40055348137955,22.8871045285225,8.6995,8.6995,8.6995,-8.54433528576445,-21.5927045285225,4.69495348137955,0,0,0,2024-06-16
4.7545,13.454,10.829930967392,-2.35989098719887,23.7921769600112,13.454,13.454,13.454,-6.07543096739198,-19.0376769600112,7.11439098719887,0,0,0,2024-06-17
7.1426,20.5966,16.6268558755931,3.76052124749238,29.8439680126688,20.5966,20.5966,20.5966,-9.48425587559306,-22.7013680126688,3.38207875250762,0,0,0,2024-06-18
13.239,33.8356,19.5382193689556,6.52194727928151,32.5184450838791,33.8356,33.8356,33.8356,-6.2992193689556,-19.2794450838791,6.71705272071848,0,0,0,2024-06-19
8.9121,42.7477,15.9047940272933,3.11306318400058,29.2938385794393,42.7477,42.7477,42.7477,-6.99269402729326,-20.3817385794393,5.79903681599942,0,0,0,2024-06-20
12.7104,55.4581,12.6845819084214,-0.828797977723688,26.1922488571715,55.4581,55.4581,55.4581,0.0258180915785644,-13.4818488571715,13.5391979777237,0,0,0,2024-06-21
4.7554,60.2135,7.8413382583853,-5.23046306904672,20.5417809615336,60.2135,60.2135,60.2135,-3.0859382583853,-15.7863809615336,9.98586306904672,0,0,0,2024-06-22
3.0552,63.2687,5.3531901510951,-7.52934335925145,17.7948336480093,63.2687,63.2687,63.2687,-2.2979901510951,-14.7396336480093,10.5845433592514,0,0,0,2024-06-23
6.0947,69.3634,12.7594384807633,-0.213800860942849,25.3970428169406,69.3634,69.3634,69.3634,-6.66473848076332,-19.3023428169406,6.30850086094285,0,0,0,2024-06-24
10.5747,79.9381,14.2685733820901,1.55033211599865,27.2785346298073,79.9381,79.9381,79.9381,-3.69387338209012,-16.7038346298073,9.02436788400135,0,0,0,2024-06-25
19.9991,99.9372,16.744505161672,4.14032109740179,30.2284163042695,99.9372,99.9372,99.9372,3.25459483832799,-10.2293163042695,15.8587789025982,0,0,0,2024-06-26
16.8538,116.791,17.1960577153835,4.01214029611892,29.3955823143818,116.791,116.791,116.791,-0.342257715383461,-12.5417823143818,12.8416597038811,0,0,0,2024-06-27
11.9687,128.7597,12.216208278248,-0.240069119457415,25.7953634339767,128.7597,128.7597,128.7597,-0.247508278248,-13.8266634339767,12.2087691194574,0,0,0,2024-06-28
5.4684,134.2281,12.3553272665379,-0.36537273398476,25.621716979339,134.2281,134.2281,134.2281,-6.88692726653792,-20.153316979339,5.83377273398476,0,0,0,2024-06-29
7.4785,141.7066,11.8109930481106,-1.92224622688432,24.2516413184701,141.7066,141.7066,141.7066,-4.3324930481106,-16.7731413184701,9.40074622688432,0,0,0,2024-06-30
6.6472,148.3538,9.3675261557857,-4.32790152449753,21.8225876910121,148.3538,148.3538,148.3538,-2.7203261557857,-15.1753876910121,10.9751015244975,0,0,0,2024-07-01
7.9544,156.3082,8.76339885085182,-3.89393732046415,21.7131933911966,156.3082,156.3082,156.3082,-0.808998850851818,-13.7587933911966,11.8483373204641,0,0,0,2024-07-02
7.1429,163.4511,10.7475752621482,-2.44037735952305,23.6434430930654,163.4511,163.4511,163.4511,-3.60467526214823,-16.5005430930653,9.58327735952306,0,0,0,2024-07-03
8.1641,171.6152,11.7106742823714,-0.926541525736365,24.2693450534919,171.6152,171.6152,171.6152,-3.54657428237139,-16.1052450534919,9.09064152573637,0,0,0,2024-07-04
9.9164,181.5316,7.83287681149612,-5.28737403758267,20.5573073402925,181.5316,181.5316,181.5316,2.08352318850388,-10.6409073402925,15.2037740375827,0,0,0,2024-07-05
2.4091,183.9407,6.45979301235406,-6.34089639789659,19.1953054824058,183.9407,183.9407,183.9407,-4.05069301235406,-16.7862054824058,8.74999639789659,0,0,0,2024-07-06
4.0862,188.0269,9.87171869702624,-2.44921378128283,21.9305369422166,188.0269,188.0269,188.0269,-5.78551869702624,-17.8443369422166,6.53541378128283,0,0,0,2024-07-07
6.9346,194.9615,11.7980304760589,-1.1954685628757,23.8304381559281,194.9615,194.9615,194.9615,-4.86343047605888,-16.8958381559281,8.1300685628757,0,0,0,2024-07-08
10.7993,205.7608,12.517148699488,-0.200741624728796,25.0967108834124,205.7608,205.7608,205.7608,-1.717848699488,-14.2974108834124,11.0000416247288,0,0,0,2024-07-09
15.6458,221.4066,16.0567120716699,3.09875539512632,29.0481766046165,221.4066,221.4066,221.4066,-0.410912071669854,-13.4023766046165,12.5470446048737,0,0,0,2024-07-10
13.2124,234.619,11.6333442643922,-0.557761551501576,25.1283685335916,234.619,234.619,234.619,1.57905573560783,-11.9159685335915,13.7701615515016,0,0,0,2024-07-11
8.8548,243.4738,4.1325619942457,-8.71524887563933,17.2389234896244,243.4738,243.4738,243.4738,4.7222380057543,-8.3841234896244,17.5700488756393,0,0,0,2024-07-12
6.5078,249.9816,6.42960604657378,-5.97163218517453,19.2485845140124,249.9816,249.9816,249.9816,0.0781939534262186,-12.7407845140124,12.4794321851745,0,0,0,2024-07-13
8.3297,258.3113,7.32704922009087,-5.68543278806723,20.5076950541339,258.3113,258.3113,258.3113,1.00265077990913,-12.1779950541339,14.0151327880672,0,0,0,2024-07-14
8.159,266.4703,8.39423716914423,-4.10770439683101,20.7248893352692,266.4703,266.4703,266.4703,-0.235237169144229,-12.5658893352692,12.266704396831,0,0,0,2024-07-15
15.6874,282.1577,14.1795453528726,1.26440475811681,26.5711082507217,282.1577,282.1577,282.1577,1.5078546471274,-10.8837082507217,14.4229952418832,0,0,0,2024-07-16
21.5967,303.7544,14.8296642906319,1.87698375962996,27.4639540345457,303.7544,303.7544,303.7544,6.76703570936811,-5.86725403454567,19.71971624037,0,0,0,2024-07-17
24.0794,327.8338,21.7408375622824,8.83267621226803,34.2059430768319,327.8338,327.8338,327.8338,2.33856243771761,-10.1265430768319,15.246723787732,0,0,0,2024-07-18
16.6851,344.5189,15.9117576705342,2.87345008053875,28.995018000747,344.5189,344.5189,344.5189,0.773342329465775,-12.309918000747,13.8116499194612,0,0,0,2024-07-19
8.3954,352.9143,4.121612860321,-9.1525867323372,17.2328680841656,352.9143,352.9143,352.9143,4.27378713967899,-8.83746808416561,17.5479867323372,0,0,0,2024-07-20
7.3672,360.2815,2.16610725882767,-10.9701362143391,15.3121141955047,360.2815,360.2815,360.2815,5.20109274117233,-7.94491419550471,18.3373362143391,0,0,0,2024-07-21
8.9065,369.188,10.1415305662113,-3.04357953353216,23.1821948996327,369.188,369.188,369.188,-1.23503056621129,-14.2756948996327,11.9500795335322,0,0,0,2024-07-22
20.2364,389.4244,12.7354167431078,0.0138648130420016,25.6886119686925,389.4244,389.4244,389.4244,7.5009832568922,-5.45221196869255,20.222535186958,0,0,0,2024-07-23
20.8404,410.2648,12.2980736221511,-0.450657113566331,24.6117123412234,410.2648,410.2648,410.2648,8.54232637784895,-3.77131234122339,21.2910571135663,0,0,0,2024-07-24
14.0542,424.319,12.7254563955331,0.246531197101868,25.5894624784588,424.319,424.319,424.319,1.32874360446687,-11.5352624784588,13.8076688028981,0,0,0,2024-07-25
19.7878,444.1068,12.6245310636765,-0.406372579005529,25.175882615191,444.1068,444.1068,444.1068,7.16326893632355,-5.38808261519102,20.1941725790055,0,0,0,2024-07-26
21.4291,465.5359,7.54913954303853,-5.47424834811347,20.5289301154805,465.5359,465.5359,465.5359,13.8799604569615,0.900169884519503,26.9033483481135,0,0,0,2024-07-27
7.1996,472.7355,4.99082512186788,-7.87624930813241,17.795501378693,472.7355,472.7355,472.7355,2.20877487813212,-10.595901378693,15.0758493081324,0,0,0,2024-07-28
35.7532,508.4887,19.8444468576216,6.62943228334449,33.1997714863763,508.4887,508.4887,508.4887,15.9087531423784,2.55342851362366,29.1237677166555,0,0,0,2024-07-29
21.5701,530.0588,13.4220221822669,-0.127594871732766,26.0864854143257,530.0588,530.0588,530.0588,8.14807781773313,-4.51638541432566,21.6976948717328,0,0,0,2024-07-30
20.7607,550.8195,17.1109589039206,4.48281989431829,29.5399491470942,550.8195,550.8195,550.8195,3.64974109607942,-8.77924914709416,16.2778801056817,0,0,0,2024-07-31
16.3155,567.135,14.6258049858298,1.09406913982623,27.1202893116668,567.135,567.135,567.135,1.68969501417022,-10.8047893116667,15.2214308601738,0,0,0,2024-08-01
17.7603,584.8953,6.65215476678902,-6.03093812676135,19.5343812311136,584.8953,584.8953,584.8953,11.108145233211,-1.77408123111362,23.7912381267613,0,0,0,2024-08-02
12.0062,596.9015,6.80805356080881,-6.19106078093917,19.8377757001187,596.9015,596.9015,596.9015,5.19814643919119,-7.83157570011867,18.1972607809392,0,0,0,2024-08-03
8.27380000000001,605.1753,8.72042205080327,-4.65183624045239,21.0757485956051,605.1753,605.1753,605.1753,-0.446622050803262,-12.8019485956051,12.9256362404524,0,0,0,2024-08-04
18.5244,623.6997,17.8159329219689,5.2491338795098,29.7847899468283,623.6997,623.6997,623.6997,0.70846707803112,-11.2603899468283,13.2752661204902,0,0,0,2024-08-05
17.2268,640.9265,15.4446074788703,2.51104536510894,28.0925970184128,640.9265,640.9265,640.9265,1.7821925211297,-10.8657970184128,14.7157546348911,0,0,0,2024-08-06
12.8407,653.7672,12.5699868748113,-0.370632763920202,25.2268478695528,653.7672,653.7672,653.7672,0.270713125188657,-12.3861478695528,13.2113327639202,0,0,0,2024-08-07
18.8733,672.6405,14.948566608044,1.95116951410065,27.7562963776672,672.6405,672.6405,672.6405,3.924733391956,-8.88299637766723,16.9221304858994,0,0,0,2024-08-08
11.2448,683.8853,12.3075228342548,-0.179834585019261,25.5062355136771,683.8853,683.8853,683.8853,-1.06272283425475,-14.2614355136771,11.4246345850193,0,0,0,2024-08-09
11.0162,694.9015,7.19029957545343,-5.14011161193626,20.2950193613637,694.9015,694.9015,694.9015,3.82590042454657,-9.27881936136374,16.1563116119363,0,0,0,2024-08-10
9.7281,704.6296,6.16735817644632,-6.9370859757155,18.5141872896838,704.6296,704.6296,704.6296,3.56074182355368,-8.78608728968381,16.6651859757155,0,0,0,2024-08-11
15.3839,720.0135,16.4854705179353,4.1064491612744,28.9282479904389,720.0135,720.0135,720.0135,-1.1015705179353,-13.5443479904388,11.2774508387256,0,0,0,2024-08-12
18.463,738.4765,19.1821429039972,6.88588237014043,32.0211321520473,738.4765,738.4765,738.4765,-0.719142903997209,-13.5581321520473,11.5771176298596,0,0,0,2024-08-13
13.4561,751.9326,13.153106832569,-0.101558221122289,25.4989166926508,751.9326,751.9326,751.9326,0.302993167430994,-12.0428166926508,13.5576582211223,0,0,0,2024-08-14
5.5144,757.447,13.9211022819911,0.784173338508186,26.9226018705904,757.447,757.447,757.447,-8.40670228199112,-21.4082018705904,4.73022666149181,0,0,0,2024-08-15
10.7156,768.1626,12.3078177394925,-0.259258994641035,24.8821045046958,768.1626,768.1626,768.1626,-1.59221773949245,-14.1665045046958,10.974858994641,0,0,0,2024-08-16
9.7854,777.948,8.64624378457137,-4.39227649994172,20.7334704693008,777.948,777.948,777.948,1.13915621542863,-10.9480704693008,14.1776764999417,0,0,0,2024-08-17
7.528,785.476,4.77437217342601,-8.05848984809613,17.5965866663904,785.476,785.476,785.476,2.75362782657399,-10.0685866663904,15.5864898480961,0,0,0,2024-08-18
14.6143,800.0903,14.1424600910896,2.07846642212076,26.6585180241245,800.0903,800.0903,800.0903,0.471839908910415,-12.0442180241245,12.5358335778792,0,0,0,2024-08-19
10.5608,810.6511,14.5782333977617,1.19291721924624,27.177510004323,810.6511,810.6511,810.6511,-4.01743339776172,-16.616710004323,9.36788278075376,0,0,0,2024-08-20
12.2231,822.8742,13.720829776081,0.217148074938613,25.5574251567166,822.8742,822.8742,822.8742,-1.49772977608103,-13.3343251567166,12.0059519250614,0,0,0,2024-08-21
31.2674,854.1416,20.5398895331334,7.88711902985196,33.4456662199169,854.1416,854.1416,854.1416,10.7275104668666,-2.17826621991694,23.380280970148,0,0,0,2024-08-22
21.1742,875.3158,16.3075110453999,3.62971119533671,29.4071950016031,875.3158,875.3158,875.3158,4.86668895460008,-8.23299500160309,17.5444888046633,0,0,0,2024-08-23
10.8637,886.1795,5.5687137895601,-7.65899322770567,17.9295893540328,886.1795,886.1795,886.1795,5.2949862104399,-7.06588935403284,18.5226932277057,0,0,0,2024-08-24
6.0067,892.1862,4.81118951246588,-8.95590354340635,18.0521742178297,892.1862,892.1862,892.1862,1.19551048753412,-12.0454742178297,14.9626035434064,0,0,0,2024-08-25
12.8073,904.9935,17.0575045276345,3.83949037965682,29.5433988926349,904.9935,904.9935,904.9935,-4.25020452763453,-16.7360988926349,8.96780962034318,0,0,0,2024-08-26
19.9564,924.9499,21.1595951955381,9.0941186329625,34.1916844845331,924.9499,924.9499,924.9499,-1.20319519553815,-14.2352844845331,10.8622813670375,0,0,0,2024-08-27
14.3665,939.3164,16.9600854129326,4.23555752421989,29.0430800058077,939.3164,939.3164,939.3164,-2.59358541293259,-14.6765800058077,10.1309424757801,0,0,0,2024-08-28
15.9544,955.2708,18.3434315321655,5.54091755413077,30.1970838763729,955.2708,955.2708,955.2708,-2.38903153216548,-14.2426838763729,10.4134824458692,0,0,0,2024-08-29
