"response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","date"
4.07,4.07,2.33869149615954,-0.0541133748324023,4.55722252968039,4.07,4.07,4.07,1.73130850384046,-0.48722252968039,4.1241133748324,0,0,0,2024-06-14
2.2457,6.3157,2.12266120958322,-0.247441511074746,4.45152849680476,6.3157,6.3157,6.3157,0.12303879041678,-2.20582849680476,2.49314151107475,0,0,0,2024-06-15
5.9468,12.2625,1.71474518711697,-0.665867654125263,4.00262696260746,12.2625,12.2625,12.2625,4.23205481288303,1.94417303739254,6.61266765412526,0,0,0,2024-06-16
3.0802,15.3427,2.19252703683133,-0.151142557903876,4.4359724390164,15.3427,15.3427,15.3427,0.887672963168674,-1.35577243901639,3.23134255790388,0,0,0,2024-06-17
4.9041,20.2468,2.19038499097228,-0.0614309299823617,4.61057275242513,20.2468,20.2468,20.2468,2.71371500902772,0.293527247574872,4.96553092998236,0,0,0,2024-06-18
1.7241,21.9709,1.50396035194747,-0.841673531179734,3.80275175625003,21.9709,21.9709,21.9709,0.220139648052526,-2.07865175625003,2.56577353117973,0,0,0,2024-06-19
0.419,22.3899,1.78417138908719,-0.529028213799969,4.13023311705143,22.3899,22.3899,22.3899,-1.36517138908719,-3.71123311705143,0.948028213799969,0,0,0,2024-06-20
0.1102,22.5001,2.0380457301833,-0.341741398731745,4.51102023118635,22.5001,22.5001,22.5001,-1.9278457301833,-4.40082023118635,0.451941398731746,0,0,0,2024-06-21
2.3423,24.8424,2.15958609047223,-0.172560958000034,4.49300290273787,24.8424,24.8424,24.8424,0.182713909527774,-2.15070290273787,2.51486095800003,0,0,0,2024-06-22
0.984,25.8264,1.98169892976434,-0.295546647220995,4.23121156941442,25.8264,25.8264,25.8264,-0.99769892976434,-3.24721156941442,1.279546647221,0,0,0,2024-06-23
3.7434,29.5698,2.07512508605388,-0.301590278164081,4.40879957292816,29.5698,29.5698,29.5698,1.66827491394612,-0.665399572928163,4.04499027816408,0,0,0,2024-06-24
1.3462,30.916,2.37857563199314,0.0207068701470108,4.66880086807415,30.916,30.916,30.916,-1.03237563199314,-3.32260086807415,1.32549312985299,0,0,0,2024-06-25
0.92,31.836,1.68144079671946,-0.614753611650634,4.04022506941918,31.836,31.836,31.836,-0.761440796719456,-3.12022506941918,1.53475361165063,0,0,0,2024-06-26
1.9269,33.7629,1.69567073694333,-0.671588314750228,4.0351262636338,33.7629,33.7629,33.7629,0.231229263056672,-2.1082262636338,2.59848831475023,0,0,0,2024-06-27
1.3334,35.0963,1.9821600764009,-0.262501852579344,4.49868045151394,35.0963,35.0963,35.0963,-0.648760076400897,-3.16528045151394,1.59590185257934,0,0,0,2024-06-28
2.4665,37.5628,1.8228527544312,-0.599238292924783,4.25960260929658,37.5628,37.5628,37.5628,0.643647245568801,-1.79310260929658,3.06573829292478,0,0,0,2024-06-29
1.1246,38.6874,1.60210941464519,-0.830650525546715,3.84093895686793,38.6874,38.6874,38.6874,-0.477509414645187,-2.71633895686793,1.95525052554671,0,0,0,2024-06-30
1.3146,40.002,2.26226354671237,-0.213220032833203,4.52098906038904,40.002,40.002,40.002,-0.947663546712373,-3.20638906038904,1.5278200328332,0,0,0,2024-07-01
0.4701,40.4721,2.71167367980673,0.454746068866471,5.04390876702136,40.4721,40.4721,40.4721,-2.24157367980673,-4.57380876702136,0.0153539311335287,0,0,0,2024-07-02
2.5953,43.0674,2.09317807541119,-0.280842251695034,4.42514785782316,43.0674,43.0674,43.0674,0.502121924588806,-1.82984785782316,2.87614225169504,0,0,0,2024-07-03
2.9689,46.0363,2.08540298764568,-0.109543805745063,4.43732998812746,46.0363,46.0363,46.0363,0.883497012354325,-1.46842998812746,3.07844380574506,0,0,0,2024-07-04
2.9471,48.9834,2.32810308525675,-0.0697707633710933,4.73268271041892,48.9834,48.9834,48.9834,0.618996914743253,-1.78558271041892,3.01687076337109,0,0,0,2024-07-05
2.4975,51.4809,2.23237944228263,-0.0933842234379234,4.53563275163904,51.4809,51.4809,51.4809,0.265120557717375,-2.03813275163904,2.59088422343792,0,0,0,2024-07-06
2.0469,53.5278,1.73818696884861,-0.514462740748575,3.93539180702405,53.5278,53.5278,53.5278,0.308713031151391,-1.88849180702405,2.56136274074858,0,0,0,2024-07-07
1.9015,55.4293,2.14436292212984,-0.236920588121714,4.31952767392778,55.4293,55.4293,55.4293,-0.242862922129841,-2.41802767392778,2.13842058812171,0,0,0,2024-07-08
3.8799,59.3092,2.5007278193902,0.110148595974314,4.84384900135122,59.3092,59.3092,59.3092,1.3791721806098,-0.963949001351223,3.76975140402569,0,0,0,2024-07-09
3.6756,62.9848,1.7974256238902,-0.492343753778922,4.11619442718014,62.9848,62.9848,62.9848,1.87817437610979,-0.440594427180141,4.16794375377892,0,0,0,2024-07-10
1.3773,64.3621,2.1080051453663,-0.214971657905226,4.54639061607997,64.3621,64.3621,64.3621,-0.730705145366304,-3.16909061607997,1.59227165790523,0,0,0,2024-07-11
4.4399,68.802,2.57122855106797,0.266297585431519,4.89721479705037,68.802,68.802,68.802,1.86867144893203,-0.457314797050369,4.17360241456848,0,0,0,2024-07-12
2.2071,71.0091,2.27812950653548,-0.133329134076427,4.69486154726345,71.0091,71.0091,71.0091,-0.0710295065354845,-2.48776154726345,2.34042913407643,0,0,0,2024-07-13
3.1371,74.1462,1.91043210307064,-0.368168972372311,4.30838148741463,74.1462,74.1462,74.1462,1.22666789692936,-1.17128148741463,3.50526897237231,0,0,0,2024-07-14
1.6641,75.8103,2.35003738966469,0.053423432323253,4.61773985296415,75.8103,75.8103,75.8103,-0.68593738966469,-2.95363985296415,1.61067656767675,0,0,0,2024-07-15
1.4638,77.2741,2.42390822643242,0.184834378262733,4.68975296778538,77.2741,77.2741,77.2741,-0.960108226432421,-3.22595296778538,1.27896562173727,0,0,0,2024-07-16
0.1535,77.4276,1.86648134126717,-0.532588283908283,4.17971053647236,77.4276,77.4276,77.4276,-1.71298134126717,-4.02621053647236,0.686088283908282,0,0,0,2024-07-17
0.5488,77.9764,1.46616355331645,-0.831960089201097,3.87823564091845,77.9764,77.9764,77.9764,-0.91736355331645,-3.32943564091845,1.3807600892011,0,0,0,2024-07-18
2.83,80.8064,1.86302794070822,-0.549754613331023,4.24115875781378,80.8064,80.8064,80.8064,0.966972059291782,-1.41115875781378,3.37975461333102,0,0,0,2024-07-19
5.6198,86.4262,2.41768837609948,0.12589090009626,4.80958289320199,86.4262,86.4262,86.4262,3.20211162390052,0.810217106798014,5.49390909990374,0,0,0,2024-07-20
0.6956,87.1218,2.22548078141954,-0.186475127707332,4.49740155439394,87.1218,87.1218,87.1218,-1.52988078141954,-3.80180155439394,0.882075127707332,0,0,0,2024-07-21
0.4545,87.5763,2.26735542492664,-0.0950601520677059,4.59269760415319,87.5763,87.5763,87.5763,-1.81285542492664,-4.13819760415319,0.549560152067706,0,0,0,2024-07-22
3.3364,90.9127,2.51029942131284,0.259625345214075,4.84122219659466,90.9127,90.9127,90.9127,0.826100578687163,-1.50482219659466,3.07677465478593,0,0,0,2024-07-23
0.7789,91.6916,2.02583117456875,-0.366670856643215,4.27628703324528,91.6916,91.6916,91.6916,-1.24693117456875,-3.49738703324528,1.14557085664322,0,0,0,2024-07-24
1.3666,93.0582,2.04445815843237,-0.227921984859428,4.33086332488851,93.0582,93.0582,93.0582,-0.67785815843237,-2.96426332488851,1.59452198485943,0,0,0,2024-07-25
1.7419,94.8001,2.06619050589932,-0.343667018499858,4.48621546599548,94.8001,94.8001,94.8001,-0.324290505899322,-2.74431546599548,2.08556701849986,0,0,0,2024-07-26
1.0433,95.8434,2.22575265918983,-0.121423240107357,4.51156451398887,95.8434,95.8434,95.8434,-1.18245265918983,-3.46826451398887,1.16472324010736,0,0,0,2024-07-27
1.1765,97.0199,2.05005736418193,-0.367198746604252,4.36218681222813,97.0199,97.0199,97.0199,-0.873557364181933,-3.18568681222813,1.54369874660425,0,0,0,2024-07-28
0.6687,97.6886,1.62242870917867,-0.717443595707185,3.90446279196166,97.6886,97.6886,97.6886,-0.95372870917867,-3.23576279196166,1.38614359570719,0,0,0,2024-07-29
0.616,98.3046,2.44217692444321,0.0889348386336506,4.68531943941529,98.3046,98.3046,98.3046,-1.82617692444321,-4.06931943941529,0.527065161366349,0,0,0,2024-07-30
0.7827,99.0873,1.74110902059999,-0.680176762387084,4.07578465648322,99.0873,99.0873,99.0873,-0.958409020599994,-3.29308465648322,1.46287676238708,0,0,0,2024-07-31
0.36,99.4473,1.941158909805,-0.353755517504039,4.26571583619779,99.4473,99.4473,99.4473,-1.581158909805,-3.90571583619779,0.713755517504039,0,0,0,2024-08-01
0.6152,100.0625,2.41273357483044,0.0243501655130747,4.67048754736267,100.0625,100.0625,100.0625,-1.79753357483044,-4.05528754736267,0.590849834486925,0,0,0,2024-08-02
0.2941,100.3566,2.27123572442772,-0.0357264754136311,4.52204811007689,100.3566,100.3566,100.3566,-1.97713572442772,-4.22794811007689,0.329826475413631,0,0,0,2024-08-03
2.0675,102.4241,1.84920542299611,-0.407678033759509,4.10627677529892,102.4241,102.4241,102.4241,0.218294577003889,-2.03877677529892,2.47517803375951,0,0,0,2024-08-04
0.9868,103.4109,1.80860398534989,-0.62650602385734,4.08720700934962,103.4109,103.4109,103.4109,-0.821803985349888,-3.10040700934962,1.61330602385734,0,0,0,2024-08-05
1.9565,105.3674,2.34227177070556,-0.0253916841893573,4.60579697411405,105.3674,105.3674,105.3674,-0.38577177070556,-2.64929697411405,1.98189168418936,0,0,0,2024-08-06
2.4491,107.8165,2.00312807220393,-0.257760415488,4.33839857489562,107.8165,107.8165,107.8165,0.445971927796074,-1.88929857489562,2.706860415488,0,0,0,2024-08-07
2.2324,110.0489,1.91898852851429,-0.370995727291749,4.29871095680793,110.0489,110.0489,110.0489,0.313411471485711,-2.06631095680793,2.60339572729175,0,0,0,2024-08-08
2.8244,112.8733,2.08602267089435,-0.175098843406345,4.39746617096265,112.8733,112.8733,112.8733,0.738377329105654,-1.57306617096265,2.99949884340634,0,0,0,2024-08-09
2.2753,115.1486,2.23658147189169,-0.013217412697244,4.5809605214909,115.1486,115.1486,115.1486,0.0387185281083129,-2.3056605214909,2.28851741269724,0,0,0,2024-08-10
1.052,116.2006,1.98394131843683,-0.413375030834796,4.23007081510094,116.2006,116.2006,116.2006,-0.931941318436832,-3.17807081510094,1.4653750308348,0,0,0,2024-08-11
1.6518,117.8524,1.8877129140575,-0.364190387685443,4.19528082569822,117.8524,117.8524,117.8524,-0.235912914057495,-2.54348082569822,2.01599038768544,0,0,0,2024-08-12
4.5886,122.441,2.08352081727668,-0.299612405578125,4.35741281233984,122.441,122.441,122.441,2.50507918272332,0.231187187660155,4.88821240557813,0,0,0,2024-08-13
2.5941,125.0351,1.94551524840153,-0.387013324774338,4.19597563338059,125.0351,125.0351,125.0351,0.648584751598465,-1.60187563338059,2.98111332477434,0,0,0,2024-08-14
3.9507,128.9858,1.96311351086799,-0.429988725706806,4.28274234036607,128.9858,128.9858,128.9858,1.98758648913201,-0.33204234036607,4.3806887257068,0,0,0,2024-08-15
2.9036,131.8894,2.07842587519716,-0.21578262399686,4.25677035545022,131.8894,131.8894,131.8894,0.825174124802839,-1.35317035545022,3.11938262399686,0,0,0,2024-08-16
1.838,133.7274,2.15202537830125,-0.144946075947609,4.38664228758525,133.7274,133.7274,133.7274,-0.314025378301248,-2.54864228758525,1.98294607594761,0,0,0,2024-08-17
1.7317,135.4591,2.06734033146627,-0.292696960459339,4.50351758265958,135.4591,135.4591,135.4591,-0.33564033146627,-2.77181758265958,2.02439696045934,0,0,0,2024-08-18
